year,destination_port,ship_count,latitude,longitude
1886,Tyne,22,55.0179189721861,-1.42556335449211
1886,Dundee,16,56.4612028818325,-2.96765932817017
1886,Montrose,6,56.7213304436428,-2.46576667724605
1886,Goole,4,53.7029410000001,-0.876380999999981
1886,London (Surrey Commercial Docks),3,51.5073509000001,-0.127758299999982
1886,Greenock,3,55.9505077629267,-4.75971798437838
1886,Cardiff,3,51.4815810000001,-3.17908999999992
1886,Borrowstounness,3,56.0191848626102,-3.60281840209956
1886,Glasgow,2,55.8582389117887,-4.24254728271348
1886,Leith,2,55.9765554947196,-3.16607291534422
1886,Hartlepool (West),2,54.6917449999999,-1.21292600000004
1886,London (Millwall Docks),2,51.5073509000001,-0.127758299999982
1886,London (Victoria Docks),2,51.5073509000001,-0.127758299999982
1886,London (Royal Albert Docks),2,51.5073509000001,-0.127758299999982
1886,Sunderland,2,54.9068690000001,-1.38380099999989
1886,Hull,2,53.7456708999999,-0.336741299999971
1886,Middlesbrough,2,54.5742270000001,-1.23495600000001
1886,Swansea,2,51.62144,-3.94364599999994
1886,Dublin,2,53.346388727,-6.21662037199997
1886,Southampton,1,50.9097004,-1.40435090000005
1886,Bridgwater,1,51.1326558933295,-3.00590651324461
1886,Folkestone,1,51.081397,1.16945599999991
1886,Londonderry,1,55.0114105220001,-7.30041944099997
1886,Belfast,1,54.613523371,-5.90696169099994
1886,Carnavon,1,53.1432579104494,-4.27657175134273
1886,Plymouth,1,50.3754565,-4.14265649999993
1886,Douglas,1,54.1474883509337,-4.47930775924688
1886,TILBURY,1,,
1887,Grimsby,1919,53.5674710000001,-0.0807839999998805
1887,London,1848,51.5073509000001,-0.127758299999982
1887,Liverpool,1443,53.4083714,-2.99157259999998
1887,Tyne,1174,55.0179189721861,-1.42556335449211
1887,Dundee,889,56.4612028818325,-2.96765932817017
1887,Bristol,874,51.4545130000001,-2.58790999999997
1887,Newport,686,51.584151,-2.99766399999993
1887,Poole,641,50.7150500000001,-1.98724800000002
1887,Borrowstounness,387,56.0191848626102,-3.60281840209956
1887,Greenock,259,55.9505077629267,-4.75971798437838
1887,Lynn,233,52.7516798,0.402296300000103
1887,London (Tilbury Docks),202,51.5073509000001,-0.127758299999982
1887,Boston,189,52.9789400000001,-0.0265769999999748
1887,Fleetwood,186,53.9154477593217,-3.01331410565124
1887,Inverness,172,57.4827277738256,-4.22737025390621
