port_name,latitude,longitude,ship_count
IPSWICH,52.056736,1.14822000000004,26
Burry Port,51.6827160162001,-4.24937562131073,26
FOLKESTONE,51.081397,1.16945599999991,25
WOODBRIDGE,52.095481,1.31257099999993,23
ARDROSSAN,55.6481390173549,-4.80960840777251,22
SCARBOROUGH,54.283113,-0.399751999999978,21
RAMSGATE,51.3355450000001,1.41989499999994,21
GREENOCK (TILBURY DOCKS),55.9505077629267,-4.75971798437838,21
GALWAY,53.269014434,-9.04777257699993,17
PENZANCE,50.118798,-5.53759199999996,17
BIDEFORD,51.0166840000001,-4.20666599999998,17
ARBROATH,56.5628888704369,-2.59099889825813,16
BEAUMARIS,53.2658650000001,-4.09199000000001,16
MARYPORT,54.714441,-3.49494000000004,15
Aberystwyth,52.415303,-4.08292000000006,15
LANCASTER,54.046575,-2.8007399,15
LITTLEHAMPTON,50.811057,-0.538660899999968,14
PERTH,56.3958320136505,-3.43183501586907,14
FALMOUTH,50.152571,-5.06627000000003,14
DOUGLAS,54.1474883509337,-4.47930775924688,13
LOOE,50.3570286798092,-4.45492833862304,13
HARWICH,51.9347310000001,1.26029700000004,12
WEYMOUTH,50.6144279,-2.45762099999996,12
INVERGORDON,57.6878475545925,-4.16644392846346,11
WHITBY,54.4863350000001,-0.613346999999919,10
GRAVESEND,51.4429173588847,0.381957799072553,9
TEIGNMOUTH,50.5470330000001,-3.49668799999984,8
BARNSTAPLE,51.0784564808267,-4.06095583599865,8
WISBEACH,52.222770887595,0.2564362275237,8
PRESTON,53.763201,-2.70308999999992,7
OXFORD,51.7520208999999,-1.2577263,6
BRISTOL (TILBURY DOCK),51.4545130000001,-2.58790999999997,6
STRANRAER,54.9057043138819,-5.01757162963861,5
MALDON,51.7318050000001,0.671448000000169,5
DARTMOUTH,50.352517,-3.57880699999998,4
WELLS,54.983048797171,-1.4063721970826,4
MANCHESTER,53.4807593,-2.24263050000002,4
STORNOWAY,58.2093906476432,-6.38865166137691,4
BRISTOL (TOWN DOCKS),51.4545130000001,-2.58790999999997,3
PADSTOW,50.5420619999999,-4.93901699999998,2
CARDIGAN,52.083703,-4.66086399999989,2
BRISTOL (WEST),51.4545130000001,-2.58790999999997,2
ST. IVES,50.2103283749618,-5.48563635581966,2
ABERDOVEY,52.5441056124551,-4.04408999999999,1
BRISTOL (QUEEN'S DOCK),51.4545130000001,-2.58790999999997,1
LEEDS,53.8007554000001,-1.54907739999993,1
DUBLIN (NELSON DOCK),53.346388727,-6.21662037199997,1
SCILLY,49.9277261,-6.32749660000002,1
SHEERNESS,51.4387900442348,0.764917492065478,1
