port_name,port_type,latitude,longitude,country,notes
Areachon,origin,,,,
Arehangel,origin,,,,
Arenc,origin,,,,
Arend,origin,,,,
Arendal,origin,,,,
Arenos,origin,,,,
Areudal,origin,,,,
Arkhangelsk,origin,,,,
Arno,origin,,,,
Arno Ansag,origin,,,,
Aroachon,origin,,,,
Arohamn,origin,,,,
Arsachons,origin,,,,
Arthur,origin,,,,
Arundal,origin,,,,
Aruskjoldvick,origin,,,,
Asbacka,origin,,,,
Asbacker,origin,,,,
Asbacks,origin,,,,
Asbecka,origin,,,,
Askersund,origin,,,,
Astoria,origin,,,,
Asunder,origin,,,,
Attona,origin,,,,
Attu,origin,,,,
Atu,origin,,,,
Auckland,origin,,,,
"Auckland, N.Z.",origin,,,,
Audierne,origin,,,,
Augusta,origin,,,,
Aura,origin,,,,
Auray,origin,,,,
Aussig,origin,,,,
Australia,origin,,,,
Aux,origin,,,,
Aux Cayes,origin,,,,
Aveiro,origin,,,,
Aviles,origin,,,,
Avonmouth,origin,,,,
"Avonport, N.S.",origin,,,,
Away,origin,,,,
Awray,origin,,,,
Axim,origin,,,,
"Axim, W. C. Africa",origin,,,,
"Axim, W.C. Africa",origin,,,,
Axmar,origin,,,,
Axmar Bruk,origin,,,,
Axmarby,origin,,,,
B'torpshamn,origin,,,,
B. ALMQUIST ... ... ... RED --,origin,,,,
B.ahestadt,origin,,,,
BERGGUARA,origin,,,,
Backmann,origin,,,,
Baddeck,origin,,,,
"Baddeck, C.B.",origin,,,,
Badeck,origin,,,,
Bahia,origin,,,,
Baie Verte,origin,,,,
Baie de Verte,origin,,,,
Ballsta,origin,,,,
Balnarte,origin,,,,
Baltic,origin,,,,
Baltimore,origin,,,,
"Baltimore, U.S.A.",origin,,,,
Balto,origin,,,,
Bangkok,origin,,,,
"Bangkok, via Cadiz",origin,,,,
Bangor,origin,,,,
"Bangor, Maine",origin,,,,
"Bangor, Me.",origin,,,,
"Bangor, U.S.",origin,,,,
"Bangor, U.S.A.",origin,,,,
Bangsund,origin,,,,
Bannesund,origin,,,,
Bannow,origin,,,,
Baraharia,origin,,,,
Barahona,origin,,,,
"Barahona, St. Domingo",origin,,,,
Barbados,origin,,,,
Barcelona,origin,,,,
Bari,origin,,,,
Barkivig,origin,,,,
Barnstaple,origin,,,,
Barohona,origin,,,,
Baronne,origin,,,,
Barquero,origin,,,,
Barrow,origin,,,,
Barrysors,origin,,,,
Bassein,origin,,,,
Batavia,origin,,,,
Batekarnas,origin,,,,
Bath,origin,,,,
Bathurst,origin,,,,
"Bathurst, Gulf of St. Lawrence",origin,,,,
"Bathurst, N.B.",origin,,,,
Batirken,origin,,,,
Batiscan,origin,,,,
Batoumi,origin,,,,
Batskarnas,origin,,,,
Batvik,origin,,,,
Baur,origin,,,,
Bawik,origin,,,,
Bay Chaleur,origin,,,,
"Bay Verte, Montreal",origin,,,,
"Bay Verte, N.B.",origin,,,,
Bay Verts,origin,,,,
Bay de Verte,origin,,,,
"Bay de Verte, N.B.",origin,,,,
Bay of Islands,origin,,,,
BayVerte,origin,,,,
Bayonne,origin,,,,
Bayvert,origin,,,,
Beamerside,origin,,,,
Beaufort,origin,,,,
"Beaufort, S.C.",origin,,,,
Beaver Point,origin,,,,
Belbur,origin,,,,
Belise,origin,,,,
Belize,origin,,,,
Belle,origin,,,,
Belle Isle,origin,,,,
Bellon,origin,,,,
Belon,origin,,,,
Benie,origin,,,,
Benjamin River,origin,,,,
Bennett,origin,,,,
Bennetts & Co,origin,,,,
Benodet,origin,,,,
Beraimis,origin,,,,
Berbice,origin,,,,
Bergen,origin,,,,
Bergen and Stavanger,origin,,,,
Berggvara,origin,,,,
Bergkvara,origin,,,,
Bergquara,origin,,,,
Bergqvora,origin,,,,
Bergrara,origin,,,,
Bergsund,origin,,,,
Bergsviken,origin,,,,
Bermuda,origin,,,,
Bernard,origin,,,,
Bersiamitz,origin,,,,
Bersimis,origin,,,,
Bersimis River,origin,,,,
Betsiamits,origin,,,,
Betsiamitz,origin,,,,
Betsimis,origin,,,,
Bic,origin,,,,
Bideford,origin,,,,
Bidon,origin,,,,
Biga,origin,,,,
Bilbao,origin,,,,
Billien,origin,,,,
Billiers,origin,,,,
Bindalen,origin,,,,
Binic,origin,,,,
Binie,origin,,,,
Bio,origin,,,,
Biornebora,origin,,,,
Bisor,origin,,,,
Bjneborg,origin,,,,
Bjorhnas,origin,,,,
Bjorkna,origin,,,,
Bjorknas,origin,,,,
Bjorko,origin,,,,
Bjorn-borg,origin,,,,
Bjornberg,origin,,,,
Bjorneborg,origin,,,,
Bjornemann,origin,,,,
Bjornkas,origin,,,,
Bjornsborg,origin,,,,
Bjornstorm,origin,,,,
Bjornsund,origin,,,,
Bjornvik,origin,,,,
Black River,origin,,,,
Blankaholm,origin,,,,
Blaye,origin,,,,
Blaze,origin,,,,
Bloody Bay,origin,,,,
Bo deaux,origin,,,,
Bolax,origin,,,,
Bolderaa,origin,,,,
Boleo,origin,,,,
Bollsta,origin,,,,
Bollstabruk,origin,,,,
Bolsiamitz,origin,,,,
Bolsta,origin,,,,
Bomarsund,origin,,,,
Bombay,origin,,,,
Bonavista,origin,,,,
Boncan,origin,,,,
Bonga,origin,,,,
Bonny,origin,,,,
Bord aux,origin,,,,
Borde,origin,,,,
Bordeaux,origin,,,,
Bordeaux via London,origin,,,,
Bordeaux vid London,origin,,,,
Bordx.,origin,,,,
Borg,origin,,,,
Borga,origin,,,,
Borggvara,origin,,,,
Borgn,origin,,,,
Borgo,origin,,,,
Borja,origin,,,,
Boroka,origin,,,,
Borrga,origin,,,,
Boston,origin,,,,
Boston and Halifax,origin,,,,
"Boston, U.S.",origin,,,,
"Boston, U.S.A.",origin,,,,
Botornshamn,origin,,,,
Botorp,origin,,,,
Botorphshamn,origin,,,,
Botorpsham,origin,,,,
Botorpshamn,origin,,,,
Botwoodville,origin,,,,
Boulogne,origin,,,,
Boutouche,origin,,,,
Boya,origin,,,,
Brabestad and Rafso,origin,,,,
Brahestad,origin,,,,
Brahestadt,origin,,,,
Brake,origin,,,,
Brandshamn,origin,,,,
Brazil,origin,,,,
Bredvik,origin,,,,
Breme,origin,,,,
Bremen,origin,,,,
Bremerhaven,origin,,,,
Brest,origin,,,,
Brest pitwood,origin,,,,
Brevig,origin,,,,
Brewers Lagoon,origin,,,,
Bridgewater,origin,,,,
"Bridgewater, N.S.",origin,,,,
Bridgwater,origin,,,,
"Bridgwater, N.S.",origin,,,,
Brisbane,origin,,,,
Bristol,origin,,,,
British Columbia,origin,,,,
Broke,origin,,,,
Bruges,origin,,,,
Brunchausen,origin,,,,
Brunne,origin,,,,
Brunswick,origin,,,,
"Brunswick, Ga.",origin,,,,
"Brunswick, Geo.",origin,,,,
"Brunswick, Georgia",origin,,,,
"Brunswick, U.S.",origin,,,,
Brussels,origin,,,,
Bstaiamitz,origin,,,,
Buctouche,origin,,,,
"Buctouche, N.B.",origin,,,,
Buenos Aires,origin,,,,
Bullriver,origin,,,,
Bunbury,origin,,,,
Bure,origin,,,,
Burea,origin,,,,
Bureo,origin,,,,
Burrard's Inlet,origin,,,,
Burria,origin,,,,
Burso,origin,,,,
Byake,origin,,,,
Byske,origin,,,,
Byxke,origin,,,,
C. Helsingfors,origin,,,,
CAPE BRETON,origin,,,,
CRONSTADT,origin,,,,
Ca'cutta,origin,,,,
Cabarati,origin,,,,
Cabarete,origin,,,,
Cabenda,origin,,,,
Caderona,origin,,,,
Cadiz,origin,,,,
Caen,origin,,,,
Cagliari,origin,,,,
Calabar,origin,,,,
Calais,origin,,,,
Calcutta,origin,,,,
Calder,origin,,,,
Calicut,origin,,,,
Calileo,origin,,,,
Calix,origin,,,,
Calmo,origin,,,,
Camarina,origin,,,,
Camarinas,origin,,,,
Camel,origin,,,,
Cameret,origin,,,,
Campbellton,origin,,,,
"Campbellton, N.B.",origin,,,,
"Campbelltown, N.B.",origin,,,,
Campbeltown,origin,,,,
"Campbeltown, N.B.",origin,,,,
Campechi,origin,,,,
Canada,origin,,,,
Canarinas,origin,,,,
Caneron,origin,,,,
Canillac,origin,,,,
Canterbury,origin,,,,
Cap Lopaz,origin,,,,
Cap Lopez,origin,,,,
Cape,origin,,,,
Cape Chat,origin,,,,
Cape Haitien,origin,,,,
Cape Hayti,origin,,,,
Cape Lopez,origin,,,,
Cape Tormentine,origin,,,,
"Cape Tormentine, N.B.",origin,,,,
Cape Town,origin,,,,
Caramanal,origin,,,,
Caramenal,origin,,,,
Caraminal,origin,,,,
Caraminas,origin,,,,
Carammal,origin,,,,
Carany,origin,,,,
Caraquet,origin,,,,
"Caraquet, D.C.",origin,,,,
"Caraquet, N.B.",origin,,,,
Caraquette,origin,,,,
Carde,origin,,,,
Cardenas,origin,,,,
Cardiff,origin,,,,
"Cardigan, P.E.I.",origin,,,,
Carisvik,origin,,,,
Carl,origin,,,,
Carlahamn,origin,,,,
Carlberg,origin,,,,
Carlisle Bay,origin,,,,
Carlscrona,origin,,,,
Carlskrona,origin,,,,
Carlstad,origin,,,,
Carlsvik,origin,,,,
Carnac,origin,,,,
Carrie,origin,,,,
Carril,origin,,,,
Carrizal,origin,,,,
Carrol,origin,,,,
Cartagena,origin,,,,
Castropol,origin,,,,
Cat Island,origin,,,,
Catania,origin,,,,
Catterina,origin,,,,
Cayo,origin,,,,
Ceara,origin,,,,
"Cedar Keys, U.S.A.",origin,,,,
Ch,origin,,,,
Chailles,origin,,,,
"Chama, W.C. Africa",origin,,,,
Champion Bay,origin,,,,
Champoten,origin,,,,
Charente,origin,,,,
Charles,origin,,,,
Charleston,origin,,,,
"Charleston, N.S.",origin,,,,
"Charleston, S.C.",origin,,,,
"Charleston, S.O.",origin,,,,
"Charleston, U.S.",origin,,,,
Charlestown,origin,,,,
"Charlestown, S.C.",origin,,,,
Charlotte Town P,origin,,,,
"Charlotte Town, P.E.I.",origin,,,,
Charlottetown,origin,,,,
"Charlottetown, P E.I.",origin,,,,
Chatham,origin,,,,
Chatham N B,origin,,,,
Chatham N. B.,origin,,,,
Chatham N.B.,origin,,,,
"Chatham, N B",origin,,,,
"Chatham, N B.",origin,,,,
"Chatham, N. B.",origin,,,,
Chepstow,origin,,,,
Cherbourg,origin,,,,
Cherril,origin,,,,
Cherry Garden Pier,origin,,,,
Cheshire,origin,,,,
Chicontima,origin,,,,
Chicontine,origin,,,,
Chicoutimi,origin,,,,
Chiltepec,origin,,,,
Chittagong,origin,,,,
Chri,origin,,,,
Christensen,origin,,,,
Christiania,origin,,,,
Christiania and Gothenburg,origin,,,,
"Christiania, Laurvig, and Arendal",origin,,,,
"Christiania, Laurvigdal",origin,,,,
"Christiania, etc.",origin,,,,
Christianopel,origin,,,,
Christianople,origin,,,,
Christiansand,origin,,,,
Christianstadt,origin,,,,
Christiaria,origin,,,,
Christie,origin,,,,
Christina,origin,,,,
Christine,origin,,,,
Christineatad,origin,,,,
Christinehamn,origin,,,,
Churchbridge,origin,,,,
Cienfuegos,origin,,,,
Cimbritshamn,origin,,,,
City St. Domingo,origin,,,,
City of Domingo,origin,,,,
City of Son,origin,,,,
Clare,origin,,,,
Clare Castle,origin,,,,
Co,origin,,,,
Coastwise,origin,,,,
Coatzacoalcos,origin,,,,
"Coatzcoalcos, Mexico",origin,,,,
Cobourete,origin,,,,
Cocagne,origin,,,,
"Cocagne, N.B.",origin,,,,
Cocaigne,origin,,,,
"Cocaigne, N.B.",origin,,,,
Cochin,origin,,,,
Cochon,origin,,,,
Coconada,origin,,,,
Colberg,origin,,,,
Colbergermunde,origin,,,,
Colbjornsen,origin,,,,
Colmar,origin,,,,
Cologne,origin,,,,
Colombo,origin,,,,
Colon,origin,,,,
Comarina,origin,,,,
Commercial Dk,origin,,,,
Concarnean,origin,,,,
Concarneau,origin,,,,
Copenhagen,origin,,,,
Corcarneau,origin,,,,
Corcubion,origin,,,,
Corfu,origin,,,,
Cork,origin,,,,
Cornelius,origin,,,,
"Cornwallis, N.S.",origin,,,,
Corronne,origin,,,,
Cortland,origin,,,,
Corunra,origin,,,,
County,origin,,,,
Covesec,origin,,,,
Cristinestad,origin,,,,
Croisic,origin,,,,
Cronstadt and Wyborg,origin,,,,
Cronstudt,origin,,,,
Crorstadt,origin,,,,
Cuba,origin,,,,
Cubucto,origin,,,,
Cumberland Basin,origin,,,,
Cunbushamn,origin,,,,
Curacao,origin,,,,
Curacoa,origin,,,,
Curagoa,origin,,,,
"Cutting, Ground",origin,,,,
Cuxhaven,origin,,,,
Dago,origin,,,,
Dahl,origin,,,,
Dahlkarls,origin,,,,
Dahlkarlsa,origin,,,,
Dal,origin,,,,
Dalhousie,origin,,,,
"Dalhousie, N.B.",origin,,,,
Dalkarlsa,origin,,,,
Dame d'Esperance,origin,,,,
Danovara,origin,,,,
Dansig,origin,,,,
Dantric,origin,,,,
Dantsic,origin,,,,
Dantzio,origin,,,,
Danzie,origin,,,,
Danzig,origin,,,,
Darg,origin,,,,
Darien,origin,,,,
"Darien, Ga.",origin,,,,
"Dariero, G.A.",origin,,,,
Darklkahn,origin,,,,
Darłowo,origin,,,,
De Brodre,origin,,,,
Delfhaven,origin,,,,
Delfshaven,origin,,,,
Delftshaven,origin,,,,
Demarara,origin,,,,
Demerara,origin,,,,
Denmark,origin,,,,
Derby,origin,,,,
Dieppe,origin,,,,
"Digby, N.S.",origin,,,,
Djupvik,origin,,,,
Djupviken,origin,,,,
Dobay,origin,,,,
Dobery,origin,,,,
Doboy,origin,,,,
"Doboy, U.S.A.",origin,,,,
Dohlkarsla,origin,,,,
Dolphin,origin,,,,
Domejo,origin,,,,
Domjo,origin,,,,
Domsjo,origin,,,,
Domsjo and Nordsmalings,origin,,,,
Donelan,origin,,,,
Donlin,origin,,,,
Dorchester,origin,,,,
Dordrecht,origin,,,,
Dordt,origin,,,,
Dorkt,origin,,,,
Dort,origin,,,,
Douarnenes,origin,,,,
Douarnenez,origin,,,,
Drag,origin,,,,
Dragerce,origin,,,,
Draget,origin,,,,
Drago,origin,,,,
Dragsvik,origin,,,,
Drama,origin,,,,
Drambak,origin,,,,
Dramman,origin,,,,
Drammen,origin,,,,
Dramn,origin,,,,
Drangsoud,origin,,,,
Drangsund,origin,,,,
Dranklippan,origin,,,,
Drebak,origin,,,,
Drng,origin,,,,
Droback,origin,,,,
Drobak,origin,,,,
Drogheda,origin,,,,
Dronning,origin,,,,
Dronthiem,origin,,,,
"Drysdale, N.B.",origin,,,,
Dublin,origin,,,,
Dumfries,origin,,,,
Dungarvon,origin,,,,
Dunkerque,origin,,,,
Dunkirk,origin,,,,
Duppe,origin,,,,
Dursey,origin,,,,
Dwarf,origin,,,,
Dyno,origin,,,,
Dyreberg,origin,,,,
E. Indies,origin,,,,
E. Pascagoula,origin,,,,
East London,origin,,,,
East Port,origin,,,,
Eatonville,origin,,,,
Economy,origin,,,,
Economy Point,origin,,,,
"Economy Point, N.S.",origin,,,,
"Economy Point, Nova Scotia",origin,,,,
"Economy, N.B.",origin,,,,
"Economy, N.S.",origin,,,,
"Economy, U.S.",origin,,,,
Ed,origin,,,,
Edense,origin,,,,
Egersund,origin,,,,
Eggesund,origin,,,,
Ekenas,origin,,,,
Elburg,origin,,,,
Elfrego,origin,,,,
Eliser,origin,,,,
Elma,origin,,,,
Elobey,origin,,,,
Eloby,origin,,,,
"Elohey, W.C. Africa",origin,,,,
Elsberg,origin,,,,
Elsfleth,origin,,,,
Elsinore,origin,,,,
Emden,origin,,,,
Emil,origin,,,,
Emilie,origin,,,,
Emnbodd,origin,,,,
Enoch,origin,,,,
Eriksdal,origin,,,,
Esacger,origin,,,,
Esbjerg,origin,,,,
Esborg,origin,,,,
Escoumains,origin,,,,
Esperanza,origin,,,,
Esquimalt,origin,,,,
Essequibo,origin,,,,
Essvik,origin,,,,
Essviken,origin,,,,
Esurken,origin,,,,
Esvik,origin,,,,
Exploit Bay,origin,,,,
Exploits Bay,origin,,,,
F' stad,origin,,,,
F'dericksvoern,origin,,,,
F'dksvoern,origin,,,,
F'drikstvoern,origin,,,,
F'driksvoern,origin,,,,
F'kstad,origin,,,,
F'stad.,origin,,,,
F'stadt,origin,,,,
FIUME,origin,,,,
FRITZOE,origin,,,,
FRONTERA,origin,,,,
Faaborg,origin,,,,
Faan,origin,,,,
Faekenburg,origin,,,,
Faenerhaur,origin,,,,
Fagervik,origin,,,,
Fahrsund,origin,,,,
Falkenb'g,origin,,,,
Falkenberg,origin,,,,
Falkner,origin,,,,
Falkonberg,origin,,,,
Familie,origin,,,,
Fano,origin,,,,
Faon,origin,,,,
Farosund,origin,,,,
Fataholm,origin,,,,
Fatvik,origin,,,,
Fauley,origin,,,,
Faxa,origin,,,,
Fayal,origin,,,,
Fecamp,origin,,,,
Ferdinandina,origin,,,,
Fernandina,origin,,,,
Fernavik,origin,,,,
Ferrol,origin,,,,
Fiano,origin,,,,
Fide,origin,,,,
Figeholm,origin,,,,
Fijeholm,origin,,,,
Filtvedt,origin,,,,
Fingelholm,origin,,,,
Finkklippan,origin,,,,
Finklipsan,origin,,,,
Finland,origin,,,,
Finnklippan,origin,,,,
Fischer,origin,,,,
Fiskebackskil,origin,,,,
Fiskebackskill,origin,,,,
Fiume and Trieste,origin,,,,
Five Islands,origin,,,,
"Five Islands, N.S.",origin,,,,
Flanders,origin,,,,
Flekkiefiord,origin,,,,
Flekkifiord,origin,,,,
Fogelvik,origin,,,,
"For the carpenter, slater, and plasterer's work of new dwelling",origin,,,,
Fordeaux,origin,,,,
Fordeux,origin,,,,
Forman,origin,,,,
Forresborough,origin,,,,
Forrsogrund,origin,,,,
Forsabyham,origin,,,,
Forsby,origin,,,,
Forsgrund,origin,,,,
Forsly Ham,origin,,,,
Fort Cortes,origin,,,,
"Fort Royal, U.S.A.",origin,,,,
Fowstkage,origin,,,,
Foxe,origin,,,,
Fr. Laxa,origin,,,,
Framfors,origin,,,,
Framnas,origin,,,,
Fran,origin,,,,
France,origin,,,,
Franceville,origin,,,,
Franck,origin,,,,
Frangsound,origin,,,,
Frankfort,origin,,,,
Frankhald,origin,,,,
Frano,origin,,,,
Franton,origin,,,,
Fre.irikshald,origin,,,,
Fredenstrand,origin,,,,
Fredericksham,origin,,,,
Fredericksvoern,origin,,,,
Frederikahald,origin,,,,
Frederiksen,origin,,,,
Frederikshaldt,origin,,,,
Frederikshall,origin,,,,
Frederiksham,origin,,,,
Frederikshavn,origin,,,,
Frederiksoern,origin,,,,
Frederiksvorn,origin,,,,
Fredestrand,origin,,,,
Fredikshald,origin,,,,
Fredrick,origin,,,,
Fredrickshald,origin,,,,
Fredrickshaldt,origin,,,,
Fredrickshamn,origin,,,,
Fredrik Wilhelm,origin,,,,
Fredrikehald,origin,,,,
Fredriksbald,origin,,,,
Fredriksham,origin,,,,
Fredrikshamm,origin,,,,
Fredrikshavn,origin,,,,
Fredriksta't,origin,,,,
Fredrikstad,origin,,,,
Fredrikstrand,origin,,,,
Fredriksund,origin,,,,
Fredriksval,origin,,,,
Fredriksvern,origin,,,,
Fredriksvoarn,origin,,,,
Fredriksvorn,origin,,,,
Fredrikvaern,origin,,,,
Fredrikvoern,origin,,,,
Freigo,origin,,,,
Freijo,origin,,,,
Fremantle,origin,,,,
Frey,origin,,,,
Freyo,origin,,,,
Fridrikstadt,origin,,,,
Frisketackskil,origin,,,,
Fritzoe,origin,,,,
"Fritzoe, Laurvig",origin,,,,
Frome,origin,,,,
Frontera,origin,,,,
Frontera de Tabasco,origin,,,,
Frostkage,origin,,,,
Frostkorge,origin,,,,
Fuen,origin,,,,
Fuime,origin,,,,
Furnogrund,origin,,,,
Furuogrund,origin,,,,
G'brg,origin,,,,
G'burg.,origin,,,,
G'stadt,origin,,,,
GAMLA KARLEBY,origin,,,,
GRATEFUL AND COMFORTING.,origin,,,,
Gaarp,origin,,,,
Gaboon,origin,,,,
Gala,origin,,,,
Galatola,origin,,,,
Galats,origin,,,,
Galeatacka,origin,,,,
Galle,origin,,,,
Gallsta,origin,,,,
Galveston,origin,,,,
Galway,origin,,,,
Gamla Carleby,origin,,,,
Gamla Karleby,origin,,,,
Gamlastadt,origin,,,,
Gamleby,origin,,,,
Gaspe,origin,,,,
Gaston,origin,,,,
Gdańsk,origin,,,,
Gebens,origin,,,,
Gedeabuella,origin,,,,
Gefle and Sandarne,origin,,,,
Gefle and Skutskar,origin,,,,
Geila,origin,,,,
Genoa,origin,,,,
Georgetown,origin,,,,
"Geraldton, W.A.",origin,,,,
Germany,origin,,,,
Geschwister,origin,,,,
Ghent,origin,,,,
Gibara,origin,,,,
"Gibara, Cuba",origin,,,,
Gibraltar,origin,,,,
Gideabacka,origin,,,,
Gidebacha,origin,,,,
Gidenbacha,origin,,,,
Gidenbacka,origin,,,,
Girgenti,origin,,,,
Girl,origin,,,,
Gloucester,origin,,,,
Gnarp,origin,,,,
Go'burg,origin,,,,
Go'henburg,origin,,,,
"Gold River, N.S.",origin,,,,
Gopaulpore,origin,,,,
Goth,origin,,,,
Gotheaburg,origin,,,,
Gotheby,origin,,,,
Gothenb'g,origin,,,,
Gothenbarg,origin,,,,
Gothenborg,origin,,,,
Gothenburg,origin,,,,
Gothenburg and Cronstadt,origin,,,,
Gothenburg and Fredik,origin,,,,
Gothenburg and Fredrikstad,origin,,,,
Gothenburg and Warberg,origin,,,,
"Gothenburg, Christinia, and Drammen",origin,,,,
Gotherburg,origin,,,,
Gothik,origin,,,,
Gotterburg,origin,,,,
Grainsland,origin,,,,
Grand Bay,origin,,,,
"Grand Bay, Saguenay",origin,,,,
Grand Pablos,origin,,,,
Grand Pabos,origin,,,,
Grand Palios,origin,,,,
Grand Palls,origin,,,,
Grange,origin,,,,
Grangemouth,origin,,,,
Granville,origin,,,,
Green Island,origin,,,,
"Green Island, Jamaica",origin,,,,
Grenada,origin,,,,
Greytown,origin,,,,
Grimsby,origin,,,,
Grimstad,origin,,,,
"Grindestone Island, N.B.",origin,,,,
Grindstone Island,origin,,,,
Grinsted,origin,,,,
Grop,origin,,,,
Grundsvik,origin,,,,
Grundvik,origin,,,,
Grunstad,origin,,,,
Guantanamo,origin,,,,
Gudingen,origin,,,,
Guernsey,origin,,,,
Gustafsberg,origin,,,,
Gustafshamn,origin,,,,
Guttstrom,origin,,,,
Guysboro',origin,,,,
"Guysboro', N.S.",origin,,,,
"Guysboro,' N.S.",origin,,,,
Guysborough,origin,,,,
"Guysborough, N.S.",origin,,,,
Gymer,origin,,,,
Gävle,origin,,,,
Göteborg,origin,,,,
H,origin,,,,
H'bont,origin,,,,
HERNO-SAND,origin,,,,
HERNOSAND,origin,,,,
Ha,origin,,,,
Haab,origin,,,,
Hadoen,origin,,,,
Hafendamm,origin,,,,
Hakala,origin,,,,
Hakkala,origin,,,,
Halax,origin,,,,
Halden,origin,,,,
Haliered,origin,,,,
Halifax,origin,,,,
Halifax and Baltimore,origin,,,,
Halifax and Boston,origin,,,,
Halifax and Philadelphia,origin,,,,
Halifax and Portland,origin,,,,
"Halifax, N.",origin,,,,
"Halifax, N.B.",origin,,,,
"Halifax, N.S. and St. John, N.B.",origin,,,,
"Halifax, N.S.,",origin,,,,
"Halifax, U S",origin,,,,
"Halifax,N.S.",origin,,,,
Halista,origin,,,,
Halix,origin,,,,
Hall,origin,,,,
Hall's Bay,origin,,,,
Halleta,origin,,,,
Hallsta,origin,,,,
Hallstavik,origin,,,,
Halmestrand,origin,,,,
Halmstad,origin,,,,
Halmstrand,origin,,,,
Halsc,origin,,,,
Halso,origin,,,,
Halsoen,origin,,,,
Hambeschow,origin,,,,
Hamburg,origin,,,,
Hamn,origin,,,,
Hamnholmen,origin,,,,
"Hampton, Jamaica",origin,,,,
Hangesund,origin,,,,
Hango,origin,,,,
Hannah,origin,,,,
Hanskalaete,origin,,,,
Hansta,origin,,,,
Hantsport,origin,,,,
Haparanda,origin,,,,
Harborg,origin,,,,
Harbour,origin,,,,
Harburg,origin,,,,
Harfvarfeg,origin,,,,
Harg,origin,,,,
Harlingen,origin,,,,
Harmas,origin,,,,
Harnae,origin,,,,
Harnas,origin,,,,
Harnas and Gefle,origin,,,,
Harne,origin,,,,
Harnosand,origin,,,,
Hartmann,origin,,,,
Hartvik,origin,,,,
"Harvey, N.B",origin,,,,
"Harvey, N.B.",origin,,,,
Haslsta,origin,,,,
Hassvik,origin,,,,
Havana,origin,,,,
Havnefjord,origin,,,,
Hawkins,origin,,,,
Hayle,origin,,,,
Haynasch,origin,,,,
Haynash,origin,,,,
Held,origin,,,,
Helensborg,origin,,,,
Helgenas,origin,,,,
Helmstadt,origin,,,,
Helmsund,origin,,,,
Helsinborg,origin,,,,
Helsingborg,origin,,,,
Helsingfors,origin,,,,
Helsingfors and Kotka,origin,,,,
Hennebent,origin,,,,
Henneboat,origin,,,,
Hennebon,origin,,,,
Hennebont,origin,,,,
Hennebout,origin,,,,
Hennel ont,origin,,,,
Hernebont,origin,,,,
Hernefors,origin,,,,
Hernhamn,origin,,,,
Hernos,origin,,,,
Hernosan,origin,,,,
Hernosand and Stockholm,origin,,,,
Hernosen,origin,,,,
Herr,origin,,,,
Herre,origin,,,,
Herring Cove,origin,,,,
"Herring Cove, N.S.",origin,,,,
"Herring Neck, N.fld.",origin,,,,
Herte,origin,,,,
Hietanen,origin,,,,
Higge,origin,,,,
Hilbrungsberg,origin,,,,
Hill,origin,,,,
"Hillbrough, N.S.",origin,,,,
Hillsboro',origin,,,,
