original_port,ship_count,category_hint,action,map_to_port,notes
Tillingenabben,3,likely_variant,,,
Kalajoki,3,likely_variant,,,
West Coast Africa,3,likely_variant,,,
Cologne,3,likely_variant,,,
Rio Janeiro,3,likely_variant,,,
Villa garcia,3,likely_variant,,,
Nykjobing,3,likely_variant,,,
New Brunswick,3,likely_variant,,,
Nordkoping,3,likely_variant,,,
Western,3,likely_variant,,,
Axim,3,likely_variant,,,
Grindstone Island,3,likely_variant,,,
"Portland, Me",3,likely_variant,,,
"St. John, N B,",3,likely_variant,,,
Lavender Dk,3,likely_variant,,,
Pyttis,2,likely_variant,,,
Svartwik,2,likely_variant,,,
Bonny,2,likely_variant,,,
New River,2,likely_variant,,,
Para,2,likely_variant,,,
Cape Lopez,2,likely_variant,,,
Nynamn,2,likely_variant,,,
Leer,2,likely_variant,,,
Faaborg,2,likely_variant,,,
Denmark,2,likely_variant,,,
Haynasch,2,likely_variant,,,
Georgetown,2,likely_variant,,,
Launig,2,likely_variant,,,
Pillan,2,likely_variant,,,
Gothenborg,2,likely_variant,,,
Windart,2,likely_variant,,,
Tlatocalpan,2,likely_variant,,,
Dorchester,2,likely_variant,,,
Vesteras,2,likely_variant,,,
Ullanger,2,likely_variant,,,
Sandswell,2,likely_variant,,,
West Coast of Africa,2,likely_variant,,,
Risver,2,likely_variant,,,
Tusket,2,likely_variant,,,
Chepstow,2,likely_variant,,,
ends,2,likely_variant,,,
Morant Bay,2,likely_variant,,,
Hietanen,2,likely_variant,,,
Slitehamn,2,likely_variant,,,
Tain,2,likely_variant,,,
Livingston,2,likely_variant,,,
Fredericksvoern,2,likely_variant,,,
Sodertelje,2,likely_variant,,,
Nyvick,2,likely_variant,,,
St. P'burg.,2,likely_variant,,,
Wicklow,2,likely_variant,,,
Dublin,2,likely_variant,,,
Jemtosund,2,likely_variant,,,
St. Servan,2,likely_variant,,,
N. Orleans,2,likely_variant,,,
Drogheda,2,likely_variant,,,
Milford,2,likely_variant,,,
Marma,2,likely_variant,,,
Olskoldsvick,2,likely_variant,,,
Tillinge,2,likely_variant,,,
Nyborg,2,likely_variant,,,
St. Anna,2,likely_variant,,,
Swartvick,2,likely_variant,,,
Gefle and Skutskar,2,likely_variant,,,
Hakkala,2,likely_variant,,,
Kungsgarten,2,likely_variant,,,
Luguvik,2,likely_variant,,,
Klampenborg,2,likely_variant,,,
San Cyprian,2,likely_variant,,,
Gidebacha,2,likely_variant,,,
Emil,2,likely_variant,,,
Rander,2,likely_variant,,,
Haynash,2,likely_variant,,,
F'kstad,2,likely_variant,,,
Penzance,2,likely_variant,,,
Luarca,2,likely_variant,,,
Newfoundland,2,likely_variant,,,
Alfredshamn,2,likely_variant,,,
Croisic,2,likely_variant,,,
Xnia,2,likely_variant,,,
Ablafors,2,likely_variant,,,
"Oak Bay, N.B.",2,likely_variant,,,
Langangen,2,likely_variant,,,
Colbergermunde,2,likely_variant,,,
"Parrsborough, N.S.",2,likely_variant,,,
Waija,2,likely_variant,,,
Johannesvik,2,likely_variant,,,
Areachon,2,likely_variant,,,
"Beaufort, S.C.",2,likely_variant,,,
Egersund,2,likely_variant,,,
"St. Mary's, Georgia",2,likely_variant,,,
Baddeck,2,likely_variant,,,
Hennebout,2,likely_variant,,,
Skutvik,2,likely_variant,,,
Tornes,2,likely_variant,,,
Alvik,2,likely_variant,,,
Eloby,2,likely_variant,,,
Eatonville,2,likely_variant,,,
"Sheet Harbour, N.B.",2,likely_variant,,,
Zaza,2,likely_variant,,,
Halmestrand,2,likely_variant,,,
Caramenal,2,likely_variant,,,
"Brunswick, Georgia",2,likely_variant,,,
Le'que,2,likely_variant,,,
Legue,2,likely_variant,,,
Antigua,2,likely_variant,,,
Launay,2,likely_variant,,,
Canarinas,2,likely_variant,,,
Cabenda,2,likely_variant,,,
Portsal,2,likely_variant,,,
Katthammaravik,2,likely_variant,,,
Trehiguer,2,likely_variant,,,
"Joggins, N.S.",2,likely_variant,,,
St. Petersburg Town,2,likely_variant,,,
Stocks,2,likely_variant,,,
Framnas,2,likely_variant,,,
Boston and Halifax,2,likely_variant,,,
Minititlan,2,likely_variant,,,
Kaurnussaari,2,likely_variant,,,
Katthammarsvik,2,likely_variant,,,
Grand Palios,2,likely_variant,,,
Sundarne,2,likely_variant,,,
St. Vaast,2,likely_variant,,,
Stenkjar,2,likely_variant,,,
Rennes,2,likely_variant,,,
Aux Cayes,2,likely_variant,,,
Syra,2,likely_variant,,,
Bolsta,2,likely_variant,,,
Remers,2,likely_variant,,,
ahead,2,likely_variant,,,
Wolgast,2,likely_variant,,,
Halleta,2,likely_variant,,,
Wifsta,2,likely_variant,,,
Aux,2,likely_variant,,,
Riscer,2,likely_variant,,,
Demarara,2,likely_variant,,,
Droback,2,likely_variant,,,
Beaufort,2,likely_variant,,,
Fredikshald,2,likely_variant,,,
"St. Johns, N.B.",2,likely_variant,,,
Cabarete,2,likely_variant,,,
Marin,2,likely_variant,,,
Asbacks,2,likely_variant,,,
Throndjem,2,likely_variant,,,
Roscoff,2,likely_variant,,,
Fredriksbald,2,likely_variant,,,
Swinemunde,2,likely_variant,,,
Pierreville and Quebec,2,likely_variant,,,
"Alma, N.B.",2,likely_variant,,,
Pont Neuf,2,likely_variant,,,
