port_type,port_name,ship_count,action,map_to_port,notes
destination,THOMAS ROEBUCK & COMPANY (LIMITED),2,ERROR,,OCR error - journal header/advertisement
destination,DEAL,2,ERROR,,"Commodity name, not a port"
destination,ACCEPTED TENDERS,2,ERROR,,OCR error - journal header/advertisement
destination,CLIFF'S CREEK,2,,,
destination,DEADMAN'S BUOYS,2,REVIEW,,Dock/wharf - needs context to determine city
destination,Y COMMERCIAL DOCKS,2,ERROR,,OCR error - journal header/advertisement
destination,ALBERT DOCKS,2,REVIEW,,"Dock name - multiple cities, needs human review"
destination,SILVERTOWN WHARF,2,REVIEW,,Dock/wharf - needs context to determine city
destination,DEADMAN'S DOCK,2,REVIEW,,Dock/wharf - needs context to determine city
destination,MILWALL,2,,,
destination,DEADMAN'S DOCK BUOYS,2,REVIEW,,Dock/wharf - needs context to determine city
destination,SHEERNESS,2,MAP,Sheerness,Capitalization fix
destination,JOSEPH GARDNER & SONS,2,ERROR,,OCR error - journal header/advertisement
destination,HEWN BALK,2,ERROR,,"Commodity name, not a port"
destination,SILVESTOWN,2,,,
destination,B. & F. WHARF,2,ERROR,,OCR error - journal header/advertisement
destination,FOWEY (WEST),2,MAP,Fowey (West),Capitalization fix
destination,DEPTFORD WHARF,2,REVIEW,,Dock/wharf - needs context to determine city
destination,QUOTATIONS ON APPLICATION,2,,,
destination,BUILDING NEWS,2,,,
destination,PENICUIK,2,,,
destination,PRIME POLES,2,,,
destination,EAST INDIA DOCK,2,REVIEW,,Dock/wharf - needs context to determine city
destination,LUDWIG WULFERT'S BELLY WOOD,2,,,
destination,PITCH PINE MOULDING,2,,,
destination,KIRKUALDY,2,,,
destination,MINCING LANE,2,,,
destination,AT THE SURREY COMMERCIAL DOCKS,2,REVIEW,,Dock/wharf - needs context to determine city
destination,SHIELDS (NORTH),2,,,
destination,FIR,2,,,
destination,MOULDS,2,,,
destination,ALBERT AND WM. WRIGHT DOCK,2,REVIEW,,Dock/wharf - needs context to determine city
destination,R SAWS,2,,,
destination,CARRIER'S DOCK,2,REVIEW,,Dock/wharf - needs context to determine city
destination,TOWN DOCK,2,REVIEW,,Dock/wharf - needs context to determine city
destination,VICTORIA & ALBERT DOCKS,2,REVIEW,,Dock/wharf - needs context to determine city
destination,LONDON COMMERCIAL DOCKS,2,REVIEW,,Dock/wharf - needs context to determine city
destination,BIRKENHEAD,2,,,
destination,HASKIN DOCK,2,REVIEW,,Dock/wharf - needs context to determine city
destination,REGENTS' CANAL,2,,,
destination,MILE END CANAL,2,,,
destination,BALUSTERS,2,,,
destination,MILLWAL DOCKS,2,REVIEW,,Dock/wharf - needs context to determine city
destination,ANDREW'S DOCK,2,REVIEW,,Dock/wharf - needs context to determine city
destination,PINE SPAR TIMBER,2,,,
destination,OF THE UNITED KINGDOM,2,,,
destination,WM. WRIGHT'S DOCK,2,REVIEW,,Dock/wharf - needs context to determine city
destination,WIDNES,2,,,
destination,WHARF,2,REVIEW,,Dock/wharf - needs context to determine city
destination,CARNARYON,2,,,
destination,DOORS,2,,,
destination,STRONG AND DURABLE,2,,,
destination,LARGEST HARDWOOD AND SOFTWOOD MOULDING MANUFACTURER IN THE WORLD,2,,,
destination,ON APPLICATION,2,,,
destination,TEAK LOGS AND PLANKS,2,,,
destination,LEIGHTON DOCK,2,REVIEW,,Dock/wharf - needs context to determine city
destination,HORNSBY DOCK,2,REVIEW,,Dock/wharf - needs context to determine city
destination,VERPOOL,2,,,
destination,LARGE STOCKS ALWAYS ON HAND,2,,,
destination,IMPORTER OF AUSTRIAN WAINSCOT OAK LOGS AND PLANKS,2,,,
destination,CANADA DOCKS,2,REVIEW,,Dock/wharf - needs context to determine city
destination,BULL DOCK,2,REVIEW,,Dock/wharf - needs context to determine city
destination,GREAT GRIMSBY,2,,,
destination,RECORD OUTPUT OF TIMBER,2,,,
destination,AMERICAN WALNUT SQUARES,2,,,
destination,BOOKS OF DESIGNS SENT AND ESTIMATES GIVEN,2,,,
destination,FISHEROW,1,,,
destination,BARK MERCHANTS,1,,,
destination,CHICAGO,1,,,
destination,ST. DAVID'S,1,,,
destination,DIVIDENDS,1,,,
destination,BILLS OF SALE,1,,,
destination,NORTH ALLOA,1,,,
destination,AT AVONMOUTH DOCKS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,THE SAGINAW VALLEY,1,,,
destination,BIDEFORD,1,,,
destination,HAYLE,1,,,
destination,FORT GLASGOW,1,,,
destination,ERITH,1,,,
destination,BY ROYAL ALBERT DOCK,1,REVIEW,,Dock/wharf - needs context to determine city
destination,BY COMMERCIAL DOCKS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,BY VICTORIA DOCKS,1,REVIEW,,Dock/wharf - needs context to determine city
destination,BUTLER'S WHARF,1,REVIEW,,Dock/wharf - needs context to determine city
destination,LOWER HOPE,1,,,
