port_type,port_name,ship_count
origin,"Brunswick, Ga.",7
origin,Lysekil,7
origin,Forsgrund,7
origin,Warburg,7
origin,"Guysborough, N.S.",7
origin,Wifstavarf,7
origin,Uto,7
origin,River Ouelle,7
origin,Sornas,7
origin,Solstadstrom,7
origin,Alne,7
origin,"Portland, Me.",7
origin,Nystad,7
origin,"Economy, N.S.",6
origin,Brunne,6
origin,Ekenas,6
origin,"Sheet Harbour, N.S.",6
origin,Jerfed,6
origin,Summerside,6
origin,Ny Carleby,6
origin,New Ross,6
origin,Svano,6
origin,Wiscasset,6
origin,Lockno,6
origin,Oporto,6
origin,Brahestad,6
origin,Hornefors,6
origin,Annapolis,6
origin,Konigsburg,6
origin,Weymouth,6
origin,Wiborg,6
origin,Southampton,6
origin,F'stadt,6
origin,Treguier,6
origin,Nykoping,6
origin,Oskarshamn,6
origin,Parrsbro',6
origin,Louvain,6
origin,Havana,6
origin,Auckland,6
origin,Bermuda,6
origin,Tlacotalpam,6
origin,Old Harbour,6
origin,Brussels,6
origin,"Campbeltown, N.B.",6
origin,Hull,6
origin,Brazil,6
origin,Berbice,6
origin,Catania,6
origin,Grand Pabos,6
origin,Campbeltown,6
origin,West Point,6
origin,"Portland, M.",6
origin,Skein,6
origin,Alfredshem,6
origin,Dal,6
origin,Oregrund,6
origin,Tacoma,6
origin,LAGUNA,6
origin,SWARTWIK,6
origin,Christianopel,6
origin,Fremantle,6
origin,Cape Tormentine,6
origin,Mariehamn,6
origin,Twedestrand,5
origin,Sherbrooke,5
origin,Cocagne,5
origin,Escoumains,5
origin,"Portland, Maine",5
origin,Melbourne,5
origin,Concarneau,5
origin,Stolpemunde,5
origin,Akyab,5
origin,Fredrickshamn,5
origin,Rusoer,5
origin,Sandiefiord,5
origin,Aland,5
origin,Sunderland,5
origin,"Liscombe, N.S.",5
origin,Black River,5
origin,Dalkarlsa,5
origin,Grimsby,5
origin,"Charlotte Town, P.E.I.",5
origin,Alexandria,5
origin,Belon,5
origin,P. E. Island,5
origin,Betsiamitz,5
origin,Cardenas,5
origin,St. Mary's,5
origin,N. York,5
origin,Brahestadt,5
origin,Brisbane,5
origin,Meschers,5
origin,Corcubion,5
origin,Kristinestad,5
origin,Mauritius,5
origin,Trondhjem,5
origin,Honfleur,5
origin,Harg,5
origin,Cherbourg,5
origin,Furnogrund,5
origin,"St. John, N B.",5
origin,Chicoutimi,5
origin,Port Louis,5
origin,Binic,5
origin,Santa Eugenia,5
origin,Audierne,5
origin,Berggvara,5
origin,Kaunissaari,5
origin,"Hillsboro', N.B.",5
origin,Northport,5
origin,Karlscrona,5
origin,Makslaks,5
origin,LIBAU,5
origin,Knysna,5
origin,Acorn Yd,5
origin,Panillac,5
origin,Orkedalen,4
origin,Vivero,4
origin,Puget Sound,4
origin,Liscomb,4
origin,Cochin,4
origin,Galway,4
origin,Koping,4
origin,Lyngoer,4
origin,Caraquette,4
origin,Hietanen,4
origin,Punta Arenas,4
origin,Vlaardingen,4
origin,Nedercalix,4
origin,Papenburg,4
origin,Finland,4
origin,Fredrickshaldt,4
origin,Sanda,4
origin,"Boston, U.S.",4
origin,Cork,4
origin,Orkedalsoren,4
origin,Hangesund,4
origin,"Campbelltown, N.B.",4
origin,Stavanger,4
origin,"Sherbrooke, N.S.",4
origin,Harlingen,4
origin,Villa Garcia,4
origin,Xiansand,4
origin,St. Ignace,4
origin,"Sackville, N.B.",4
origin,Nassau,4
origin,Frontera,4
origin,Muhlgraben,4
origin,Ostrand,4
origin,Noya,4
origin,Wiener,4
origin,R. Bernard,4
origin,Puerto Cortez,4
origin,Vancouver's Island,4
origin,Faon,4
origin,Hobart Town,4
origin,Christianople,4
origin,San Domingo,4
origin,"Caraquet, N.B.",4
origin,Landgangen,4
origin,St. Lucia,4
origin,Bay of Islands,4
origin,"Bridgwater, N.S.",4
origin,"Guysboro', N.S.",4
origin,Pernaviken,4
origin,River Quelle,4
origin,"Bay Verte, N.S.",4
origin,Frontera de Tabasco,4
origin,Kungsgarden,4
origin,Savenas,4
origin,Esbjerg,4
origin,Ostende,4
origin,Bremerhaven,4
origin,Shanghai,4
origin,Ulfvik,4
origin,Africa,4
origin,Rosso,4
origin,Newport,4
origin,Abus,4
origin,Nacka,4
origin,Karlshamn,4
origin,St. Simons,4
origin,Fredriksham,4
origin,Tunas de Zaza,4
origin,Cologne,4
origin,Villa garcia,4
origin,"Harvey, N.B.",4
origin,FRONTERA,4
origin,St. Margaret's Bay,4
origin,Barcelona,4
origin,Freigo,4
origin,PUERTO PLATA,4
origin,Keret,4
origin,Millwall Dk,4
origin,Sabine Pass,4
origin,Stavarf,4
origin,Tlacotalpan,3
origin,Calais,3
origin,Soraker,3
origin,"Pugwash, N.S.",3
origin,Liverpool,3
origin,Tatamagouche,3
origin,Christiania and Gothenburg,3
origin,Picton,3
origin,Five Islands,3
origin,Marie,3
origin,"Cocagne, N.B.",3
origin,Yarmouth,3
origin,Honduras,3
origin,Gamla Carleby,3
origin,Limerick,3
origin,"Alma, N.B.",3
origin,Roytta,3
origin,Fritzoe,3
origin,Sandfjord,3
origin,Morant Bay,3
origin,Altona,3
origin,Barnstaple,3
origin,Waya,3
origin,Skutekar,3
origin,Stockazog,3
origin,Astoria,3
origin,Elsinore,3
origin,Trieste and Fiume,3
origin,Skutakar,3
origin,Karlstad,3
origin,Port-au-Prince,3
origin,"Charleston, U.S.",3
origin,Cuxhaven,3
origin,Halifax and Baltimore,3
origin,Lubeck,3
origin,Trinidad,3
origin,Swinemunde,3
origin,Newfairwater,3
origin,Ronneby,3
origin,Byake,3
origin,Gustafshamn,3
origin,Gaboon,3
origin,Cardiff,3
origin,Poole,3
origin,Christensen,3
origin,Barquero,3
origin,Landskrona,3
origin,Saltkallan,3
origin,Xtiansand,3
origin,Camarina,3
origin,Axmar,3
