port_name,ship_count
Mculmein,2
BayVerte,2
"Picton, N.S.",2
Horsens,2
Monsteraas,2
Fischer,2
-Riga,2
Passages,2
Kragerroe,2
Hofvid,2
"Hillbrough, N.S.",2
Archachon,2
Orient,2
Klintsham,2
Asunder,2
Eriksdal,2
Dramman,2
Henneboat,2
Throndhjem,2
Loient,2
"Bathurst, Gulf of St. Lawrence",2
Le Tremblade,2
Oreground,2
Grundvik,2
Bio,2
Panama,2
Hafendamm,2
Lu'ea,2
Nortelge,2
Marstrand,2
Maja,2
Boroka,2
Cagliari,2
Bergquara,2
Filtvedt,2
Kohlboda,2
Curacoa,2
Foxe,2
MEMEL,2
Norfolk and Newport News,2
"Pictou, N.B.",2
Fredrikvoern,2
Puebla del Caraminal,2
Axmarby,2
Luvia,2
Liban,2
Drangsund,2
Boncan,2
Mayaguez,2
Hofund,2
Sapilo,2
Lofvik,2
Kotja,2
Pernovik,2
Russia,2
Risby,2
Repola,2
"Axim, W.C. Africa",2
Nouvelle,2
Exploits Bay,2
"Cutting, Ground",2
Hernebont,2
"Norfolk, VA.",2
Tromblade,2
Westervick,2
Jacksonville,2
"Sapelo, Ga",2
"Hopewell Cape, N.B.",2
-,2
Namso,2
Cristinestad,2
"Sapelo, Ga.",2
Onkedalsorn,1
Zanzibar,1
Papenberg,1
Olofsford,1
River Saguenay,1
Kothka,1
Esborg,1
Corfu,1
Bolderaa,1
John,1
Gallsta,1
Dohlkarsla,1
Lower Lauenburg,1
Port Saunders,1
Skonwick,1
Carlisle Bay,1
Windsor,1
Kungshamn,1
Mabon,1
Lepreux,1
Soraka,1
Kungsbacka,1
Grand Bay,1
Narrkoping,1
Hernefors,1
Sunds Bolog,1
Milk River,1
Whyncomah,1
Paris,1
Smyrna,1
teak,1
Wanks River,1
Batavia,1
Mogensen,1
Dobay,1
H,1
Ch,1
Ko,1
Mahone Bay,1
Newburgh,1
Ranmo,1
Aruskjoldvick,1
Bureo,1
Vitea,1
Nyburg,1
Flekkiefiord,1
Laguno,1
Boutouche,1
Arehangel,1
City of Son,1
Sourabaya,1
Sandeflord,1
Delfshaven,1
Champion Bay,1
Vamsos,1
Troon,1
Christine,1
Hantsport,1
Westawaif,1
Pontorson,1
Alufors,1
Skepfovik,1
Levarger,1
Bjneborg,1
Borgo,1
lathwood,1
Salsburg,1
Santander,1
Saltock,1
Ferdinandina,1
Hoenash,1
Frederikshall,1
Kimouski,1
Russoar,1
Rika,1
Robertshor,1
Niedercallix,1
Kopmanholman,1
Sundabolay,1
Reonneby,1
Draget,1
Port Glasgow,1
Sunnas,1
Pearl River,1
Sandioford,1
Herre,1
Oxarhaven,1
Dobery,1
Nossi Be,1
Fort Cortes,1
Vesta,1
Wava,1
Cimbritshamn,1
Sjune,1
Mass,1
Mose,1
Katka,1
Sandssund,1
Nyrvik,1
Petea,1
Ostrana,1
Vegesack,1
Ornskolksvik,1
Ruchee,1
Njvik,1
deals,1
Asbacker,1
Forsly Ham,1
Drebak,1
Milsamvig,1
Ulindaw,1
Lauivg,1
Nassau Tonala,1
Tignish,1
Curagoa,1
Tapilco,1
Lagunade,1
Matawa,1
East Port,1
Three Islands,1
Ship Harbour N,1
Rio Hacha,1
Joannesund,1
Laurrig,1
Stege,1
Risier,1
Wefsel,1
Frangsound,1
Cronstudt,1
Windaw,1
Orendal,1
Klasviken,1
Vefser,1
Wardoe,1
Frederiksen,1
Sundsvoern,1
Vardo,1
Sandefurd,1
Christianstadt,1
Wisbey,1
Biornebora,1
Oscar,1
Middlepart,1
"driving streams upon which this market depends are still very discouraging as to the probabilities of getting the logs. The prospects of the Menominee and other streams tributary to Green Bay, are really not so encouraging as a few weeks ago, as logs on the first",1
Satilla,1
Bisor,1
Tiansand,1
Milsemvig,1
Sandiefurd,1
Luhe,1
Uddowalla,1
Table Bay,1
Attona,1
Velsen,1
Aleyn,1
Halix,1
Borde,1
Gothenburg and Cronstadt,1
Bordeaux via London,1
Flekkifiord,1
pitwood,1
You-ford,1
Bidon,1
timber,1
Toreforg,1
oak staves,1
Parrshow,1
Sauris,1
Bawik,1
Bordeaux vid London,1
Caneron,1
Bayvert,1
Salvesen & Co,1
Ornskoldsvit,1
Hansta,1
Bideford,1
Brest pitwood,1
Bath,1
Calileo,1
Saffi,1
Three Sisters,1
Balnarte,1
Port Cortes,1
Bassein,1
Hudicksvall,1
Frederikshaldt,1
Nyvic,1
Shulu,1
New Carlisle,1
British Columbia,1
Hyvik,1
Orkidulsken,1
Aberdeen,1
Nytorp,1
Rambak,1
Newry,1
Hulst,1
Cumberland Basin,1
Matanzas,1
Bjorn-borg,1
Tredestrand,1
Drangsoud,1
Ar-ndal,1
Co,1
Kersvik,1
Cunbushamn,1
Helmstadt,1
Bennetts & Co,1
Dort,1
Soladstrom,1
Adler,1
Bloody Bay,1
Charlotte Town P,1
Maccaw,1
Yallahs,1
Campechi,1
Klintehamn,1
Inverness,1
Hayle,1
Ogmore Co,1
Vardoe,1
"St. George, N.B.",1
Soraki,1
F'dericksvoern,1
Arno Ansag,1
F'stad.,1
"Shulee, N.S.",1
Away,1
Stutshoda,1
Nadoscha,1
Fogelvik,1
Huddickwall,1
Sach Kallan,1
Carany,1
Archangl.,1
Riv. Plate,1
"Cocaigne, N.B.",1
Serpa,1
Balto,1
Bordx.,1
V'garcia,1
Bannesund,1
Xiana,1
Bjornstorm,1
Utanigo,1
Bjornemann,1
Holsta,1
Stockvick,1
Galeatacka,1
Torneadal,1
Karhula,1
Manzanilla,1
Udewalla,1
Gamlastadt,1
Ytlersfors,1
Vancouver I.,1
Chicontima,1
Scholocklea,1
F' stad,1
White Sea,1
St. Cyprian,1
Penascola,1
Ship Harbor,1
Ornskavik,1
Gothenb'g,1
Forsabyham,1
Kylom,1
Harne,1
Dronning,1
Ruthula,1
Dame d'Esperance,1
Gedeabuella,1
Esurken,1
"Shemogue, N.B.,",1
"Oak Bay, N.B.,",1
E. Pascagoula,1
Manzanillo,1
Frederiksvorn,1
Svenesund,1
Fowstkage,1
Clare Castle,1
Ahlators,1
Schippswick,1
Christina,1
Louise,1
Peter and Paul,1
Rafsa,1
H'bont,1
Clare,1
Belle Isle,1
X'sand,1
G'stadt,1
Areudal,1
Treaniskow,1
Coastwise,1
Fahrsund,1
Bergrara,1
Comarina,1
Lymington,1
Brunchausen,1
Go'burg,1
F'drikstvoern,1
F'driksvoern,1
F'dksvoern,1
G'brg,1
Pont Aven,1
Gotterburg,1
Pernaw,1
Solstastrom,1
Timmernabbem,1
B'torpshamn,1
Stutsboda,1
Colbjornsen,1
Frederiksham,1
Oskarn,1
Laurvigen,1
Swante,1
Arend,1
Bannow,1
Domejo,1
Hudiksval,1
Langronna,1
Dungarvon,1
Vigo,1
Held,1
"Tidnish, N.S.",1
Lorkno,1
Botornshamn,1
St. Mary,1
Esperanza,1
Leontine,1
Johan,1
Raumea,1
Skeppevik,1
Skippevik,1
Kallio,1
P. E I.,1
Puerta Cortes,1
"Annapolis, N.S.",1
Trontero,1
Dahlkarlsa,1
"Norfolk, N.S.",1
Stockssag,1
Kiga,1
Kioja,1
Solsatsen,1
Molde,1
Lockne,1
Stockvig,1
higa,1
Grainsland,1
Stoess,1
Ornswall,1
Storka,1
Castropol,1
Dwarf,1
Mona's Isle,1
T. W. Allen,1
Alfred,1
Margarethe,1
Fridrikstadt,1
"Auckland, N.Z.",1
Canterbury,1
Bersiamitz,1
Melchers,1
Torre del Greco,1
Sheliac,1
Quega,1
Carde,1
Jamacia,1
Tracadie,1
Itiga,1
Goth,1
Melbu,1
"Pascagoula, N.S.",1
"Bay de Verte, N.B.",1
Parabobo,1
Turkey,1
Porto Plata,1
Green Island,1
Ceara,1
Tangror,1
Bolsiamitz,1
Mesen,1
"Musquash, N. B.",1
City of Domingo,1
San Pedro,1
Gudingen,1
Salstrom,1
Madsen,1
Gebens,1
Huelva,1
Legne,1
Cameret,1
Baronne,1
Puerto Cabello,1
"Cornwallis, N.S.",1
"Fort Royal, U.S.A.",1
und,1
Corronne,1
W.C.Africa,1
"Moncton, N.B.",1
"Coatzcoalcos, Mexico",1
"Charlottetown, P E.I.",1
Fuen,1
Swinesund,1
Bjornberg,1
Satilla River,1
Wisner,1
Greytown,1
Lules,1
Carrol,1
kar,1
"Tatamagouche, N.B.",1
Steel Harbour,1
Fr. Laxa,1
St. George's,1
Baraharia,1
Josephine,1
Ruetouche,1
Domjo,1
Moller,1
Londorgroen,1
Dantric,1
Ipswich,1
St. Clair,1
Parell,1
"props, birr",1
Herr,1
Miramichi York,1
Santa Cruz de Cuba,1
"Weymouth, N S.",1
Santa Cruz del Sur,1
Harbour,1
"Yarmouth, N.B.",1
Ljurne,1
Stenviker,1
app,1
Pierville,1
Murray,1
Dranklippan,1
Borgn,1
Sod rhamn,1
Fecamp,1
Kaumussan,1
Frankhald,1
Abyu,1
Wjsby,1
Upsal,1
"Five Islands, N.S.",1
Lower Kalix,1
"Parraboro', N.S.",1
Amo,1
Strathbogie,1
Noskey,1
Eggesund,1
Elsfleth,1
Rounshy,1
Lyrgoer,1
Landsburg,1
Harborg,1
Ha,1
Waawa,1
Oxford,1
St. Jago,1
Savona,1
Gopaulpore,1
Neva,1
Fernavik,1
Itzehoe,1
Fredriksvoarn,1
Concarnean,1
Tresukstea,1
Kurrachee,1
France,1
Billien,1
Penze,1
Stettin and Gothenburg,1
"Halifax, N.",1
Trondjem,1
"Gibara, Cuba",1
Moum,1
Porsgrand,1
Anciola,1
Lysekvil,1
Leroy,1
Hosnas,1
Margretha,1
Red Creek,1
Aguste,1
Uamarina,1
Porgrun,1
Prince Edward's Island,1
Vinje,1
Monsquodoboit,1
Ancona,1
Cherril,1
City St. Domingo,1
Mazatlan,1
"St. Marzonell's Bay, N.S.",1
Helsingfors and Kotka,1
"Summerside, P.E.I.",1
Billiers,1
Caramanal,1
Gothenburg and Fredrikstad,1
"Tignish, P.E.I.",1
"Weymouth, U.S.",1
Musquodoboit,1
Fredericksham,1
Enoch,1
Kingsgar,1
Lang,1
Bstaiamitz,1
Kingsgarden,1
Langoer,1
Nvhann,1
Klippe,1
Hallstavik,1
Ballsta,1
Cayo,1
"Savannah, Georgia",1
Johannesnass,1
WORKING MACHINERY.,1
"The finest floors are said to be seen in Russia. For those of the highest grade, tropical woods are exclusively employed. Fir and pine are never used, as in consequence of their sticky character they attract and retain dust and dirt, and thereby soon become blackened. Pitch pine too is liable to shrink, even after being well seasoned. The mosaic wood floors in Russia are of extraordinary beauty. One, in the Summer Palace, is of small squares of ebony inlaid with mother",1
Stedumas,1
Stromness,1
Lugnooh,1
Pukakirk,1
Coconada,1
Plata,1
Gotherburg,1
Dahlkarls,1
Skepps,1
Krageoe,1
Stockholm and Sundswall,1
Faan,1
Naaka,1
Rockport,1
Gidenbacka,1
Rio de la Hache,1
Emnbodd,1
Elsberg,1
Rorgqvara,1
Adelaide,1
Forman,1
Tadansoe,1
Ralso,1
Ardenal,1
Dantsic,1
Kvlorn,1
Aveiro,1
Benjamin River,1
Hall's Bay,1
Murray Harbour,1
Botorpshamn,1
Pasquet,1
Point Wolf,1
Mestis,1
Workebaur,1
Baur,1
"Storung, Gothland",1
Sagua,1
Higge,1
Twillingate,1
Oregon,1
Apple River,1
"Annapolis, N. S.",1
"Elohey, W.C. Africa",1
Vlaarbingen,1
Sederhamn,1
Storvig,1
Hennel ont,1
Duppe,1
"Port Royal, W.I.",1
Saltholmen,1
Jacques River,1
Varel,1
St. Brie ux,1
Qvartvik,1
Catterina,1
Stoka,1
Viria,1
Adolph Michel,1
Stooka,1
"Parrsbro', N.S.",1
"Windsor, U.S.",1
"Littleton, N.Z.",1
"Oak Bay, N.S.",1
"Gothenburg, Christinia, and Drammen",1
Cocaigne,1
"Sheet Harbour, U.S.",1
"Caraquet, D.C.",1
Sault au,1
St. Mary River,1
"Rio Hacha, U.S.",1
"Cedar Keys, U.S.A.",1
La Faon,1
"Baddeck, C.B.",1
Hussein,1
"St. Mary's, N.S.",1
Johannadal,1
Idefjord,1
Wismar,1
Preston,1
Kannissan,1
Fauley,1
Fataholm,1
Nycarleby,1
Ornskoldswik,1
Strangon,1
"Parrsbro', N.T.",1
Batirken,1
Klampenburg,1
Danovara,1
Kungagarden,1
Bjorknas,1
Kor gaborg,1
Fatvik,1
Langen,1
Frederikahald,1
Stranjo,1
Koppvik,1
Lappmanholmen,1
"Pugwash, N.B.",1
Kathammaravik,1
Carlahamn,1
Rofso,1
Stenkjaer,1
Hill,1
Barrow,1
Kannissaari,1
Arundal,1
Sunderstag,1
Familie,1
Borja,1
Dolphin,1
Laing,1
Rodbertus,1
"Hampton, Jamaica",1
Snarven,1
Reunion,1
Augusta,1
"Norfolk, Var.",1
E. Indies,1
Kraeroe,1
Rangsound,1
Cadiz,1
Thompson,1
Throndsjem,1
"Green Island, Jamaica",1
Rio Grande do Sul,1
"Savannah, U.S.",1
Girl,1
Cornelius,1
Elburg,1
Faekenburg,1
Cape Hayti,1
Savanilla,1
Le Faou,1
Girgenti,1
New Port,1
Svinocr,1
Elobey,1
Wiswall,1
Rodon,1
Benie,1
Allen,1
Ljuene,1
Aagaards,1
Hartmann,1
Fredenstrand,1
GRATEFUL AND COMFORTING.,1
Urvik,1
Holmen,1
Karlruhs,1
St. Montreal,1
Fredriksval,1
Binie,1
Port Louise,1
Svinor,1
in,1
Porthonis,1
Rangers,1
Hartvik,1
Danzie,1
Port of Darien,1
Calmo,1
Owari,1
Kannessauri,1
Sorga,1
Ornoviken,1
Grand Palls,1
Grand Pablos,1
Cubucto,1
Ytterafors,1
Hamn,1
Franceville,1
Calabar,1
Tagonrog,1
"Port Medway, U.S.",1
Champoten,1
Burrard's Inlet,1
Kon'gsberg,1
Vlardingen,1
Germany,1
"Port Royal, S.E.",1
Hollen,1
Alderney,1
Holm,1
Hower,1
Caderona,1
Aamaes,1
Falkenb'g,1
Parisienne,1
Domsjo and Nordsmalings,1
K. Tor,1
Bomarsund,1
Ulea,1
Lilla Warten,1
Vances,1
Utoo,1
"Digby, N.S.",1
Stralsund,1
"Guysboro,' N.S.",1
Botorphshamn,1
Frostkorge,1
Sandfiord,1
Herte,1
Nivero,1
Emilie,1
Essequibo,1
Gidenbacha,1
Grinsted,1
Trenberth,1
Carlstad,1
Port Medway,1
"St. John, N.P.",1
Gymer,1
N.B.,1
Killeviken,1
Halifax and Portland,1
Hommelvig,1
Maramham,1
Patoum,1
Missouri,1
Samarang,1
Treffenberg,1
Portland Maine,1
Karleby,1
"Spencer's Island, N.S.",1
"Newport, Va.",1
Dorkt,1
Lyngoor,1
San lefjord,1
Oploe,1
Grangemouth,1
"Richmond, Va.",1
Leopold,1
Dumfries,1
Aussig,1
Parahyba,1
Delfhaven,1
Gloucester,1
"Herring Neck, N.fld.",1
Wycoomagh,1
Bjornkas,1
Economy Point,1
Visero,1
"Drysdale, N.B.",1
Three Towns,1
Borggvara,1
Hernhamn,1
Woolwich,1
St.,1
Schabk,1
Kannissaru,1
"Salo, Abo",1
Quella,1
Sietwende,1
Gala,1
Lilla Varten,1
Broke,1
Omsach,1
Miramishi,1
Now York,1
Now Orleans,1
Poston,1
"Newport News, V.",1
Montrose,1
"past two o'clock, and at that time the first floor was well alight. Several manuals were promptly on the spot, and all round the building, and it was with such rapidity that in a short time the efforts of the firemen were successful. The shops of Mr. J. H. Ashton, a picture",1
O xe osund,1
"Ny, Karleby",1
Forrsogrund,1
Calix,1
"Windsor, N.S.",1
Frostkage,1
Maranham,1
Donlin,1
Scarsport,1
Parrsborough N.S.,1
Oronstadt,1
Werbeback,1
Drng,1
Theophile,1
Sulina,1
Guantanamo,1
Derby,1
Rockabema,1
Aviles,1
Drambak,1
Falkonberg,1
Esvik,1
Kopmanhalmon,1
"New York, U.S.",1
"Cardigan, P.E.I.",1
Trimsaran,1
Saints,1
Kimovski,1
Halista,1
"St. John's, Newfoundland",1
Key West,1
Maraham,1
Bolax,1
Grop,1
"Charleston, N.S.",1
P.E. Island,1
Haab,1
"Tapia, Spain",1
"Mobile, Ala.",1
Gotheaburg,1
from Halifax,1
Fredrikvaern,1
Rugewalde,1
Badeck,1
Rosetta,1
Helmsund,1
Housie,1
Klampenberg,1
Australia,1
"Sheliac, N.B.",1
Norvik,1
Morliax,1
Stockholm and Rafso,1
Backmann,1
"Sheet Harbour, Canada",1
Monksund,1
Stockholm and Soderhamn,1
Ahla,1
Fre.irikshald,1
Nybamn,1
Lervik,1
"Sheet Harbour, N. B.",1
"Economy, N.B.",1
Karenhdel,1
"Portland, Oregon",1
Princesses,1
Nora,1
"Port Medway, N.B.",1
"Wilson appeared in this case, on Saturday last, in the Queen's Bench Division, before Mr. Justice Cave and Mr. Baron Pollock, on behalf of the defendants, on appeal against an order made by Mr. Justice Field, at Chambers, refusing to allow them to amend the writ in the action by adding the name of one Donald as a co",1
Nafso,1
Benodet,1
Revel,1
Sastmola,1
"Baltimore, U.S.A.",1
Guernsey,1
"Newport News, Va",1
Fredriksvorn,1
"West Bay, U.S.",1
Hushgoik,1
Arthur,1
Orotastadt,1
Geila,1
Inverleith Windau,1
Paquebot de Brest,1
New O.leans,1
River,1
Oromocto,1
"Economy, U.S.",1
Avonmouth,1
Port au,1
Franck,1
"Bay Verte, Montreal",1
Rano,1
Horseno,1
Hillsborough N.B.,1
Neder Kalix and Sweden,1
Salvator,1
Cochon,1
St. Paul's Bay,1
Borrga,1
"St. John, N.B",1
Swarwik,1
"Moser River, N.S.",1
Torneouen,1
Mosane,1
Naskee,1
Corcarneau,1
"Economy Point, Nova Scotia",1
Miller,1
Mera,1
Lefjefjord,1
Hernosan,1
Hernosand and Stockholm,1
Skouvik,1
Jule,1
Batekarnas,1
Salis,1
Holsingfors,1
Thomas,1
Almvik,1
Carlberg,1
Arenos,1
Hjorthammar,1
Ronne,1
Rilgedahl,1
Aaland,1
Fiume and Trieste,1
Solvetsburg,1
Gefle and Sandarne,1
Valvig,1
Westering,1
Sutcliffe,1
"Newport News, Va.",1
Wiken,1
Ahlo,1
Solstradstrom,1
Treshchow,1
Ljughorn,1
Petersen,1
Atu,1
Asbecka,1
Bredvik,1
Sundawall,1
Strommas,1
Murphy,1
Halax,1
Fide,1
Pat,1
Merlaix,1
Bay Chaleur,1
"MILL COMPANY, Johnstone Saw",1
Spencer Island,1
Pikkala,1
Mone,1
Guttstrom,1
Rosa,1
C. Helsingfors,1
Wergeland,1
Fordeux,1
Barkivig,1
Nastor,1
Harnae,1
Pont L Abbe,1
Lieutenant von Witzleben,1
Harnas and Gefle,1
Finklipsan,1
Vordingborg,1
Kaanessari,1
Onega and Soroka,1
"New Mills, N.B.",1
Rorvik,1
Bay Verts,1
Whycocomah,1
"mill work and saving fuel. Its prompt, certain, self",1
Rorso,1
Hanskalaete,1
Otto,1
Swansea,1
Richibuoto,1
West B.,1
"Nynamn, Soderhamn",1
Ed,1
"Nvhamn, Soderhamn",1
"Hillsboro', N.S.",1
Paskllavik,1
Koy,1
"Economy Point, N.S.",1
Hirschberg,1
Belle,1
Svendborg,1
Port Larralde,1
Naskaske,1
Suudswall,1
Poragrund,1
Villegrain,1
