commodity,origin_port,count
fir timber,Klaipeda,13
do do,Olsen,13
sim,Boston,13
sim,Gothenburg,13
oak boards,Trieste,13
w.o planks,Baltimore,13
planks beech,Bremen,13
staves,Fredrikshald,13
battens,Halmstad,13
deal ends,Saguenay,13
battens,Quebec City,13
ends,Saguenay,13
deals,"Chatham, N. B.",13
whitewood,St. Petersburg,13
slee,Fredrikstad,13
firewood,Nordmaling,12
deals,Torefors,12
boards,St. John,12
jarrah,Fremantle,12
powis,Montreal,12
walnut,Quebec City,12
deals,Västervik (Westerwik),12
battens,Swartvik,12
pieces,Trieste,12
pit props,Skien,12
ends,Metis,12
mahogany,Nuevitas,12
pit props,Oscarshamn,12
cs mouldings,New York,12
planks,Rangoon,12
wainscot logs,Riga,12
palings,Saguenay,12
boards,Abo,12
deal ends,St. Petersburg,12
c deals,Cronstadt,12
flooring boards,Drammen,12
deals,Iggesund,12
satinwood,New York,12
lancewood spars,New York,12
pit props,Brevig,12
cedar,Nuevitas,12
pine deals,Quebec City,12
battens,Onega,12
battens,Domsjo,12
firewood,Danzig,12
planks,New York,12
battens,Danzig,12
deals,Ornskjoldsvik,12
walnut logs,New York,12
deals,Laurvig,12
from drammen,Christiania,12
fir,Klaipeda,12
battens,G'burg,12
mouldings,Uddewalla,12
oak,Philadelphia,12
lathwood,Quebec City,12
deals,G'burg,11
do do,Nielsen,11
battens,Klaipeda,11
sim,Newport News,11
deals,Liepāja,11
hewn fir,Danzig,11
poplar,Norfolk,11
poplar,Newport News,11
logs,Baltimore,11
from fiume,Trieste,11
oars,St. Petersburg,11
boards,Wyborg,11
boards,Onega,11
cwt veneers,Dieppe,11
pinewood,Stettin,11
poles,St. Petersburg,11
poplar logs,Baltimore,11
ends,Mesane,11
firewood,Neder Kalix,11
birch,Montreal,11
deals,Halmstad,11
rickers,Christiania,11
pitwood,Redon,11
planed boards,Gothenburg,11
mahogany,Le Havre,11
boards,Rafso,11
firewood,Ornskjoldsvik,11
doors,Montreal,11
laths,Cronstadt,11
handles,New York,11
pieces,Philadelphia,11
oak,Norfolk,11
planed boards,Drammen,11
cars lumber,New York,11
do do,Johansson,11
oars,Cronstadt,11
battens,Oxelosund,11
cedar,Minatitlan,11
firewood-with,Fredrikstad,11
blocks,Riga,10
blocks,Klaipeda,10
mcconnell,New York,10
shutter laths,Uddevalla,10
firewood,Klaipeda,10
deal ends,Archangel,10
elm,Boston,10
turned wood-j w uloth,Gothenburg,10
battens,Saguenay,10
bundles,Stockholm,10
battens,Oscarshamn,10
lumber-h herrmann,New York,10
deals,Dalhousie,10
boards,Arendal,10
staves,Skien,10
wood,St. Petersburg,10
pit props,Riga,10
cs mouldings,Hamburg,10
dowels,Boston,10
shooks,Boston,10
deals,Simo,10
batten ends,Riga,10
oak parquets,Trieste,10
wainscot logs,Trieste,10
deals,Finklippan,10
firewood,Rafso,10
c deals,Skonvik,10
boards,Pensacola,10
hardwood,New York,10
pit props,Laurvig,10
balusters,New York,10
pieces,Gothenburg,10
boards,Holmsund,10
boathooks,Christiania,10
flooring,Drammen,10
cs splints,Montreal,10
deals,Richibucto,10
boards,Klaipeda,10
oak logs,Stettin,10
staves,Gefle,10
lumber,Montreal,10
doors-w r crow,Gothenburg,10
mauerlatten,Danzig,10
walnut logs,Baltimore,10
deals,Uddevalla,10
deal ends,Klaipeda,10
wood,Flushing,10
hickory,Quebec City,10
staves,Stettin,10
battens,Tornea,10
sleepers,Cronstadt,10
wood,Boston,10
mahogany,Laguna,10
oak boards,New York,10
deals,Swartwick,10
boards,Skelleftea,10
wood,Le Havre,10
pieces,Belize,10
oak staves,Liepāja,10
battens,Västervik (Westerwik),10
rosewood,Le Havre,10
deals,Stugsund,10
russia yard,Co.,10
pieces,Norfolk,9
deals,Ahlafors,9
firewood,Svartvik,9
lathwood,Klaipeda,9
shooks,New York,9
rails,Gothenburg,9
walnut,Philadelphia,9
battens,Skonvik,9
firewood,Swartwik,9
walnut,Norfolk,9
pit props,Drammen,9
boyson,Fredrikstad,9
staves,Rotterdam,9
staves,Abo,9
do do,Larsen,9
wheels,New York,9
pit props,Stettin,9
rattans,Hamburg,9
firewood,Fredrikshamn,9
ends,Soroka,9
deals-bryant,Montreal,9
firewood,Iggesund,9
boards,Helsingfors,9
fir,Stettin,9
balks,Danzig,9
oak,Odessa,9
ends,Wyborg,9
oak logs,Fiume,9
boards,Miramichi,9
gellibrand,Cronstadt,9
flooring boards,Gothenburg,9
poles,Cronstadt,9
battens,Iggesund,9
deals,Wifstawarf,9
deals,Oscarshamn,9
cars,New York,9
boards,Rotterdam,9
oak,Klaipeda,9
boards,Porsgrund,9
boards,Pitea,9
lumber,York,9
firewood,Christiansand,9
penton,Christiania,9
mauerlatten,Klaipeda,9
battens,Fredrikshald,9
cs wood boards,Christiania,9
wood,Riga,9
firewood,Kramfors,9
planks,Bremen,9
lath,St. Petersburg,9
laths-simson,Gothenburg,9
planks,Odessa,9
battens,Finklippan,9
deals,Le Havre,9
round wood,Gothenburg,9
hd staves,New York,9
no doors,New York,9
redwood,Fredrikstad,9
deals,Nederkalix,9
cs box boards,Gothenburg,9
oak planks,Baltimore,8
scantlings,Abo,8
maple blocks,Montreal,8
oak staves,Stettin,8
battens,Attu,8
boards,Mesane,8
logs,Boston,8
spruce deals,Quebec City,8
boards,Lulea,8
masts,Christiania,8
waney pine,Quebec City,8
cs splints,St. John,8
deals,Skien,8
poplar lumber,Baltimore,8
palings,St. John,8
boards,Danzig,8
floorings-boyson,Fredrikstad,8
wainscot logs,Klaipeda,8
planks,Quebec City,8
deals,Neder Kalix,8
planks,Baltimore,8
redwood,Madras,8
mahogany,Nassau,8
planks,Christiania,8
deals,Matane,8
deals,Magdalen River,8
deal ends,Chicontimi,8
planks,Danzig,8
mahogany,Colon,8
