record_id,source_file,line_number,ship_name,origin_port,destination_port,ship_level_merchant,publication_date,commodity,merchant,raw_cargo_segment,raw_ship_line
34506,18830106p.12.txt,37,Emma,Pensacola,LONDON,Order,6 January 1883,deals,Order,"1,153 pcs. timber, 3,900 deals-Order","30 Emma-Pensacola-1,153 pcs. timber, 3,900 deals-Order"
34506,18830106p.12.txt,37,Emma,Pensacola,LONDON,Order,6 January 1883,timber,Order,"1,153 pcs. timber, 3,900 deals-Order","30 Emma-Pensacola-1,153 pcs. timber, 3,900 deals-Order"
34507,18830106p.12.txt,38,Canada,New York,LONDON,Order,6 January 1883,logs walnut,Order,"3,558 square logs walnut, 3,381 pipe staves-Order","Jan. 1 Canada (s)-New York-3,558 square logs walnut, 3,381 pipe staves-Order"
34507,18830106p.12.txt,38,Canada,New York,LONDON,Order,6 January 1883,pipe staves,Order,"3,558 square logs walnut, 3,381 pipe staves-Order","Jan. 1 Canada (s)-New York-3,558 square logs walnut, 3,381 pipe staves-Order"
34508,18830106p.12.txt,39,North Cambria,New York,LONDON,Churchill,6 January 1883,staves,Churchill,"3,900 staves-Churchill","2 North Cambria (s)-New York-3,900 staves-Churchill ; 54 pcs. walnut-Herrmann"
34508,18830106p.12.txt,39,North Cambria,New York,LONDON,Churchill,6 January 1883,walnut,Herrmann,54 pcs. walnut-Herrmann,"2 North Cambria (s)-New York-3,900 staves-Churchill ; 54 pcs. walnut-Herrmann"
34509,18830106p.12.txt,40,Avena,Uddevalla,LONDON,Gribble & Co.,6 January 1883,mouldings,Gribble and Co,"13 crts. trellis, 1,502 bdls. mouldings-Gribble & Co.","Avena (s)-Uddevalla-13 crts. trellis, 1,502 bdls. mouldings-Gribble & Co."
34509,18830106p.12.txt,40,Avena,Uddevalla,LONDON,Gribble & Co.,6 January 1883,trellis,Gribble and Co,"13 crts. trellis, 1,502 bdls. mouldings-Gribble & Co.","Avena (s)-Uddevalla-13 crts. trellis, 1,502 bdls. mouldings-Gribble & Co."
34510,18830106p.12.txt,41,Monarch,New York,LONDON,Moir & Co.,6 January 1883,cs sawn timber,Moir & Co.,8 cs. sawn timber-Order,Monarch (s)-New York-456 pcs. oak-Moir & Co. ; 40 logs walnut-Churchill ; 8 cs. sawn timber-Order
34510,18830106p.12.txt,41,Monarch,New York,LONDON,Moir & Co.,6 January 1883,oak,Moir and Co,456 pcs. oak-Moir & Co.,Monarch (s)-New York-456 pcs. oak-Moir & Co. ; 40 logs walnut-Churchill ; 8 cs. sawn timber-Order
34510,18830106p.12.txt,41,Monarch,New York,LONDON,Moir & Co.,6 January 1883,walnut,Churchill,40 logs walnut-Churchill,Monarch (s)-New York-456 pcs. oak-Moir & Co. ; 40 logs walnut-Churchill ; 8 cs. sawn timber-Order
34511,18830106p.12.txt,42,Coventina,New York,LONDON,"Brack & Currier ; 53 logs walnut, 1",6 January 1883,bdls.staves,"May, Sutherland, and Co","1,200 bdls.staves-May, Sutherland, & Co.","Coventina (s)-New York-599 doors-Brack & Currier ; 53 logs walnut, 1,479 pcs. lumber-Herrmann ; 1,200 bdls.staves-May, Sutherland, & Co. ; 3,989 bdls. staves-T. Brown"
34511,18830106p.12.txt,42,Coventina,New York,LONDON,"Brack & Currier ; 53 logs walnut, 1",6 January 1883,doors,Brack and Currier,599 doors-Brack & Currier,"Coventina (s)-New York-599 doors-Brack & Currier ; 53 logs walnut, 1,479 pcs. lumber-Herrmann ; 1,200 bdls.staves-May, Sutherland, & Co. ; 3,989 bdls. staves-T. Brown"
34511,18830106p.12.txt,42,Coventina,New York,LONDON,"Brack & Currier ; 53 logs walnut, 1",6 January 1883,lumber,Herrmann,479 pcs. lumber-Herrmann,"Coventina (s)-New York-599 doors-Brack & Currier ; 53 logs walnut, 1,479 pcs. lumber-Herrmann ; 1,200 bdls.staves-May, Sutherland, & Co. ; 3,989 bdls. staves-T. Brown"
34511,18830106p.12.txt,42,Coventina,New York,LONDON,"Brack & Currier ; 53 logs walnut, 1",6 January 1883,staves,T. Brown,"3,989 bdls. staves-T. Brown","Coventina (s)-New York-599 doors-Brack & Currier ; 53 logs walnut, 1,479 pcs. lumber-Herrmann ; 1,200 bdls.staves-May, Sutherland, & Co. ; 3,989 bdls. staves-T. Brown"
34511,18830106p.12.txt,42,Coventina,New York,LONDON,"Brack & Currier ; 53 logs walnut, 1",6 January 1883,walnut,"Brack & Currier ; 53 logs walnut, 1","53 logs walnut, 1","Coventina (s)-New York-599 doors-Brack & Currier ; 53 logs walnut, 1,479 pcs. lumber-Herrmann ; 1,200 bdls.staves-May, Sutherland, & Co. ; 3,989 bdls. staves-T. Brown"
34512,18830106p.12.txt,43,Thomas Melville,New York,LONDON,Order,6 January 1883,ash squares,Order,"624 walnut logs, 124 square walnut logs, 9 bdls. ash squares, 372 pcs. oak-Order","Thomas Melville (s)-New York-624 walnut logs, 124 square walnut logs, 9 bdls. ash squares, 372 pcs. oak-Order"
34512,18830106p.12.txt,43,Thomas Melville,New York,LONDON,Order,6 January 1883,oak,Order,"624 walnut logs, 124 square walnut logs, 9 bdls. ash squares, 372 pcs. oak-Order","Thomas Melville (s)-New York-624 walnut logs, 124 square walnut logs, 9 bdls. ash squares, 372 pcs. oak-Order"
34512,18830106p.12.txt,43,Thomas Melville,New York,LONDON,Order,6 January 1883,walnut logs,Order,"624 walnut logs, 124 square walnut logs, 9 bdls. ash squares, 372 pcs. oak-Order","Thomas Melville (s)-New York-624 walnut logs, 124 square walnut logs, 9 bdls. ash squares, 372 pcs. oak-Order"
34513,18830106p.12.txt,44,Rollo,Christiania,LONDON,"With, Webster ; 18",6 January 1883,boards,Duus Brown and Co,"16,431 planed boards, 1,892,93 boards-Duus Brown & Co.","3 Rollo (s)-Christiania-7,559 planed boards-With, Webster ; 18,107 planed boards-Anderson ; 16,431 planed boards, 1,892,93 boards-Duus Brown & Co. ; 2,524 deals -Berner & Nielsen ; 190,000 boards-Order"
34513,18830106p.12.txt,44,Rollo,Christiania,LONDON,"With, Webster ; 18",6 January 1883,boards,"With, Webster ; 18","190,000 boards-Order","3 Rollo (s)-Christiania-7,559 planed boards-With, Webster ; 18,107 planed boards-Anderson ; 16,431 planed boards, 1,892,93 boards-Duus Brown & Co. ; 2,524 deals -Berner & Nielsen ; 190,000 boards-Order"
34513,18830106p.12.txt,44,Rollo,Christiania,LONDON,"With, Webster ; 18",6 January 1883,deals,Berner and Nielsen,"2,524 deals -Berner & Nielsen","3 Rollo (s)-Christiania-7,559 planed boards-With, Webster ; 18,107 planed boards-Anderson ; 16,431 planed boards, 1,892,93 boards-Duus Brown & Co. ; 2,524 deals -Berner & Nielsen ; 190,000 boards-Order"
34513,18830106p.12.txt,44,Rollo,Christiania,LONDON,"With, Webster ; 18",6 January 1883,planed boards,"With, Webster","7,559 planed boards-With, Webster","3 Rollo (s)-Christiania-7,559 planed boards-With, Webster ; 18,107 planed boards-Anderson ; 16,431 planed boards, 1,892,93 boards-Duus Brown & Co. ; 2,524 deals -Berner & Nielsen ; 190,000 boards-Order"
34513,18830106p.12.txt,44,Rollo,Christiania,LONDON,"With, Webster ; 18",6 January 1883,planed boards,Anderson,107 planed boards-Anderson,"3 Rollo (s)-Christiania-7,559 planed boards-With, Webster ; 18,107 planed boards-Anderson ; 16,431 planed boards, 1,892,93 boards-Duus Brown & Co. ; 2,524 deals -Berner & Nielsen ; 190,000 boards-Order"
34513,18830106p.12.txt,44,Rollo,Christiania,LONDON,"With, Webster ; 18",6 January 1883,planed boards,Duus Brown and Co,"16,431 planed boards, 1,892,93 boards-Duus Brown & Co.","3 Rollo (s)-Christiania-7,559 planed boards-With, Webster ; 18,107 planed boards-Anderson ; 16,431 planed boards, 1,892,93 boards-Duus Brown & Co. ; 2,524 deals -Berner & Nielsen ; 190,000 boards-Order"
34590,18830113p.29_p001.txt,79,Brisbane,Demerara,LONDON,Order,13 January 1883,greenheart,Order,274 logs greenheart-Order,Jan. 4 Brisbane—Demerara—274 logs greenheart -Order
34591,18830113p.29_p001.txt,80,Albert Edward,Gothenburg,LONDON,"With, Webster, & Co. ; 2",13 January 1883,boards,"With, Webster, and Co","8,201 boards-With, Webster, & Co.","4 Albert Edward (s)—Gothenburg—8,201 boards —With, Webster, & Co. ; 2,201 bdls. laths—Simson & Mason ; 1,025 doors—Edling & Co. ; 100 prs. oars—Order"
34591,18830113p.29_p001.txt,80,Albert Edward,Gothenburg,LONDON,"With, Webster, & Co. ; 2",13 January 1883,doors,"With, Webster, & Co. ; 2","1,025 doors","4 Albert Edward (s)—Gothenburg—8,201 boards —With, Webster, & Co. ; 2,201 bdls. laths—Simson & Mason ; 1,025 doors—Edling & Co. ; 100 prs. oars—Order"
34591,18830113p.29_p001.txt,80,Albert Edward,Gothenburg,LONDON,"With, Webster, & Co. ; 2",13 January 1883,edling,"With, Webster, & Co. ; 2",Edling & Co.,"4 Albert Edward (s)—Gothenburg—8,201 boards —With, Webster, & Co. ; 2,201 bdls. laths—Simson & Mason ; 1,025 doors—Edling & Co. ; 100 prs. oars—Order"
34591,18830113p.29_p001.txt,80,Albert Edward,Gothenburg,LONDON,"With, Webster, & Co. ; 2",13 January 1883,laths,"With, Webster, & Co. ; 2",201 bdls. laths,"4 Albert Edward (s)—Gothenburg—8,201 boards —With, Webster, & Co. ; 2,201 bdls. laths—Simson & Mason ; 1,025 doors—Edling & Co. ; 100 prs. oars—Order"
34591,18830113p.29_p001.txt,80,Albert Edward,Gothenburg,LONDON,"With, Webster, & Co. ; 2",13 January 1883,mason,"With, Webster, & Co. ; 2",Simson & Mason,"4 Albert Edward (s)—Gothenburg—8,201 boards —With, Webster, & Co. ; 2,201 bdls. laths—Simson & Mason ; 1,025 doors—Edling & Co. ; 100 prs. oars—Order"
34591,18830113p.29_p001.txt,80,Albert Edward,Gothenburg,LONDON,"With, Webster, & Co. ; 2",13 January 1883,oars,"With, Webster, & Co. ; 2",100 prs. oars,"4 Albert Edward (s)—Gothenburg—8,201 boards —With, Webster, & Co. ; 2,201 bdls. laths—Simson & Mason ; 1,025 doors—Edling & Co. ; 100 prs. oars—Order"
34591,18830113p.29_p001.txt,80,Albert Edward,Gothenburg,LONDON,"With, Webster, & Co. ; 2",13 January 1883,simson,"With, Webster, & Co. ; 2",Simson & Mason,"4 Albert Edward (s)—Gothenburg—8,201 boards —With, Webster, & Co. ; 2,201 bdls. laths—Simson & Mason ; 1,025 doors—Edling & Co. ; 100 prs. oars—Order"
34592,18830113p.29_p001.txt,81,Carl XV.,Gothenburg,LONDON,W. Howard,13 January 1883,battens,W. Howard,"1,129 pcs., 120 doz. battens, 3,482 flooring boards-W. Howard","5 Carl XV. (s)—Gothenburg—1,129 pcs., 120 doz. battens, 3,482 flooring boards—W. Howard ; 505 doz. flooring boards—Prier Wotton & Co. ; 55 prs. oars, 281 doz. battens, 1,410 bdls. laths—Order"
34592,18830113p.29_p001.txt,81,Carl XV.,Gothenburg,LONDON,W. Howard,13 January 1883,battens,W. Howard,"55 prs. oars, 281 doz. battens, 1,410 bdls. laths","5 Carl XV. (s)—Gothenburg—1,129 pcs., 120 doz. battens, 3,482 flooring boards—W. Howard ; 505 doz. flooring boards—Prier Wotton & Co. ; 55 prs. oars, 281 doz. battens, 1,410 bdls. laths—Order"
34592,18830113p.29_p001.txt,81,Carl XV.,Gothenburg,LONDON,W. Howard,13 January 1883,flooring boards,W. Howard,"1,129 pcs., 120 doz. battens, 3,482 flooring boards-W. Howard","5 Carl XV. (s)—Gothenburg—1,129 pcs., 120 doz. battens, 3,482 flooring boards—W. Howard ; 505 doz. flooring boards—Prier Wotton & Co. ; 55 prs. oars, 281 doz. battens, 1,410 bdls. laths—Order"
34592,18830113p.29_p001.txt,81,Carl XV.,Gothenburg,LONDON,W. Howard,13 January 1883,flooring boards,W. Howard,505 doz. flooring boards,"5 Carl XV. (s)—Gothenburg—1,129 pcs., 120 doz. battens, 3,482 flooring boards—W. Howard ; 505 doz. flooring boards—Prier Wotton & Co. ; 55 prs. oars, 281 doz. battens, 1,410 bdls. laths—Order"
34592,18830113p.29_p001.txt,81,Carl XV.,Gothenburg,LONDON,W. Howard,13 January 1883,laths,W. Howard,"55 prs. oars, 281 doz. battens, 1,410 bdls. laths","5 Carl XV. (s)—Gothenburg—1,129 pcs., 120 doz. battens, 3,482 flooring boards—W. Howard ; 505 doz. flooring boards—Prier Wotton & Co. ; 55 prs. oars, 281 doz. battens, 1,410 bdls. laths—Order"
34592,18830113p.29_p001.txt,81,Carl XV.,Gothenburg,LONDON,W. Howard,13 January 1883,oars,W. Howard,"55 prs. oars, 281 doz. battens, 1,410 bdls. laths","5 Carl XV. (s)—Gothenburg—1,129 pcs., 120 doz. battens, 3,482 flooring boards—W. Howard ; 505 doz. flooring boards—Prier Wotton & Co. ; 55 prs. oars, 281 doz. battens, 1,410 bdls. laths—Order"
34592,18830113p.29_p001.txt,81,Carl XV.,Gothenburg,LONDON,W. Howard,13 January 1883,prier wotton,W. Howard,Prier Wotton & Co.,"5 Carl XV. (s)—Gothenburg—1,129 pcs., 120 doz. battens, 3,482 flooring boards—W. Howard ; 505 doz. flooring boards—Prier Wotton & Co. ; 55 prs. oars, 281 doz. battens, 1,410 bdls. laths—Order"
34593,18830113p.29_p001.txt,82,Kepler,New York,LONDON,Bradley & Currier,13 January 1883,churchill,Bradley & Currier,Churchill & Sim,"8 Kepler (s)—New York—1,710 doors—Bradley & Currier ; 145 logs—Churchill & Sim ; 1,200 staves—McAndrew & Co. ; 3,343 bdls. staves —Tate & Sons ; 5,202 bdls. cooperage—Guelph & Co.; 216 bxs. mouldings—Order"
34593,18830113p.29_p001.txt,82,Kepler,New York,LONDON,Bradley & Currier,13 January 1883,cooperage,Bradley & Currier,"5,202 bdls. cooperage","8 Kepler (s)—New York—1,710 doors—Bradley & Currier ; 145 logs—Churchill & Sim ; 1,200 staves—McAndrew & Co. ; 3,343 bdls. staves —Tate & Sons ; 5,202 bdls. cooperage—Guelph & Co.; 216 bxs. mouldings—Order"
34593,18830113p.29_p001.txt,82,Kepler,New York,LONDON,Bradley & Currier,13 January 1883,doors,Bradley and Currier,"1,710 doors-Bradley & Currier","8 Kepler (s)—New York—1,710 doors—Bradley & Currier ; 145 logs—Churchill & Sim ; 1,200 staves—McAndrew & Co. ; 3,343 bdls. staves —Tate & Sons ; 5,202 bdls. cooperage—Guelph & Co.; 216 bxs. mouldings—Order"
34593,18830113p.29_p001.txt,82,Kepler,New York,LONDON,Bradley & Currier,13 January 1883,guelph,Bradley & Currier,Guelph & Co.,"8 Kepler (s)—New York—1,710 doors—Bradley & Currier ; 145 logs—Churchill & Sim ; 1,200 staves—McAndrew & Co. ; 3,343 bdls. staves —Tate & Sons ; 5,202 bdls. cooperage—Guelph & Co.; 216 bxs. mouldings—Order"
34593,18830113p.29_p001.txt,82,Kepler,New York,LONDON,Bradley & Currier,13 January 1883,mcandrew,Bradley & Currier,McAndrew & Co.,"8 Kepler (s)—New York—1,710 doors—Bradley & Currier ; 145 logs—Churchill & Sim ; 1,200 staves—McAndrew & Co. ; 3,343 bdls. staves —Tate & Sons ; 5,202 bdls. cooperage—Guelph & Co.; 216 bxs. mouldings—Order"
34593,18830113p.29_p001.txt,82,Kepler,New York,LONDON,Bradley & Currier,13 January 1883,mouldings,Bradley & Currier,216 bxs. mouldings,"8 Kepler (s)—New York—1,710 doors—Bradley & Currier ; 145 logs—Churchill & Sim ; 1,200 staves—McAndrew & Co. ; 3,343 bdls. staves —Tate & Sons ; 5,202 bdls. cooperage—Guelph & Co.; 216 bxs. mouldings—Order"
34593,18830113p.29_p001.txt,82,Kepler,New York,LONDON,Bradley & Currier,13 January 1883,sim,Bradley & Currier,Churchill & Sim,"8 Kepler (s)—New York—1,710 doors—Bradley & Currier ; 145 logs—Churchill & Sim ; 1,200 staves—McAndrew & Co. ; 3,343 bdls. staves —Tate & Sons ; 5,202 bdls. cooperage—Guelph & Co.; 216 bxs. mouldings—Order"
34593,18830113p.29_p001.txt,82,Kepler,New York,LONDON,Bradley & Currier,13 January 1883,staves,Bradley & Currier,"1,200 staves","8 Kepler (s)—New York—1,710 doors—Bradley & Currier ; 145 logs—Churchill & Sim ; 1,200 staves—McAndrew & Co. ; 3,343 bdls. staves —Tate & Sons ; 5,202 bdls. cooperage—Guelph & Co.; 216 bxs. mouldings—Order"
34593,18830113p.29_p001.txt,82,Kepler,New York,LONDON,Bradley & Currier,13 January 1883,staves,Bradley & Currier,"3,343 bdls. staves","8 Kepler (s)—New York—1,710 doors—Bradley & Currier ; 145 logs—Churchill & Sim ; 1,200 staves—McAndrew & Co. ; 3,343 bdls. staves —Tate & Sons ; 5,202 bdls. cooperage—Guelph & Co.; 216 bxs. mouldings—Order"
34593,18830113p.29_p001.txt,82,Kepler,New York,LONDON,Bradley & Currier,13 January 1883,tate,Bradley & Currier,Tate & Sons,"8 Kepler (s)—New York—1,710 doors—Bradley & Currier ; 145 logs—Churchill & Sim ; 1,200 staves—McAndrew & Co. ; 3,343 bdls. staves —Tate & Sons ; 5,202 bdls. cooperage—Guelph & Co.; 216 bxs. mouldings—Order"
34594,18830113p.29_p001.txt,83,Envoy,Trieste,LONDON,Simson & Mason ; 52 wainscot blocks and,13 January 1883,c heaven,Simson & Mason ; 52 wainscot blocks and,C. Heaven,"Envoy (s)—Trieste—105 wainscot blocks—Simson & Mason ; 52 wainscot blocks and 130 sills—Sidney & Pridley; 801 floor boards, 97 wainscot planks—C. Heaven ; 50,000 oak staves—Order"
34594,18830113p.29_p001.txt,83,Envoy,Trieste,LONDON,Simson & Mason ; 52 wainscot blocks and,13 January 1883,floor boards,Simson & Mason ; 52 wainscot blocks and,"801 floor boards, 97 wainscot planks","Envoy (s)—Trieste—105 wainscot blocks—Simson & Mason ; 52 wainscot blocks and 130 sills—Sidney & Pridley; 801 floor boards, 97 wainscot planks—C. Heaven ; 50,000 oak staves—Order"
34594,18830113p.29_p001.txt,83,Envoy,Trieste,LONDON,Simson & Mason ; 52 wainscot blocks and,13 January 1883,oak staves,Simson & Mason ; 52 wainscot blocks and,"50,000 oak staves","Envoy (s)—Trieste—105 wainscot blocks—Simson & Mason ; 52 wainscot blocks and 130 sills—Sidney & Pridley; 801 floor boards, 97 wainscot planks—C. Heaven ; 50,000 oak staves—Order"
34594,18830113p.29_p001.txt,83,Envoy,Trieste,LONDON,Simson & Mason ; 52 wainscot blocks and,13 January 1883,pridley,Simson & Mason ; 52 wainscot blocks and,Sidney & Pridley,"Envoy (s)—Trieste—105 wainscot blocks—Simson & Mason ; 52 wainscot blocks and 130 sills—Sidney & Pridley; 801 floor boards, 97 wainscot planks—C. Heaven ; 50,000 oak staves—Order"
34594,18830113p.29_p001.txt,83,Envoy,Trieste,LONDON,Simson & Mason ; 52 wainscot blocks and,13 January 1883,sidney,Simson & Mason ; 52 wainscot blocks and,Sidney & Pridley,"Envoy (s)—Trieste—105 wainscot blocks—Simson & Mason ; 52 wainscot blocks and 130 sills—Sidney & Pridley; 801 floor boards, 97 wainscot planks—C. Heaven ; 50,000 oak staves—Order"
34594,18830113p.29_p001.txt,83,Envoy,Trieste,LONDON,Simson & Mason ; 52 wainscot blocks and,13 January 1883,sills,Simson & Mason ; 52 wainscot blocks and,52 wainscot blocks and 130 sills,"Envoy (s)—Trieste—105 wainscot blocks—Simson & Mason ; 52 wainscot blocks and 130 sills—Sidney & Pridley; 801 floor boards, 97 wainscot planks—C. Heaven ; 50,000 oak staves—Order"
34594,18830113p.29_p001.txt,83,Envoy,Trieste,LONDON,Simson & Mason ; 52 wainscot blocks and,13 January 1883,wainscot blocks,Simson and Mason,105 wainscot blocks-Simson & Mason,"Envoy (s)—Trieste—105 wainscot blocks—Simson & Mason ; 52 wainscot blocks and 130 sills—Sidney & Pridley; 801 floor boards, 97 wainscot planks—C. Heaven ; 50,000 oak staves—Order"
34594,18830113p.29_p001.txt,83,Envoy,Trieste,LONDON,Simson & Mason ; 52 wainscot blocks and,13 January 1883,wainscot blocks,Simson & Mason ; 52 wainscot blocks and,52 wainscot blocks and 130 sills,"Envoy (s)—Trieste—105 wainscot blocks—Simson & Mason ; 52 wainscot blocks and 130 sills—Sidney & Pridley; 801 floor boards, 97 wainscot planks—C. Heaven ; 50,000 oak staves—Order"
34594,18830113p.29_p001.txt,83,Envoy,Trieste,LONDON,Simson & Mason ; 52 wainscot blocks and,13 January 1883,wainscot planks,Simson & Mason ; 52 wainscot blocks and,"801 floor boards, 97 wainscot planks","Envoy (s)—Trieste—105 wainscot blocks—Simson & Mason ; 52 wainscot blocks and 130 sills—Sidney & Pridley; 801 floor boards, 97 wainscot planks—C. Heaven ; 50,000 oak staves—Order"
34595,18830113p.29_p001.txt,84,Avena,Uddevalla,LONDON,Esdaile & Co.,13 January 1883,mouldings,Esdaile and Co,"180 pcs. trellis, 9,311 mouldings-Esdaile & Co.","9 Avena (s)—Uddevalla—180 pcs. trellis, 9,311 mouldings—Esdaile & Co."
34595,18830113p.29_p001.txt,84,Avena,Uddevalla,LONDON,Esdaile & Co.,13 January 1883,trellis,Esdaile and Co,"180 pcs. trellis, 9,311 mouldings-Esdaile & Co.","9 Avena (s)—Uddevalla—180 pcs. trellis, 9,311 mouldings—Esdaile & Co."
34720,18830127p.73_p001.txt,139,Erik,Pillau,LONDON,Order,27 January 1883,wainscot logs,Order,626 wainscot logs-Order,Jan. 18 Erik (s)-Pillau-626 wainscot logs-Order
34721,18830127p.73_p001.txt,140,Joseph,Christiania,LONDON,With,27 January 1883,deals,With,"4,951 deals-With","Joseph (s)-Christiania-4,951 deals-With"
34722,18830127p.73_p001.txt,141,Annita Menotti,Rangoon,LONDON,Order,27 January 1883,teak,Order,40 pcs. teak-Order,19 Annita Menotti-Rangoon-40 pcs. teak-Order
34723,18830127p.73_p001.txt,142,Esdaile,"St. John, N.B.",LONDON,Farnworth,27 January 1883,battens,Farnworth,"27,663 deals and battens, 2,425 deal ends-Farnworth","Esdaile-St. John, N.B.-27,663 deals and battens, 2,425 deal ends-Farnworth"
34723,18830127p.73_p001.txt,142,Esdaile,"St. John, N.B.",LONDON,Farnworth,27 January 1883,deal ends,Farnworth,"27,663 deals and battens, 2,425 deal ends-Farnworth","Esdaile-St. John, N.B.-27,663 deals and battens, 2,425 deal ends-Farnworth"
34723,18830127p.73_p001.txt,142,Esdaile,"St. John, N.B.",LONDON,Farnworth,27 January 1883,deals,Farnworth,"27,663 deals and battens, 2,425 deal ends-Farnworth","Esdaile-St. John, N.B.-27,663 deals and battens, 2,425 deal ends-Farnworth"
34724,18830127p.73_p001.txt,143,Bros.,New York,LONDON,Order,27 January 1883,oars,Order,"1,552 oars, 21 logs, 207 bdls. walnut squares-Order","Bros. (s)-New York-1,552 oars, 21 logs, 207 bdls. walnut squares-Order"
34724,18830127p.73_p001.txt,143,Bros.,New York,LONDON,Order,27 January 1883,walnut squares,Order,"1,552 oars, 21 logs, 207 bdls. walnut squares-Order","Bros. (s)-New York-1,552 oars, 21 logs, 207 bdls. walnut squares-Order"
34725,18830127p.73_p001.txt,147,Edward,Gothenburg,LONDON,W. R. Crow & Son; 66 bdls. mouldings,27 January 1883,boards,W. R. Crow & Son; 66 bdls. mouldings,"25 prs. oars, 12 doz. rickers, 160 doors, 138 bdls. mouldings, 66 bdls. and 406 dozen boards-Order","Edward (s)-Gothenburg-721 pkgs. mouldings and joinery-W. R. Crow & Son; 66 bdls. mouldings, 700 doors-Sandell & Co.; 369 doors-Prior Wotton & Co.; 383 doors-T. Gabriel & Sons; 685 bdls. mouldings-Ketscher; 25 prs. oars, 12 doz. rickers, 160 doors, 138 bdls. mouldings, 66 bdls. and 406 dozen boards-Order"
34725,18830127p.73_p001.txt,147,Edward,Gothenburg,LONDON,W. R. Crow & Son; 66 bdls. mouldings,27 January 1883,doors,Sandell and Co,700 doors-Sandell & Co.,"Edward (s)-Gothenburg-721 pkgs. mouldings and joinery-W. R. Crow & Son; 66 bdls. mouldings, 700 doors-Sandell & Co.; 369 doors-Prior Wotton & Co.; 383 doors-T. Gabriel & Sons; 685 bdls. mouldings-Ketscher; 25 prs. oars, 12 doz. rickers, 160 doors, 138 bdls. mouldings, 66 bdls. and 406 dozen boards-Order"
