record_id,arrival_year,source_file,line_number,ship_name,origin_port,destination_port,row_count,clause_indicators,raw_line
91636,1885,26. p. 407-408 - Imports - December 5 1885 - Timber Trades Journal 1885_p001.txt,115,Erl King,Montreal,LONDON,4,2,"28 Erl King (s)-Montreal-4,969 deals, 1,324 ends-Order; from Quebec-7,993 deals-Order"
91642,1885,26. p. 407-408 - Imports - December 5 1885 - Timber Trades Journal 1885_p001.txt,123,Glasbrook,Montreal,LONDON,4,2,"Glasbrook (s)-Montreal-19,229 deals, 2,133 deal ends-R. R. Dobell & Co.; from Three Rivers-1,275 ends birch-R. R. Dobell & Co.-Station yard and Baltic shed"
97353,1885,8. p. 153-154 - Imports - February 21 1885 - Timber Trades Journal 1885_p002.txt,50,Reading,Sevastopol,LONDON,4,2,"Reading (s)-Sevastopol- 47 logs wainscot, 2,824 oak staves-Order; from Odessa-2,730 oak staves-Order"
94464,1885,5. p. 14-18 - Imports - July 4 1885 - Timber Trades Journal 1885_p002.txt,206,Katherine,Rafso,LONDON,4,2,"Katherine-Rafso-12,190 deals and batten-ends, 73 fms. firewood-G. Jewett ; 2 fms. firewood-Master"
94466,1885,5. p. 14-18 - Imports - July 4 1885 - Timber Trades Journal 1885_p002.txt,208,Archangel,Archangel,LONDON,4,2,"Archangel (s)-Archangel-41,932 deals, boards, and ends-H. Brown ; 6 lds. firewood-Master"
5995,1885,13. p. 153-155 - Imports - August 29 1885 - Timber Trades Journal 1885_p002.txt,66,Diana,Drontheim,LONDON,4,2,"21 Diana (s)-Drontheim-89,070 staves, 32 fms. firewood, 38 fms. plank battens-Order; 2,280 battens-T. Astrup-Russia yard, 7"
6008,1885,13. p. 153-155 - Imports - August 29 1885 - Timber Trades Journal 1885_p002.txt,79,Ruby,Cronstadt,LONDON,4,2,"Ruby (s)-Cronstadt-24,715 deals, battens, and ends-G. F. Neame & Co.; 2,941 pcs. lathwood-Order-Albion yard"
96353,1885,7. p. 50-53 - Imports - July 18 1885 - Timber Trades Journal 1885_p002.txt,62,Canadian,Quebec,LONDON,4,2,"Canadian-Quebec-24,999 deals-R. R. Dobell & Co.; 113 pcs. birch, 140 pcs. elm, 173 pcs. ash, 11,064 boards-G. E. Arnold & Co.-Albion yard and Baltic shed, 3"
92470,1885,3. p. 446-448 - Imports - June 20 1885 - Timber Trades Journal 1885_p001.txt,169,Atlas,Cronstadt,LONDON,4,2,"Atlas (s)-Cronstadt-1,124 deals-Morgan & Co.; 13,514 deals-Foy, Morgan & Co.-Upper Quebec yard, 30"
92495,1885,3. p. 446-448 - Imports - June 20 1885 - Timber Trades Journal 1885_p002.txt,15,Lake Champlain,Montreal,LONDON,4,2,"Lake Champlain (s)-Montreal-351 doors, 25 cs. 41 bdls. mouldings, 220 prs. handrails-T. E. Nettie; 1,353 deals-Burstall & Co."
88517,1885,21. p. 375-377 - Imports - May 23 1885 Timber Trades Journal 1885_p001.txt,144,Langdale,Riga,LONDON,4,2,"Langdale (s)-Riga-1,666 pcs. lathwood, 2,746 deals-Foy, Morgan & Co.; 1,514 deals-S. Putney, Acorn yard, 25."
88520,1885,21. p. 375-377 - Imports - May 23 1885 Timber Trades Journal 1885_p001.txt,147,Coleridge,Memel,LONDON,4,2,"18 Coleridge (s)-Memel-415 stds. deals, bat-tens-C. Bird & Co.; 276 pcs. timber-J. M. Ross & Co.-Russia yard, 32"
89199,1885,22. p. 312-315 - Imports - October 31 1885 - Timber Trades Journal 1885_p002.txt,95,Moidart,Soderhamn,LONDON,4,2,"Moidart (s)-Soderhamn-18 fms. firewood, 23,025 deals and battens-Cheswright, Sheffield, & Co. ; 5,568 deals-Wilson & Mason-Canada yard"
8882,1885,15. p. 265-267 - Imports - April 11 1885 - Timber Trades Journal 1885_p001.txt,149,Zaire,Trieste,LONDON,4,2,"Zaire (s)-Trieste-800 planks, 376 bdls. boards-Order; from Fiume-17,952 oak staves-Order"
6412,1885,13. p. 238-239 - Imports - March 28 1885 - Timber Trades Journal 1885_p001.txt,85,Ed King,New York,LONDON,4,2,"Ed King (s)-New York-443 bills. mouldings, 1,664 no. doors, 4 bxs. balusters-Holland & Co.; 220 bdls. elm staves-Order"
8619,1885,15. p. 188-190 - Imports - September 12 1885 - Timber Trades Journal 1885_p002.txt,41,Sea Gull,Archangel,LONDON,4,2,"Sea Gull-Archangel-2,119 deals and ends-Churchill & Sim ; 6,627 deals and ends -May & Hassell-Norway shed"
8638,1885,15. p. 188-190 - Imports - September 12 1885 - Timber Trades Journal 1885_p002.txt,66,Stockholm City,Soroka,LONDON,4,2,"7 Stockholm City (s)-Soroka-20,068 deals and Churchill & Sim ; 40 deals-Wilson"
43382,1886,18860102p8-9_p001.txt,89,Alette,Skutskar,LONDON,4,2,"28 Alette-Skutskar-30 fms. firewood-R. Pattison & Co. ; from Gefle-4,574 deals-Leith & Cooke-Russia yard, 6"
43383,1886,18860102p8-9_p001.txt,90,Isabella Blyth,Campbeltown,LONDON,4,2,"Isabella Blyth - Campbeltown-7,599 deals, 2,117 scantlings, 1,826 ends, 766 pcs. timber-Price & Pierce-Centre yard, 9"
43393,1886,18860102p8-9_p001.txt,104,Bernina,Odessa,LONDON,4,2,"Bernina (s) - Odessa-50 wainscote logs, 65 oak logs, 600 pipe staves, 1,511 oak staves-Order"
85732,1887,19. p. 461-462 - Imports - November 5 1887 - Timber Trades Journal 1887_p001.txt,96,Calabria,Tornea,LONDON,4,2,"31 Calabria (s)-Tornea-47,302 deals, battens, and boards-G. F. Neame & Co.; 120 fms. firewood-G. Jewett-Station yard"
85736,1887,19. p. 461-462 - Imports - November 5 1887 - Timber Trades Journal 1887_p001.txt,101,Nellie Wise,Cronstadt,LONDON,4,2,"2 Nellie Wise (s)-Cronstadt-17,257 deals, battens, and boards, 26 fms. firewood-G. F. Neame & Co.; With, Webster, & Co.-Centre yard"
85743,1887,19. p. 461-462 - Imports - November 5 1887 - Timber Trades Journal 1887_p001.txt,110,Prins Oscar,Gothenburg,LONDON,4,2,"Prins Oscar (s)-Gothenburg-1,563 bdls. laths-Foy, Morgan, & Co.; 411 doz. deals, 178 doz. and 2,062 battens, 7,786 bdls. box-boards, 50 prs. oars, 10 doz. rickers-Order"
85897,1887,19. p. 488-489 - Imports - May 7 1887 - Timber Trades Journal 1887_p001.txt,176,Asia,Memel,LONDON,4,2,"Asia-Memel-532 pcs. fir, 694 deals, 513 deal ends-Borries, Craig, & Co. ; 916 deals, 337 deal ends-Hall Bros."
85901,1887,19. p. 488-489 - Imports - May 7 1887 - Timber Trades Journal 1887_p001.txt,180,Odin,Christiania,LONDON,4,2,"2 Odin (s)-Christiania-110 lds. birch props, 50 lds. pit-props, 20 lds. firewood-Order; 40 lds. planed boards-James Scott"
91843,1887,26. p. 649-650 - Imports - June 25 1887 - Timber Trades Journal 1887_p002.txt,39,York City,"Norfolk, Va.",LONDON (TILBURY DOCKS),4,2,"22 York City (s)-Norfolk, Va.-3,463 bls. and pcs. lumber, 12,996 poplar boards-Churchill & Sim ; 81 crts. oars-Order"
91926,1887,27. p. 654 - Imports - December 31 1887 - Timber Trades Journal 1887_p001.txt,91,Burgermeister Petersen,Riga,LONDON,4,2,"Burgermeister Petersen - Riga- 5,306 pcs. lathwood, 849 pcs. mauerlatten, 396 deals, 56 battens-Burt, Boulton, & Haywood-Acorn yard"
94114,1887,5. p. 119-121 - Imports - July 30 1887 - Timber Trades Journal 1887_p002.txt,18,Genitore,Wyborg,LONDON,4,2,"Genitore-Wyborg-10,404 scantlings-Order ; from Trangusund-129 fms. deal, batten, and board ends-J. Hubbard & Co.-Lower Brunswick yard"
96646,1887,7. p. 59-161 - Imports - August 13 1887 - Timber Trades Journal 1887_p002.txt,24,Capulet,Montreal,LONDON,4,2,"10 Capulet (s)-Montreal-13,919 deals, 4,013 battens, 6,752 ends-Bryant, Powis, & Bryant ; 29,414 deals, 877 ends-Order"
93670,1887,4. p. 93-95 - Imports - July 23 1887 - Timber Trades Journal 1887_p002.txt,14,James Malam,Cronstadt,LONDON,4,2,"James Malam (s)-Cronstadt-10,689 pcs. moulding, 22,397 deals and boards-Simson & Mason; 20 fms. firewood-Order-Upper Quebec yard"
90768,1887,24. p. 585-586 - Imports - December 10 1887 - Timber Trades Journal 1887_p001.txt,161,Bjorn,Gothenburg,LONDON,4,2,"2 Bjorn (s)-Gothenburg-130 doors, 413 doz. floorings, and boards-Vigers Bros.; 3,724 deals and battens, 2,325 battens-Order"
9157,1887,15. p. 361-363 - Imports - October 8 1887 - Timber Trades Journal 1887_p002.txt,7,Upper Brunswick yard Prins Oscar,Gothenburg,LONDON,4,2,"Upper Brunswick yard Prins Oscar (s)-Gothenburg - 8,632 doz. boards, 125 doz. deals, 154 doz. battens, 25 fms. firewood-Dickson Bros. & Co.-Quebec yard"
13178,1887,18. p. 468-470 - Imports - April 30 1887 - Timber Trades Journal 1887_p002.txt,43,Avena,Uddevalla,LONDON,4,2,"22 Avena (s)-Uddevalla-567 bdls. laths, 380 doors, 66 deals-S. Brown ; 51 bdls. mouldings-Order"
7986,1887,14. p. 337-339 - Imports - October 1 1887 - Timber Trades Journal 1887_p002.txt,20,Penedo,Finnklippan,LONDON,4,2,"Penedo (s)-Finnklippan-406 stds. deals, battens, and boards-Giles Loder; 9 fms. firewood-Order-Canada yard"
8325,1887,14. p. 378-380 - Imports - April 2 1887 - Timber Trades Journal 1887_p002.txt,185,Motala,Stockholm,LONDON,4,2,"28 Motala (s)-Stockholm-2,708 doors, 701 bdls. boards, 6 bdls. frames, 1,880 bdls. mould- ings-H. Smith ; 6 bdls. mouldings, 1 cs."
5284,1887,12. p. 326-327 - Imports - March 19 1887 - Timber Trades Journal 1887_p001.txt,100,Albert Edward,Gothenburg,LONDON,4,2,"14 Albert Edward (s)-Gothenburg-12 bdls., 542 doors, 117 bdls. mouldings-W. R. Crow & Sons ; 45 prs. oars-Order"
3825,1887,11. p. 256-259 - Imports - September 10 1887 - Timber Trades Journal 1887_p003.txt,6,Navarro,Montreal,LONDON,4,2,"5 Navarro (s)-Montreal-18,175 deals, 1,812 pine deal ends; from Quebec-1,812 pine deals, 4,910 spruce deals, 8,913 spruce ends-Order"
3831,1887,11. p. 256-259 - Imports - September 10 1887 - Timber Trades Journal 1887_p003.txt,21,Bonnington,Pierreville,LONDON (TILBURY DOCKS),4,2,"7 Bonnington (s)-Pierreville-16,249 deals, 1,887 ends-Order; from Montreal-7,704 deals-Order"
4010,1887,11. p. 285-286 - Imports - March 12 1887 - Timber Trades Journal 1887_p002.txt,13,Zaire,Trieste,LONDON,4,2,"7 Zaire (s)-Trieste-2,400 oak staves-Order ; from Fiume-252 oak wainscot logs, 115 oak planks-Order"
44063,1889,18890119p.48_p001.txt,122,Albert Edward,Gothenburg,LONDON,4,2,"Albert Edward (s)-Gothenburg-18 bdls. mouldings, 350 doors, 13 bdls. trellis-Sandell & Co.; 15 fms. firewood-Order"
54003,1889,18891207p.477_p001.txt,152,Bifrost,Gothenburg,LONDON,4,2,"Bifrost (s)-Gothenburg-12,127 pit poles, 6,360 stds. deals and battens-Osbeck & Co.; 440 deal ends-Order"
45802,1889,18890504p.440_p002.txt,77,Adria,Fiume,LONDON,4,2,"29 Adria (s)-Fiume-398 oak logs, 219 oak planks, 10,876 battens-Order ; from Trieste 2,200 bdls. oak parquets, 1,270 bdls., 1,303 oak planks-Order"
45946,1889,18890511p.464_p002.txt,26,Segund,Stockholm,LONDON,4,2,"Segund-Stockholm-6,724 doors, 5,395 bdls. mouldings, 300 trellis-H. Smith ; 80,453 staves-Order"
46515,1889,18890601p.537_p002.txt,68,Lillie,Gefle,LONDON,4,2,"Lillie (s)-Gefle-34,000 lds. deals, battens, and boards-May & Hassell ; 30 fms. firewood-Order"
46977,1889,18890615p.575_p002.txt,53,Victoria,Iggesund,LONDON,4,2,"Victoria (s)-Iggesund-13,651 doz. flooring boards, 492 doz. deals and battens-Order; 10 fms. firewood-J. A. Kinneman"
47183,1889,18890622p.599_p002.txt,12,Isle of France,Gefle,LONDON,4,2,"Isle of France (s)-Gefle-1,619 dos. deals, battens, and boards-O. Bird & Co. ; 1,598 deals-Foy, Morgan, & Co."
47314,1889,18890629p.619_p002.txt,27,Louisa H.,St. Petersburg,LONDON,4,2,"22 Louisa H. (s)-St. Petersburg-870 pcs. redwood, 5,357 pcs. lathwood, 1,493 rickers-Foy, Morgan, & Co. ; 200 wood bowls-Order"
