port_name,ship_count,best_fuzzy_match,similarity,needs_research
TOXTETH DOCK,16,Avonmouth Dock,61.5%,Yes
TO BUILDERS,16,Bideford,52.6%,Yes
WIDNES,16,Cowes,54.5%,Yes
LONDON DOCK,16,London,70.6%,Yes
MOI,16,Morlaix,60.0%,Yes
MR. F. P. RYBKIN ... ... F R,16,St. Petersburg,28.6%,Yes
DIVIDEND,15,Irvine,57.1%,Yes
SUTTON BRIDGE,15,Woodbridge,60.9%,Yes
PORT CLYDE,15,Portland,66.7%,Yes
EVIE,15,Elie,75.0%,Maybe
LUDWIG WULFERT'S BELLY WOOD,15,Fleetwood,38.9%,Yes
E.C,15,Wisbech,40.0%,Yes
NOTICES OF INTENDED DIVIDENDS,15,North Sunderland,40.0%,Yes
RPOOL,15,Poole,80.0%,Maybe
S',15,Ahus,33.3%,Yes
WEMYSS,14,Cowes,54.5%,Yes
RECEIVING ORDERS,14,Three Rivers,57.1%,Yes
RROWSTOUNNESS,14,Borrowstounness (Bo'Ness),68.4%,Yes
BRUNSWICK DOCK,14,Pembroke Dock,59.3%,Yes
S,14,Ahus,40.0%,Yes
SUPPLEMENT,14,Moulmein,55.6%,Yes
LONDON (RUNCORN DOCK),14,Avonmouth Dock,51.4%,Yes
ER,14,Derby,57.1%,Yes
ENCE INVITED,14,Weston Point,50.0%,Yes
N.W.R,13,Newry,60.0%,Yes
OLE COURT,13,Rochefort,55.6%,Yes
OF,13,Oxford,50.0%,Yes
WOOD,13,Fleetwood,61.5%,Yes
QUEENSTOWN,13,Preston,58.8%,Yes
COUNTER TOP,13,Antwerp,55.6%,Yes
EXPORTS,13,Newport,71.4%,Yes
SIMPLE IN CONSTRUCTION,13,Sault an Cochon,54.1%,Yes
T. L. B. RED RUBBERS,13,St. Petersburg,41.2%,Yes
NEWPORT MON,13,Newport,77.8%,Maybe
E. U,12,New Quay,50.0%,Yes
ITEMS,12,Pitea,60.0%,Yes
CLIFF'S CREEK,12,Carlisle,47.6%,Yes
BORROWSTOWNESS,12,Borrowstounness (Bo'Ness),66.7%,Yes
HUSKISSON DOCK,12,Glasson Dock,69.2%,Yes
METHIL,12,Leith,54.5%,Yes
LONDON (DOCK FIRES IN LIVERPOOL),12,Lynn (King's Lynn),44.0%,Yes
PORTS,12,Portsoy,83.3%,Maybe
OF EVERY DESCRIPTION,12,Tvedestrand,45.2%,Yes
GREAT YARMOUTH,11,Yarmouth,72.7%,Yes
CLIFFE,11,Cardiff,61.5%,Yes
TILBURYDOWN,11,Tilbury Docks,75.0%,Maybe
MEETING,11,Reading,57.1%,Yes
EXPORT ORDERS,11,Port Gordon,66.7%,Yes
SEE SPECIMENS,11,Sheerness,45.5%,Yes
FIR,11,Findhorn,54.5%,Yes
CARRIERS' DOCK,11,Sharpness Docks,62.1%,Yes
LBEBT DOCKS,11,Tilbury Docks,66.7%,Yes
SEPT,11,Seaton,60.0%,Yes
UNIFORM,11,Runcorn,57.1%,Yes
WILLOW,11,Wigtown,61.5%,Yes
EXP,11,Exeter,44.4%,Yes
PLUMBERS' CONGRESS,11,Lyme Regis,50.0%,Yes
CLOSED,11,Looe,60.0%,Yes
TI,10,Batvik,50.0%,Yes
KIRKWALL,10,Kirkcaldy,70.6%,Yes
BOWEN'S STOURBRIDGE,10,Woodbridge,55.2%,Yes
MUI,10,Kemi,57.1%,Yes
JUNE,10,Ljusne,80.0%,Maybe
HARRINGTON DOCK,10,Warrington,72.0%,Yes
P,10,Poole,33.3%,Yes
PETITIONS FOR CESSIO,10,Neath and Briton Ferry Docks,45.8%,Yes
LIVERPOOL (RUNCORN DOCK),10,Liverpool,54.5%,Yes
BOXES,10,Cowes,60.0%,Yes
L,10,Deal,40.0%,Yes
TLEPOOL,10,Hartlepool,82.4%,Maybe
O,9,Abo,50.0%,Yes
"MARCH 23, 1889",9,Harwich,38.1%,Yes
W. I. D. BUOYS,9,Doboy,42.1%,Yes
LNUTWOOD,9,Fleetwood,70.6%,Yes
EXPORTED FROM,9,Port Royal,60.9%,Yes
ND,9,London,50.0%,Yes
LIVERPOOL (PRINCES DOCK),9,Liverpool,54.5%,Yes
BON'ESS,9,Odessa,61.5%,Yes
DO FEET SUPER,9,Delete,52.6%,Yes
"SEPTEMBER 22, 1883",8,Pembroke Dock,38.7%,Yes
BURTON,8,Brighton,71.4%,Yes
DU,8,Dundee,50.0%,Yes
"AUGUST 29, 1891",8,Bathurst,34.8%,Yes
SPEED,8,Leeds,60.0%,Yes
OCEEDINGS UNDER CESSIO,8,Inverness,45.2%,Yes
TOWN DOCKS,8,Glasson Dock,63.6%,Yes
IRON FENCING,8,Reading,52.6%,Yes
LONDON (SURREY DOCK),8,Londonderry,58.1%,Yes
NOTICES OF DIVIDENDS,8,New Orleans,45.2%,Yes
EDEN,8,Aberdeen,66.7%,Yes
EXPORTER,8,Exeter,71.4%,Yes
GRIMSBY (BULL DOCK),8,Grimsby,53.8%,Yes
INGSTON,8,Wigtown,71.4%,Yes
DUMFRIES,7,Drumore,66.7%,Yes
"[MAY 30, 1885.]",7,Ramsay,28.6%,Yes
BUCKIE,7,Byske,54.5%,Yes
NE,7,Newry,57.1%,Yes
FIRE IN LONDON,7,London,60.0%,Yes
CORRECTION,7,Dordrecht,63.2%,Yes
GOOLE (TILBURY DOCKS),7,Tilbury Docks,76.5%,Maybe
BEER,7,Exeter,60.0%,Yes
GRIMSBY (TOWN DOCK),7,Glasson Dock,58.1%,Yes
GRIMSBY (TILBURY DOCKS),7,Tilbury Docks,72.2%,Yes
TREES,7,Torefos,66.7%,Yes
SKB,7,Byske,50.0%,Yes
M.I.M.E,7,Drammen,42.9%,Yes
"JULY 9, 1881",6,Sault an Cochon,29.6%,Yes
BUILDERS' CLERKS' BENEVOLENT INSTITUTION,6,New Westminster,29.1%,Yes
LONDON (GOVERNMENT DOCK BUOYS),6,Neath and Briton Ferry Docks,44.8%,Yes
SILVERTON,6,Seaton,66.7%,Yes
ST. KATHARINE'S DOCK,6,Sharpness Docks,68.6%,Yes
EAST INDIA DOCKS,6,Neath and Briton Ferry Docks,59.1%,Yes
BRISTOL (TILBURY DOCK),6,Tilbury Docks,68.6%,Yes
GRIMSBY (SURREY DOCKS),6,Tilbury Docks,62.9%,Yes
LIV,6,Elie,57.1%,Yes
DOCKS,6,Tilbury Docks,55.6%,Yes
CTURERS OF,6,Thurso,62.5%,Yes
LONDON TILBURY DOCKS,6,Tilbury Docks,78.8%,Maybe
BORROWSTUNESS,6,Borrowstounness (Bo'Ness),68.4%,Yes
DRYING KILNS,6,Grindstone Island,48.3%,Yes
P. B. WILKIE & CO,6,Port William,41.4%,Yes
KINGSTON,6,Workington,77.8%,Maybe
GLINGE,6,Brightlingsea,63.2%,Yes
BEDFORD,6,Bideford,80.0%,Maybe
GRIMSBY (COBURG DOCK),6,Tilbury Docks,52.9%,Yes
BLOCKS,6,Calstock,57.1%,Yes
W. B,6,West Bay,50.0%,Yes
M. S. RENNIE & CO,6,Hennebont,38.5%,Yes
SLEEPERS,6,Leeds,61.5%,Yes
NELSON DOCKS,6,Glasson Dock,75.0%,Maybe
WESTPORT,5,Lowestoft,70.6%,Yes
PORT GLASGOW,5,Glasgow,73.7%,Yes
DOCK DELIVERIES,5,Dover,50.0%,Yes
"[JULY 14, 1883",5,Sault an Cochon,27.6%,Yes
TOTNES,5,Tornea,66.7%,Yes
ENSE BELTS,5,Hennebont,52.6%,Yes
NESS,5,Inverness,61.5%,Yes
MEETINGS,5,Lyme Regis,55.6%,Yes
MOULDS,5,Douglas,61.5%,Yes
& COFFIN STUFF,5,Cronstadt,43.5%,Yes
GRIMSBY (TOWN DOCKS),5,Glasson Dock,56.2%,Yes
S EXECUTED FOR COUNTRY BUYERS,5,St. Peter-Port,37.2%,Yes
NOVEMBER,5,Dover,61.5%,Yes
ON DOCK,5,Glasson Dock,73.7%,Yes
TENDER OPEN,5,Hennebont,50.0%,Yes
SKIRTING,5,Stirling,75.0%,Maybe
LIVERPOOL (CUSTOMS DOCK),5,Liverpool,54.5%,Yes
& TILES,5,Trieste,57.1%,Yes
"J. H. ROWNTREE & CO.,",5,Montrose,34.5%,Yes
NG IRONS,5,Nairn,61.5%,Yes
LONDON (COBURG DOCK),5,Tilbury Docks,54.5%,Yes
R.B,5,Derby,50.0%,Yes
GEORGE MERRYLEES & CO,5,Port Royal,38.7%,Yes
T (MON),5,St. John,53.3%,Yes
MITREING,5,Reading,66.7%,Yes
GILMOUR,5,Gloucester,58.8%,Yes
VIGERS,5,Iggesund,57.1%,Yes
QUEENSFERRY,4,Queenborough,52.2%,Yes
AUGU,4,Laurvig,54.5%,Yes
"[AUGUST 2, 1879",4,Bathurst,34.8%,Yes
BARROWSTOUNNESS,4,Borrowstounness (Bo'Ness),70.0%,Yes
TRALEE,4,Trieste,61.5%,Yes
BORROWSTOWNNESS,4,Borrowstounness (Bo'Ness),70.0%,Yes
"NOVEMBER 24, 1883.]",4,Dover,33.3%,Yes
"[SEPTEMBER 22, 1883",4,Pembroke Dock,37.5%,Yes
TION WRITE TO,4,Trieste,50.0%,Yes
EKS WYZED,4,Buenos Ayres,47.6%,Yes
TUNNEL PIER,4,Tyne Ports,57.1%,Yes
SPECIMEN,4,Skien,61.5%,Yes
ROSCOMMON,4,Troon,57.1%,Yes
ROLLS,4,Bollsta,66.7%,Yes
CASTLETOWN,4,Charlestown,76.2%,Maybe
GREENHITHE,4,Greenock,55.6%,Yes
"[OCTOBER 5, 1889.]",4,Tonsberg,38.5%,Yes
MILL HOLE,4,Milford Haven,54.5%,Yes
"[AUGUST 17, 1889.]",4,"Chatham, N. B.",31.2%,Yes
RTS,4,Portsoy,60.0%,Yes
COOPERS' PROTECTIVE SOCIETY,4,Quebec City,42.1%,Yes
SOUTH-WEST INDIA DOCK,4,Avonmouth Dock,51.4%,Yes
WICKLOW,4,Wick,72.7%,Yes
POWER,4,Cowes,60.0%,Yes
BROCKLEBANK DOCK,4,Pembroke Dock,69.0%,Yes
FRANCE,4,Penzance,57.1%,Yes
PORT,4,Newport,72.7%,Yes
TENDERS,4,St. Andrews,55.6%,Yes
EXPO,4,Newport,54.5%,Yes
SURREY DOCK,4,Tilbury Docks,66.7%,Yes
SALFORD DOCK,4,Portishead dock,59.3%,Yes
LINDEN WOOD,4,Fleetwood,60.0%,Yes
LIVERPOOL (CONVOY DOCK),4,Liverpool,56.2%,Yes
SCO,4,Simo,57.1%,Yes
LIVERPOOL (TILLOTSON'S DOCK),4,Liverpool,48.6%,Yes
MILLWALL,4,Llanelli,62.5%,Yes
RESULT OF TENDERS,4,Preston,50.0%,Yes
T,4,Bath,40.0%,Yes
HORNSEY DOCK,4,Portishead dock,66.7%,Yes
GREAT GRIMSBY,4,Grimsby,70.0%,Yes
CORRESPONDENCE SOLICITED,4,Norrsundet,47.1%,Yes
LIVERPOOL (COBURG DOCKS),4,Liverpool,54.5%,Yes
EXPORT,4,Newport,76.9%,Maybe
TES GIVEN,4,St. Ives,58.8%,Yes
ERSBURG,4,Newburgh,66.7%,Yes
HANOVER HOLE,3,Liverpool,47.6%,Yes
GRAYS,3,Auray,60.0%,Yes
"OCTOBER 15, 1881",3,Tonsberg,41.7%,Yes
COLERAINE,3,Colberg,62.5%,Yes
"AUGUST 13, 1881.]",3,"Chatham, N. B.",32.3%,Yes
MEMEL FIR,3,Three Rivers,47.6%,Yes
LYTTELTON,3,Littlehampton,63.6%,Yes
"[OCTOBER 20, 1883.]",3,Tonsberg,37.0%,Yes
"[JULY 7, 1883.]",3,Sault an Cochon,26.7%,Yes
18 THE TIMBER TRADES JOURNAL,3,Three Rivers,40.0%,Yes
ERRATA,3,Arbroath,57.1%,Yes
"[SEPTEMBER 15, 1883.]",3,Pembroke Dock,35.3%,Yes
SEND FOR COPY,3,Svendborg,54.5%,Yes
ENGINEERS,3,Leicester,55.6%,Yes
WISEBECK,3,Wisbech,80.0%,Maybe
WRITE TO,3,Warrington,55.6%,Yes
TENBY,3,Derby,60.0%,Yes
RAMSEY,3,Ramsay,83.3%,Maybe
ST. KATHARINE'S DOCKS,3,Sharpness Docks,72.2%,Yes
"FEBRUARY 9, 1889",3,Canterbury,38.5%,Yes
"[MARCH 23, 1889",3,Harwich,36.4%,Yes
B. & F. S. WHARF,3,Faversham,32.0%,Yes
"MAY 25, 1889.]",3,Ramsay,30.0%,Yes
EVERY SIZE,3,Rye,46.2%,Yes
EVERY DESCRIPTION,3,Preston,50.0%,Yes
PETITIONS UNDER CESSIO,3,Neath and Briton Ferry Docks,48.0%,Yes
"JULY 18, 1891",3,Sault an Cochon,28.6%,Yes
BURGH,3,Newburgh,76.9%,Maybe
ST. KATHARINE DOCK,3,Sharpness Docks,66.7%,Yes
LEFOS,3,Torefos,66.7%,Yes
NEWBY,3,Newry,80.0%,Maybe
GRIMSBY DOCK,3,Grimsby,73.7%,Yes
TOWER DOCK,3,Pembroke Dock,60.9%,Yes
BRISTOL (TOWN DOCKS),3,Bristol,51.9%,Yes
GOW,3,Glasgow,60.0%,Yes
ES,3,Cowes,57.1%,Yes
DOCK,3,Baddick,54.5%,Yes
ST. ANDREW'S DOCK,3,St. Andrews,78.6%,Maybe
GRIMSBY (RUNCORN DOCK),3,Glasson Dock,52.9%,Yes
MEMBERS,3,Cemaes,61.5%,Yes
MERCE,3,LimerickL,57.1%,Yes
LIVERPOOL (LONGTON DOCK),3,Liverpool,54.5%,Yes
LONGTON DOCK,3,Glasson Dock,66.7%,Yes
ROYAL ALBE,3,Port Royal,50.0%,Yes
VICTORIA,3,Astoria,66.7%,Yes
SIR WILLIAM WRIGHT'S DOCK,3,Fort William,48.6%,Yes
"AUGUST 28, 1897",3,Bathurst,34.8%,Yes
EXPORTERS OF,3,Portsoy,63.2%,Yes
R & SURVEYOR,3,Three Rivers,50.0%,Yes
COUNTER TOPS,3,Monsteras,57.1%,Yes
W. C. K,3,Wick,54.5%,Yes
CONFRG DOCK,3,Glasson Dock,60.9%,Yes
ORING,3,Reading,66.7%,Yes
GRIMSBY (LONDON DOCKS),3,Glasson Dock,52.9%,Yes
GRIMSBY (QUEEN'S DOCKS),3,Greenock,51.6%,Yes
MLS,3,Leeds,50.0%,Yes
S. RENNIE & CO,3,San Francisco,51.9%,Yes
BULL DOCK,3,Tilbury Docks,63.6%,Yes
KINGS LYNN,3,Lynn (King's Lynn),71.4%,Yes
L & CO,3,Sault an Cochon,47.6%,Yes
ENUE,3,Odense,60.0%,Yes
J. G. W-[?],2,St. Andrews,27.3%,Yes
"[OCTOBER 29, 1881",2,Tonsberg,40.0%,Yes
DROGHEDA,2,Rotterdam,58.8%,Yes
RAMSEY (ISLE OF MAN),2,Scilly (Isles of Scilly),59.1%,Yes
DECEMBER,2,Leicester,58.8%,Yes
"PATENTEE AND MANUFACTURER,",2,Caledonian Canal,42.9%,Yes
"MAY 5, 1883.]",2,Ramsay,31.6%,Yes
"[JULY 14, 1883.]",2,Sault an Cochon,25.8%,Yes
OWEN'S STOURBRIDGE,2,Woodbridge,57.1%,Yes
LYME,2,Blaye,66.7%,Yes
ILESBOURN,2,Middlesbrough,63.6%,Yes
ST. LOW,2,St. Malo,80.0%,Maybe
GOVERNMENT DOCK BUOYS,2,Avonmouth Dock,51.4%,Yes
PORSTOWN,2,Preston,80.0%,Maybe
BOW CREEK,2,Bremen,53.3%,Yes
QUEBEC DOCKS,2,Quebec City,69.6%,Yes
BURT'S WHARF,2,Burnham,52.6%,Yes
"OCTOBER 26, 1889.]",2,Tonsberg,38.5%,Yes
PRINCE REGENT'S WHARF,2,Roche Bernard,47.1%,Yes
"MAY 11, 1889",2,Ramsay,33.3%,Yes
DS,2,Leeds,57.1%,Yes
DUNLOP & CO,2,Runcorn,44.4%,Yes
TRY IT,2,Trieste,61.5%,Yes
"WOOD, AND TIMBER MERCHANT",2,Forth and Clyde Canal,47.8%,Yes
GRANTOWN,2,Taunton,66.7%,Yes
UNDER,2,Dundee,72.7%,Yes
D,2,Deal,40.0%,Yes
"NOVEMBER 11, 1893",2,Dover,36.4%,Yes
VICTORIA & ALBERT DOCKS,2,Tilbury Docks,55.6%,Yes
APPLEDORE,2,Aberdovey,55.6%,Yes
DUNN & CO,2,Runcorn,50.0%,Yes
ST,2,Slite,57.1%,Yes
DOCK FIRES IN LIVERPOOL,2,Liverpool,56.2%,Yes
DULDING,2,Dublin,76.9%,Maybe
ORMSBY DOCK,2,Portishead dock,61.5%,Yes
(FROM LLOYD'S.),2,Burnham Wells,42.9%,Yes
PREVENTS SLIPPING,2,Burntisland,42.9%,Yes
OVER LIQUID,2,Dover,50.0%,Yes
TON DOCK,2,Glasson Dock,70.0%,Yes
... E.C,2,St. Ives,40.0%,Yes
ENGL,2,Reading,54.5%,Yes
OCTOBER,2,Tonsberg,66.7%,Yes
OW,2,Cowes,57.1%,Yes
HUSKISSON DOCKS,2,Glasson Dock,66.7%,Yes
BRISTOL (WEST),2,Bristol,66.7%,Yes
SIR WM. WRIGHT'S DOCK,2,Sharpness Docks,44.4%,Yes
"DECEMBER 7, 1895",2,Leicester,40.0%,Yes
REGENT'S CANAL DOCK,2,Surrey Commercial Docks,52.4%,Yes
"ADELAIDE WORKS, SHEFFIELD",2,Lichfield,47.1%,Yes
"SEPTEMBER 28, 1895",2,Pembroke Dock,38.7%,Yes
JK,2,Djupvik,44.4%,Yes
CONVOY DOCK,2,Avonmouth Dock,64.0%,Yes
BO'NE,2,Boulogne,61.5%,Yes
TOWN'S DOCK,2,Glasson Dock,60.9%,Yes
TILLOTSON'S DOCK,2,Glasson Dock,64.3%,Yes
AUSTRIAN WAINSCOT OAK,2,San Francisco,52.9%,Yes
JAMES HARRISON,2,Beaumaris,52.2%,Yes
NOTICE OF DIVIDEND,2,North Sunderland,47.1%,Yes
DOCK BILLS,2,Douglas,47.1%,Yes
PROCEEDINGS OF DIVIDENDS,2,Three Rivers,44.4%,Yes
BRIDLINGTON,2,Brighton,73.7%,Yes
E,2,Rye,50.0%,Yes
QUEBEC DOCK,2,Quebec City,72.7%,Yes
SONS,2,Saon,75.0%,Maybe
CROSSBY DOCK,2,Sharpness Docks,59.3%,Yes
"JAMES HARRISON,",2,Beaumaris,50.0%,Yes
