port_name,ship_count,best_fuzzy_match,similarity
VICTORIA DOCK,84,Portishead dock,0.6428571428571429
UNSECURED,83,Munksund,0.5882352941176471
MILLWALL DOCKS,82,Tilbury Docks,0.5925925925925926
WMW,81,Wigtown,0.4
LONDON (LONDON DOCK),81,Glasson Dock,0.5
IMPORTERS OF,80,Portsoy,0.631578947368421
FULLY SECURED CREDITORS,79,Lyme Regis,0.42424242424242425
TENDERS OPEN,79,Hennebont,0.47619047619047616
CLIFFE CREEK,77,LimerickL,0.47619047619047616
UNION DOCK,75,Glasson Dock,0.6363636363636364
CORRESPONDENCE,73,Norrsundet,0.5833333333333334
RESULTS OF TENDERS,72,Preston,0.48
SILVERTOWN,71,Seaton,0.625
LIVERPOOL (TILBURY DOCK),70,Tilbury Docks,0.6486486486486487
LIVERPOOL (TILBURY DOCKS),69,Tilbury Docks,0.6842105263157895
LIMITED,69,Slite,0.6666666666666666
SDD,69,Sunderland,0.46153846153846156
THE TIMBER TRADES JOURNAL,68,Three Rivers,0.43243243243243246
QUEENBORO',67,Queenborough,0.8181818181818182
&C,66,Cork,0.3333333333333333
JOINERY OF EVERY DESCRIPTION,63,Invergordon,0.41025641025641024
RUNCORN DOCK,63,Runcorn,0.7368421052631579
ON,61,Oban,0.6666666666666666
HAVRE,58,Ware,0.6666666666666666
UN,58,Ljusne,0.5
TION,57,Ripon,0.6666666666666666
BARROW,56,Arbroath,0.5714285714285714
LONDON (QUEEN'S DOCK),56,Avonmouth Dock,0.5142857142857142
JOINERY,55,Newry,0.6666666666666666
CONTENTS,54,Cowes,0.6153846153846154
...GOOLE,52,Goole,0.7692307692307693
PETITIONS PRESENTED,52,Weston Point,0.5161290322580645
LIVERPOOL (WELLINGTON DOCK),52,Liverpool,0.5
NOTICES TO CREDITORS,51,Trieste,0.4444444444444444
GRIMSBY (PRINCE'S DOCK),48,Portishead dock,0.47368421052631576
DIVIDENDS,47,Inverness,0.5555555555555556
ION,47,Ripon,0.75
FIFE,46,Fiume,0.6666666666666666
FOR,46,Oxford,0.6666666666666666
CANADA DOCK,46,Glasson Dock,0.6086956521739131
SKIBBEREEN,44,Aberdeen,0.6666666666666666
NEW BRUNSWICK LUMBER PROSPECTS,44,Berwick-upon-Tweed,0.375
TILBURY,44,Tilbury Docks,0.7
MILLWALL DOCK,44,Glasson Dock,0.56
N,43,Oban,0.4
SHOREHAM,42,Soderhamn,0.7058823529411765
ALBERT DOCK,42,Tilbury Docks,0.6666666666666666
DOORS,42,Storfors,0.6153846153846154
PURFLEET,40,Fleetwood,0.5882352941176471
VICTORIA AND ALBERT DOCKS,40,Neath and Briton Ferry Docks,0.5660377358490566
REVIEW,39,Irvine,0.6666666666666666
TELLURIC CEMENT,39,Bremen,0.47619047619047616
CLYDE TRUST,39,Lyme Regis,0.5714285714285714
CLEM WOOD,38,Fleetwood,0.6666666666666666
GRIMSBY (PRINCES DOCK),37,Portishead dock,0.4864864864864865
LIVERPOOL (TOWER DOCK),36,Liverpool,0.5806451612903226
OCK,35,York,0.5714285714285714
M. & J. BROWN,35,St. John,0.47619047619047616
SECURED,34,Hereford,0.5333333333333333
LIVERPOOL (PRINCE'S DOCK),34,Liverpool,0.5294117647058824
FILES,34,Gefle,0.6
VIGERS BROS,34,Middlesbrough,0.5
SEPTEMBER,33,Tremblade,0.5555555555555556
PETITION PRESENTED FOR CESSIO,33,Weston Point,0.3902439024390244
COLLINSON & LOCK,33,Glasson Dock,0.5714285714285714
WEST INDIA DOCKS,32,Tilbury Docks,0.5517241379310345
SURREY DOCKS,31,Tilbury Docks,0.72
FOREIGN,31,Workington,0.5882352941176471
BXBXB,31,Bombay,0.36363636363636365
LIVERPOOL (DOCK),31,Liverpool,0.72
PEMBROKE,30,Pembroke Dock,0.7619047619047619
VICTORIA DOCKS,30,Portishead dock,0.6206896551724138
HORNBY DOCK,30,Sharpness Docks,0.6153846153846154
MENT,30,Bremen,0.6
ROBERT,30,Tarbert,0.7692307692307693
NEWCASTLE-ON-TYNE,29,Newcastle upon Tyne,0.8333333333333334
CREDITORS,29,Redon,0.5714285714285714
B,29,Abo,0.5
GARSTON DOCK,29,Glasson Dock,0.8333333333333334
OLE,29,Poole,0.75
WEST HARTLEPOOL,28,Hartlepool,0.8
FOR LONDON,28,London,0.75
LONDON. DOCKS,28,Glasson Dock,0.64
PENICUIK,28,Pictou,0.5714285714285714
LONDON (LONDON. DOCKS),27,Glasson Dock,0.47058823529411764
VICTORIA AND ALBERT DOCK,27,Neath and Briton Ferry Docks,0.5384615384615384
TICES,27,Trieste,0.6666666666666666
TOWN DOCK,27,Glasson Dock,0.6666666666666666
LONDON (UNION DOCK),27,Avonmouth Dock,0.5454545454545454
JOINERY SENT FREE,27,Johnshaven,0.4444444444444444
N BELTING,26,Dublin,0.5333333333333333
PROCEEDINGS UNDER CESSIO,26,Barrow-in-Furness,0.43902439024390244
BROWN & KRUSE,26,Barrow-in-Furness,0.4666666666666667
LANGTON DOCK,26,Glasson Dock,0.75
LIVERPOOL (UNION DOCK),26,Liverpool,0.5806451612903226
NEWS,26,Newry,0.6666666666666666
S. PER DOZEN,25,Pernoviken,0.5454545454545454
WATERFORD,24,Wexford,0.75
CARNARVON,24,Aberayron,0.6666666666666666
PRINCE'S DOCK,24,Portishead dock,0.6428571428571429
WELLINGTON DOCK,24,Glasson Dock,0.5925925925925926
R,24,Ayr,0.5
M. S. RENNET,23,Mo i Rana,0.47619047619047616
& CO,23,Cork,0.5
ROYAL ALBERT DOCK,22,Tilbury Docks,0.5333333333333333
REGENT'S CANAL DOCKS,22,Surrey Commercial Docks,0.5581395348837209
TOWER,22,Antwerp,0.6666666666666666
BELLYWOOD,22,Fleetwood,0.5555555555555556
BRIDGE,22,Cambridge,0.8
PRINCES DOCK,22,Portishead dock,0.6666666666666666
M & J BROWN,21,Mo i Rana,0.5
ING,21,Slingso,0.6
GREENOCK (TILBURY DOCKS),21,Tilbury Docks,0.7027027027027027
WEST INDIA DOCK,20,West Bay,0.5217391304347826
BOSTON DOCK,20,Boston,0.7058823529411765
REGENT'S DOCK,20,Greenock,0.6666666666666666
LEMENT,20,Bremen,0.6666666666666666
Z,20,Danzig,0.2857142857142857
DON,20,Redon,0.75
LOUP,20,Looe,0.5
BUTE DOCK,20,Tilbury Docks,0.6363636363636364
DUNDALK,19,Sundswall,0.625
GRIMSBY (TILBURY DOCK),19,Tilbury Docks,0.6857142857142857
INTER TOPS,19,Antwerp,0.5882352941176471
LONDON (NELSON DOCK),19,Glasson Dock,0.5625
BIRKENHEAD DOCK,18,Portishead dock,0.6666666666666666
M.J,18,Domsjo,0.4444444444444444
ROYAL ALBERT DOCKS,17,Tilbury Docks,0.5806451612903226
LIVERPOOL (DOCKS),17,Liverpool,0.6923076923076923
OTTI STREET,17,Trieste,0.5555555555555556
W.O,17,Wyborg,0.4444444444444444
IF YOU,17,Pictou,0.5
TYNE DOCK,17,Tilbury Docks,0.6363636363636364
FRASERBURGH,16,Aldeburgh,0.7
NORTHFLEET,16,Porthcawl,0.5263157894736842
BANFF,16,Oban,0.6666666666666666
JULY,16,Hull,0.5
PETITIONS PRESENTED FOR CESSIO,16,Portishead dock,0.4
KEN,16,Skien,0.75
RAILWAY DOCK,16,Tilbury Docks,0.64
TOXTETH DOCK,16,Avonmouth Dock,0.6153846153846154
TO BUILDERS,16,St. Ives,0.5263157894736842
WIDNES,16,Wells,0.5454545454545454
LONDON DOCK,16,London,0.7058823529411765
MOI,16,Morlaix,0.6
MR. F. P. RYBKIN ... ... F R,16,St. Petersburg,0.2857142857142857
DIVIDEND,15,Darien,0.5714285714285714
SUTTON BRIDGE,15,Woodbridge,0.6086956521739131
PORT CLYDE,15,Portland,0.6666666666666666
EVIE,15,Elie,0.75
LUDWIG WULFERT'S BELLY WOOD,15,Fleetwood,0.3888888888888889
E.C,15,Shediac,0.4
NOTICES OF INTENDED DIVIDENDS,15,North Sunderland,0.4
BIRKBECK BUILDING SOCIETY,15,Quebec City,0.4444444444444444
RPOOL,15,Poole,0.8
S',15,Ahus,0.3333333333333333
WEMYSS,14,Wells,0.5454545454545454
RECEIVING ORDERS,14,Three Rivers,0.5714285714285714
RROWSTOUNNESS,14,Borrowstounness (Bo'Ness),0.6842105263157895
BRUNSWICK DOCK,14,Pembroke Dock,0.5925925925925926
S,14,Ahus,0.4
SUPPLEMENT,14,Moulmein,0.5555555555555556
LONDON (RUNCORN DOCK),14,Avonmouth Dock,0.5142857142857142
ER,14,Dover,0.5714285714285714
ENCE INVITED,14,Weston Point,0.5
BIRKBECK BUILDING SOCIETY'S,13,Quebec City,0.42105263157894735
N.W.R,13,Newry,0.6
OLE COURT,13,Rochefort,0.5555555555555556
OF,13,Oxford,0.5
WOOD,13,Fleetwood,0.6153846153846154
QUEENSTOWN,13,Preston,0.5882352941176471
COUNTER TOP,13,Antwerp,0.5555555555555556
EXPORTS,13,Newport,0.7142857142857143
SIMPLE IN CONSTRUCTION,13,Sault an Cochon,0.5405405405405406
T. L. B. RED RUBBERS,13,St. Petersburg,0.4117647058823529
NEWPORT MON,13,Newport,0.7777777777777778
E. U,12,New Quay,0.5
ITEMS,12,Pitea,0.6
CLIFF'S CREEK,12,Calstock,0.47619047619047616
BORROWSTOWNESS,12,Borrowstounness (Bo'Ness),0.6666666666666666
HUSKISSON DOCK,12,Glasson Dock,0.6923076923076923
METHIL,12,Leith,0.5454545454545454
LONDON (DOCK FIRES IN LIVERPOOL),12,Lynn (King's Lynn),0.44
PORTS,12,Portsoy,0.8333333333333334
MEETINGS OF CREDITORS,12,Helsingfors,0.5
OF EVERY DESCRIPTION,12,Tvedestrand,0.45161290322580644
GREAT YARMOUTH,11,Yarmouth,0.7272727272727273
CLIFFE,11,Cardiff,0.6153846153846154
OTHER DOCKS,11,Portishead dock,0.6923076923076923
TILBURYDOWN,11,Tilbury Docks,0.75
MEETING,11,Stettin,0.5714285714285714
EXPORT ORDERS,11,Port Gordon,0.6666666666666666
SEE SPECIMENS,11,Sheerness,0.45454545454545453
FIR,11,Findhorn,0.5454545454545454
CARRIERS' DOCK,11,Sharpness Docks,0.6206896551724138
LBEBT DOCKS,11,Tilbury Docks,0.6666666666666666
SEPT,11,Seaton,0.6
UNIFORM,11,Dunkirk,0.5714285714285714
WILLOW,11,Wigtown,0.6153846153846154
EXP,11,Exeter,0.4444444444444444
PLUMBERS' CONGRESS,11,Lyme Regis,0.5
CLOSED,11,Looe,0.6
TI,10,Batvik,0.5
KIRKWALL,10,Kirkcaldy,0.7058823529411765
BOWEN'S STOURBRIDGE,10,Woodbridge,0.5517241379310345
MUI,10,Kemi,0.5714285714285714
JUNE,10,Ljusne,0.8
HARRINGTON DOCK,10,Warrington,0.72
P,10,Ripon,0.3333333333333333
PETITIONS FOR CESSIO,10,Neath and Briton Ferry Docks,0.4583333333333333
LIVERPOOL (RUNCORN DOCK),10,Liverpool,0.5454545454545454
BOXES,10,Brest,0.6
L,10,Deal,0.4
TLEPOOL,10,Hartlepool,0.8235294117647058
O,9,Abo,0.5
"MARCH 23, 1889",9,Harwich,0.38095238095238093
W. I. D. BUOYS,9,Doboy,0.42105263157894735
LNUTWOOD,9,Fleetwood,0.7058823529411765
EXPORTED FROM,9,Port Royal,0.6086956521739131
ND,9,Mandal,0.5
LIVERPOOL (PRINCES DOCK),9,Liverpool,0.5454545454545454
BON'ESS,9,Odessa,0.6153846153846154
DO FEET SUPER,9,Exeter,0.5263157894736842
"SEPTEMBER 22, 1883",8,Pembroke Dock,0.3870967741935484
BURTON,8,Brighton,0.7142857142857143
DU,8,Dublin,0.5
"AUGUST 29, 1891",8,Bathurst,0.34782608695652173
SPEED,8,Leeds,0.6
OCEEDINGS UNDER CESSIO,8,Inverness,0.45161290322580644
TOWN DOCKS,8,Glasson Dock,0.6363636363636364
IRON FENCING,8,Reading,0.5263157894736842
LONDON (SURREY DOCK),8,Londonderry,0.5806451612903226
NOTICES OF DIVIDENDS,8,New Orleans,0.45161290322580644
EDEN,8,Aberdeen,0.6666666666666666
EXPORTER,8,Exeter,0.7142857142857143
GRIMSBY (BULL DOCK),8,Grimsby,0.5384615384615384
INGSTON,8,Slingso,0.7142857142857143
DUMFRIES,7,Drumore,0.6666666666666666
"[MAY 30, 1885.]",7,Bombay,0.2857142857142857
BUCKIE,7,Byske,0.5454545454545454
NE,7,Newry,0.5714285714285714
FIRE IN LONDON,7,London,0.6
CORRECTION,7,Dordrecht,0.631578947368421
GOOLE (TILBURY DOCKS),7,Tilbury Docks,0.7647058823529411
BEER,7,Bremen,0.6
GRIMSBY (TOWN DOCK),7,Glasson Dock,0.5806451612903226
GRIMSBY (TILBURY DOCKS),7,Tilbury Docks,0.7222222222222222
TREES,7,Torefos,0.6666666666666666
SKB,7,Sikea,0.5
M.I.M.E,7,Drammen,0.42857142857142855
"JULY 9, 1881",6,Sault an Cochon,0.2962962962962963
BUILDERS' CLERKS' BENEVOLENT INSTITUTION,6,New Westminster,0.2909090909090909
LONDON (GOVERNMENT DOCK BUOYS),6,Neath and Briton Ferry Docks,0.4482758620689655
SILVERTON,6,Seaton,0.6666666666666666
ST. KATHARINE'S DOCK,6,Sharpness Docks,0.6857142857142857
EAST INDIA DOCKS,6,Neath and Briton Ferry Docks,0.5909090909090909
BRISTOL (TILBURY DOCK),6,Tilbury Docks,0.6857142857142857
GRIMSBY (SURREY DOCKS),6,Tilbury Docks,0.6285714285714286
LIV,6,Elie,0.5714285714285714
DOCKS,6,Tilbury Docks,0.5555555555555556
CTURERS OF,6,Thurso,0.625
LONDON TILBURY DOCKS,6,Tilbury Docks,0.7878787878787878
BORROWSTUNESS,6,Borrowstounness (Bo'Ness),0.6842105263157895
DRYING KILNS,6,Grindstone Island,0.4827586206896552
P. B. WILKIE & CO,6,Port William,0.41379310344827586
KINGSTON,6,Workington,0.7777777777777778
GLINGE,6,Brightlingsea,0.631578947368421
BEDFORD,6,Bradford,0.8
GRIMSBY (COBURG DOCK),6,Tilbury Docks,0.5294117647058824
BLOCKS,6,Calstock,0.5714285714285714
W. B,6,West Bay,0.5
M. S. RENNIE & CO,6,Mo i Rana,0.38461538461538464
SLEEPERS,6,Leeds,0.6153846153846154
NELSON DOCKS,6,Glasson Dock,0.75
WESTPORT,5,Lowestoft,0.7058823529411765
PORT GLASGOW,5,Glasgow,0.7368421052631579
DOCK DELIVERIES,5,Inverness,0.5
"[JULY 14, 1883",5,Sault an Cochon,0.27586206896551724
TOTNES,5,Tornea,0.6666666666666666
BUILDING,5,Spalding,0.625
ENSE BELTS,5,Hennebont,0.5263157894736842
NESS,5,Inverness,0.6153846153846154
MEETINGS,5,Kennetpans,0.5555555555555556
MOULDS,5,Douglas,0.6153846153846154
& COFFIN STUFF,5,Cronstadt,0.43478260869565216
GRIMSBY (TOWN DOCKS),5,Glasson Dock,0.5625
S EXECUTED FOR COUNTRY BUYERS,5,St. Peter-Port,0.37209302325581395
NOVEMBER,5,Dover,0.6153846153846154
ON DOCK,5,Glasson Dock,0.7368421052631579
TENDER OPEN,5,Hennebont,0.5
SKIRTING,5,Stirling,0.75
LIVERPOOL (CUSTOMS DOCK),5,Liverpool,0.5454545454545454
& TILES,5,Trieste,0.5714285714285714
"J. H. ROWNTREE & CO.,",5,Montrose,0.3448275862068966
NG IRONS,5,Nairn,0.6153846153846154
LONDON (COBURG DOCK),5,Tilbury Docks,0.5454545454545454
R.B,5,Derby,0.5
GEORGE MERRYLEES & CO,5,Port Royal,0.3870967741935484
T (MON),5,St. Malo,0.5333333333333333
MITREING,5,Reading,0.6666666666666666
GILMOUR,5,Gloucester,0.5882352941176471
VIGERS,5,Iggesund,0.5714285714285714
QUEENSFERRY,4,Queenborough,0.5217391304347826
AUGU,4,Laurvig,0.5454545454545454
"[AUGUST 2, 1879",4,Bathurst,0.34782608695652173
BARROWSTOUNNESS,4,Borrowstounness (Bo'Ness),0.7
TRALEE,4,Trieste,0.6153846153846154
BORROWSTOWNNESS,4,Borrowstounness (Bo'Ness),0.7
"NOVEMBER 24, 1883.]",4,Dover,0.3333333333333333
"[SEPTEMBER 22, 1883",4,Pembroke Dock,0.375
TION WRITE TO,4,Trieste,0.5
EKS WYZED,4,Buenos Ayres,0.47619047619047616
TUNNEL PIER,4,Tyne Ports,0.5714285714285714
SPECIMEN,4,Skien,0.6153846153846154
ROSCOMMON,4,Troon,0.5714285714285714
ROLLS,4,Bollsta,0.6666666666666666
CASTLETOWN,4,Charlestown,0.7619047619047619
GREENHITHE,4,Greenock,0.5555555555555556
"[OCTOBER 5, 1889.]",4,Tonsberg,0.38461538461538464
MILL HOLE,4,Milford Haven,0.5454545454545454
"[AUGUST 17, 1889.]",4,"Chatham, N. B.",0.3125
RTS,4,Portsoy,0.6
COOPERS' PROTECTIVE SOCIETY,4,Quebec City,0.42105263157894735
SOUTH-WEST INDIA DOCK,4,Avonmouth Dock,0.5142857142857142
WICKLOW,4,Wick,0.7272727272727273
POWER,4,Dover,0.6
BROCKLEBANK DOCK,4,Pembroke Dock,0.6896551724137931
FRANCE,4,Penzance,0.5714285714285714
PORT,4,Newport,0.7272727272727273
TENDERS,4,St. Andrews,0.5555555555555556
EXPO,4,Newport,0.5454545454545454
SURREY DOCK,4,Tilbury Docks,0.6666666666666666
SALFORD DOCK,4,Portishead dock,0.5925925925925926
LINDEN WOOD,4,Fleetwood,0.6
LIVERPOOL (CONVOY DOCK),4,Liverpool,0.5625
SCO,4,Saon,0.5714285714285714
LIVERPOOL (TILLOTSON'S DOCK),4,Liverpool,0.4864864864864865
MILLWALL,4,Llanelli,0.625
RESULT OF TENDERS,4,Preston,0.5
T,4,Bath,0.4
HORNSEY DOCK,4,Portishead dock,0.6666666666666666
GREAT GRIMSBY,4,Grimsby,0.7
CORRESPONDENCE SOLICITED,4,Norrsundet,0.47058823529411764
LIVERPOOL (COBURG DOCKS),4,Liverpool,0.5454545454545454
EXPORT,4,Newport,0.7692307692307693
TES GIVEN,4,St. Ives,0.5882352941176471
ERSBURG,4,Newburgh,0.6666666666666666
HANOVER HOLE,3,Inverness,0.47619047619047616
GRAYS,3,Rafso,0.6
"OCTOBER 15, 1881",3,Tonsberg,0.4166666666666667
COLERAINE,3,Colberg,0.625
"AUGUST 13, 1881.]",3,"Chatham, N. B.",0.3225806451612903
MEMEL FIR,3,Three Rivers,0.47619047619047616
LYTTELTON,3,Littlehampton,0.6363636363636364
"[OCTOBER 20, 1883.]",3,Tonsberg,0.37037037037037035
"[JULY 7, 1883.]",3,Sault an Cochon,0.26666666666666666
18 THE TIMBER TRADES JOURNAL,3,Three Rivers,0.4
ERRATA,3,Arbroath,0.5714285714285714
"[SEPTEMBER 15, 1883.]",3,Pembroke Dock,0.35294117647058826
SEND FOR COPY,3,Svendborg,0.5454545454545454
ENGINEERS,3,Leicester,0.5555555555555556
WISEBECK,3,Wisbech,0.8
WRITE TO,3,Warrington,0.5555555555555556
TENBY,3,Derby,0.6
RAMSEY,3,Ramsay,0.8333333333333334
ST. KATHARINE'S DOCKS,3,Sharpness Docks,0.7222222222222222
"FEBRUARY 9, 1889",3,Burry Port,0.38461538461538464
"[MARCH 23, 1889",3,Harwich,0.36363636363636365
B. & F. S. WHARF,3,Faversham,0.32
"MAY 25, 1889.]",3,Bombay,0.3
EVERY SIZE,3,Rye,0.46153846153846156
EVERY DESCRIPTION,3,Preston,0.5
PETITIONS UNDER CESSIO,3,Neath and Briton Ferry Docks,0.48
"JULY 18, 1891",3,Sault an Cochon,0.2857142857142857
BURGH,3,Newburgh,0.7692307692307693
ST. KATHARINE DOCK,3,Sharpness Docks,0.6666666666666666
LEFOS,3,Torefos,0.6666666666666666
NEWBY,3,Newry,0.8
GRIMSBY DOCK,3,Grimsby,0.7368421052631579
TOWER DOCK,3,Tilbury Docks,0.6086956521739131
BRISTOL (TOWN DOCKS),3,Bristol,0.5185185185185185
GOW,3,Glasgow,0.6
ES,3,Wells,0.5714285714285714
DOCK,3,Baddick,0.5454545454545454
ST. ANDREW'S DOCK,3,St. Andrews,0.7857142857142857
GRIMSBY (RUNCORN DOCK),3,Glasson Dock,0.5294117647058824
MEMBERS,3,Cemaes,0.6153846153846154
MERCE,3,LimerickL,0.5714285714285714
LIVERPOOL (LONGTON DOCK),3,Liverpool,0.5454545454545454
LONGTON DOCK,3,Glasson Dock,0.6666666666666666
ROYAL ALBE,3,Port Royal,0.5
VICTORIA,3,Astoria,0.6666666666666666
SIR WILLIAM WRIGHT'S DOCK,3,Fort William,0.4864864864864865
"AUGUST 28, 1897",3,Bathurst,0.34782608695652173
EXPORTERS OF,3,Portsoy,0.631578947368421
R & SURVEYOR,3,Jordan River,0.5
COUNTER TOPS,3,Monsteras,0.5714285714285714
W. C. K,3,Wick,0.5454545454545454
CONFRG DOCK,3,Glasson Dock,0.6086956521739131
ORING,3,Nordmaling,0.6666666666666666
GRIMSBY (LONDON DOCKS),3,Glasson Dock,0.5294117647058824
GRIMSBY (QUEEN'S DOCKS),3,Greenock,0.5161290322580645
MLS,3,Wells,0.5
S. RENNIE & CO,3,San Francisco,0.5185185185185185
BULL DOCK,3,Tilbury Docks,0.6363636363636364
KINGS LYNN,3,Lynn (King's Lynn),0.7142857142857143
L & CO,3,Sault an Cochon,0.47619047619047616
ENUE,3,Odense,0.6
J. G. W-[?],2,St. Andrews,0.2727272727272727
"[OCTOBER 29, 1881",2,Tonsberg,0.4
DROGHEDA,2,Rotterdam,0.5882352941176471
RAMSEY (ISLE OF MAN),2,Scilly (Isles of Scilly),0.5909090909090909
DECEMBER,2,Leicester,0.5882352941176471
"PATENTEE AND MANUFACTURER,",2,Caledonian Canal,0.42857142857142855
"MAY 5, 1883.]",2,Bombay,0.3157894736842105
"[JULY 14, 1883.]",2,Sault an Cochon,0.25806451612903225
OWEN'S STOURBRIDGE,2,Woodbridge,0.5714285714285714
LYME,2,Blaye,0.6666666666666666
ILESBOURN,2,Middlesbrough,0.6363636363636364
ST. LOW,2,St. Malo,0.8
GOVERNMENT DOCK BUOYS,2,Avonmouth Dock,0.5142857142857142
PORSTOWN,2,Preston,0.8
BOW CREEK,2,Bremen,0.5333333333333333
QUEBEC DOCKS,2,Quebec City,0.6956521739130435
BURT'S WHARF,2,Burnham,0.5263157894736842
"OCTOBER 26, 1889.]",2,Tonsberg,0.38461538461538464
PRINCE REGENT'S WHARF,2,Roche Bernard,0.47058823529411764
"MAY 11, 1889",2,Bombay,0.3333333333333333
DS,2,Leeds,0.5714285714285714
DUNLOP & CO,2,Runcorn,0.4444444444444444
TRY IT,2,Trieste,0.6153846153846154
"WOOD, AND TIMBER MERCHANT",2,Forth and Clyde Canal,0.4782608695652174
GRANTOWN,2,Rangoon,0.6666666666666666
UNDER,2,Dundee,0.7272727272727273
D,2,Deal,0.4
"NOVEMBER 11, 1893",2,Dover,0.36363636363636365
VICTORIA & ALBERT DOCKS,2,Tilbury Docks,0.5555555555555556
APPLEDORE,2,Aberdovey,0.5555555555555556
DUNN & CO,2,Runcorn,0.5
ST,2,Brest,0.5714285714285714
BUILDING NOTES,2,Brightlingsea,0.5185185185185185
DOCK FIRES IN LIVERPOOL,2,Liverpool,0.5625
DULDING,2,Dublin,0.7692307692307693
ORMSBY DOCK,2,Portishead dock,0.6153846153846154
(FROM LLOYD'S.),2,Burnham Wells,0.42857142857142855
PREVENTS SLIPPING,2,Finnklippan,0.42857142857142855
OVER LIQUID,2,Dover,0.5
TON DOCK,2,Glasson Dock,0.7
... E.C,2,St. Ives,0.4
ENGL,2,Arendal,0.5454545454545454
OCTOBER,2,Tonsberg,0.6666666666666666
OW,2,Fowey,0.5714285714285714
HUSKISSON DOCKS,2,Glasson Dock,0.6666666666666666
BRISTOL (WEST),2,Bristol,0.6666666666666666
SIR WM. WRIGHT'S DOCK,2,Sharpness Docks,0.4444444444444444
"DECEMBER 7, 1895",2,Leicester,0.4
REGENT'S CANAL DOCK,2,Surrey Commercial Docks,0.5238095238095238
"ADELAIDE WORKS, SHEFFIELD",2,Lichfield,0.47058823529411764
"SEPTEMBER 28, 1895",2,Pembroke Dock,0.3870967741935484
JK,2,Djupvik,0.4444444444444444
CONVOY DOCK,2,Avonmouth Dock,0.64
BO'NE,2,Boulogne,0.6153846153846154
TOWN'S DOCK,2,Glasson Dock,0.6086956521739131
TILLOTSON'S DOCK,2,Glasson Dock,0.6428571428571429
OTHER DOCKS A,2,Portishead dock,0.6428571428571429
AUSTRIAN WAINSCOT OAK,2,San Francisco,0.5294117647058824
JAMES HARRISON,2,Beaumaris,0.5217391304347826
NOTICE OF DIVIDEND,2,North Sunderland,0.47058823529411764
DOCK BILLS,2,Douglas,0.47058823529411764
PROCEEDINGS OF DIVIDENDS,2,Three Rivers,0.4444444444444444
EVERY DESCRIPTION OF BUILDING WOOD,2,Weston Point,0.391304347826087
BRIDLINGTON,2,Brighton,0.7368421052631579
E,2,Rye,0.5
QUEBEC DOCK,2,Quebec City,0.7272727272727273
SONS,2,Saon,0.75
CROSSBY DOCK,2,Sharpness Docks,0.5925925925925926
"JAMES HARRISON,",2,Beaumaris,0.5
SOUTH-WEST INDIA DOCKS,2,Sharpness Docks,0.5405405405405406
"NEWPORT, MON",2,Newport,0.7368421052631579
"MAY 20, 1899",2,Bombay,0.3333333333333333
UNION DOCKS,2,Glasson Dock,0.6086956521739131
