issue_date,year,month,day,status,ocr_files,ocr_pages,failed_count,failed_errors,ships_parsed,unprocessed_pdfs
1889-04-20,1889,04,20,OCR_COMPLETE,3,3,0,,111,0
1889-04-27,1889,04,27,OCR_COMPLETE,4,4,0,,102,0
1889-05-04,1889,05,04,OCR_COMPLETE,5,5,0,,40,0
1889-05-11,1889,05,11,OCR_COMPLETE,4,4,0,,154,0
1889-05-18,1889,05,18,OCR_COMPLETE,4,4,0,,61,0
1889-05-25,1889,05,25,OCR_COMPLETE,4,4,0,,157,0
1889-06-01,1889,06,01,OCR_COMPLETE,5,5,0,,147,0
1889-06-08,1889,06,08,OCR_COMPLETE,4,4,0,,159,0
1889-06-15,1889,06,15,OCR_COMPLETE,4,4,0,,156,0
1889-06-22,1889,06,22,OCR_COMPLETE,4,4,0,,80,0
1889-06-29,1889,06,29,OCR_COMPLETE,5,5,0,,118,0
1889-07-06,1889,07,06,OCR_COMPLETE,4,4,0,,214,0
1889-07-13,1889,07,13,OCR_COMPLETE,4,4,0,,298,0
1889-07-20,1889,07,20,OCR_COMPLETE,2,2,0,,56,0
1889-07-27,1889,07,27,OCR_COMPLETE,5,5,0,,230,0
1889-08-03,1889,08,03,OCR_COMPLETE,6,6,0,,290,0
1889-08-10,1889,08,10,OCR_COMPLETE,3,3,0,,86,0
1889-08-15,1889,08,15,OCR_COMPLETE,4,4,0,,260,0
1889-08-17,1889,08,17,OCR_COMPLETE,5,5,0,,407,0
1889-08-24,1889,08,24,OCR_COMPLETE,5,5,0,,346,0
1889-08-31,1889,08,31,OCR_COMPLETE,5,5,0,,294,0
1889-09-07,1889,09,07,OCR_COMPLETE,5,5,0,,324,0
1889-09-14,1889,09,14,OCR_COMPLETE,7,7,0,,251,0
1889-09-21,1889,09,21,OCR_COMPLETE,7,7,0,,399,0
1889-09-28,1889,09,28,OCR_COMPLETE,3,3,0,,98,0
1889-10-05,1889,10,05,OCR_COMPLETE,3,3,0,,198,0
1889-10-12,1889,10,12,OCR_COMPLETE,4,4,0,,76,0
1889-10-19,1889,10,19,OCR_COMPLETE,4,4,0,,239,0
1889-10-26,1889,10,26,OCR_COMPLETE,3,3,0,,159,0
1889-11-02,1889,11,02,OCR_COMPLETE,5,5,0,,359,0
1889-11-03,1889,11,03,OCR_COMPLETE,2,2,0,,44,0
1889-11-09,1889,11,09,OCR_COMPLETE,2,2,0,,201,0
1889-11-16,1889,11,16,OCR_COMPLETE,5,5,0,,206,0
1889-11-23,1889,11,23,OCR_COMPLETE,4,4,0,,182,0
1889-11-30,1889,11,30,OCR_COMPLETE,4,4,0,,152,0
1889-12-07,1889,12,07,OCR_COMPLETE,4,4,0,,201,0
1889-12-14,1889,12,14,OCR_COMPLETE,4,4,0,,293,0
1889-12-21,1889,12,21,OCR_COMPLETE,2,2,0,,23,0
1889-12-28,1889,12,28,OCR_COMPLETE,3,3,0,,72,0
1890-01-04,1890,01,04,OCR_COMPLETE,4,4,0,,121,0
1890-01-11,1890,01,11,OCR_COMPLETE,2,2,0,,141,0
1890-01-18,1890,01,18,OCR_COMPLETE,1,1,0,,11,0
1890-01-25,1890,01,25,OCR_COMPLETE,2,2,0,,9,0
1891-01-03,1891,01,03,OCR_COMPLETE,3,3,0,,122,0
1891-01-10,1891,01,10,OCR_COMPLETE,1,1,0,,10,0
1891-01-24,1891,01,24,OCR_COMPLETE,3,3,0,,14,0
1891-01-31,1891,01,31,OCR_COMPLETE,2,2,0,,64,0
1891-02-07,1891,02,07,OCR_COMPLETE,3,3,0,,73,0
1891-02-14,1891,02,14,OCR_COMPLETE,1,1,0,,0,0
1891-02-21,1891,02,21,OCR_COMPLETE,3,3,0,,35,0
1891-02-28,1891,02,28,OCR_COMPLETE,2,2,0,,83,0
1891-03-07,1891,03,07,OCR_COMPLETE,3,3,0,,21,0
1891-03-14,1891,03,14,OCR_COMPLETE,2,2,0,,7,0
1891-03-21,1891,03,21,OCR_COMPLETE,4,4,0,,69,0
1891-03-28,1891,03,28,OCR_COMPLETE,3,3,0,,165,0
1891-04-04,1891,04,04,OCR_COMPLETE,4,4,0,,89,0
1891-04-11,1891,04,11,OCR_COMPLETE,3,3,0,,67,0
1891-04-18,1891,04,18,OCR_COMPLETE,3,3,0,,162,0
1891-04-25,1891,04,25,OCR_COMPLETE,3,3,0,,71,0
1891-05-02,1891,05,02,OCR_COMPLETE,4,4,0,,73,0
1891-05-09,1891,05,09,OCR_COMPLETE,3,3,0,,99,0
1891-05-16,1891,05,16,OCR_COMPLETE,4,4,0,,114,0
1891-05-23,1891,05,23,OCR_COMPLETE,3,3,0,,100,0
1891-05-30,1891,05,30,OCR_COMPLETE,4,4,0,,78,0
1891-06-06,1891,06,06,OCR_COMPLETE,4,4,0,,202,0
1891-06-13,1891,06,13,OCR_COMPLETE,4,4,0,,185,0
