issue_date,year,month,status,ocr_files,csv_ships,ocr_candidates,delta_candidates_minus_csv,month_median,ratio_to_median,files_matched,severity
1889-06-15,1889,6,OCR_COMPLETE,4,156,4,-152,128,1.22,4,0.0
1883-09-15,1883,9,OCR_COMPLETE,4,179,22,-157,183,0.98,4,0.0
1889-06-08,1889,6,OCR_COMPLETE,4,159,2,-157,128,1.24,4,0.0
1891-08-15,1891,8,OCR_COMPLETE,5,163,6,-157,213,0.77,5,0.0
1891-06-27,1891,6,OCR_COMPLETE,4,164,1,-163,128,1.28,4,0.0
1883-06-09,1883,6,OCR_COMPLETE,3,169,5,-164,128,1.32,3,0.0
1881-07-02,1881,7,OCR_COMPLETE,3,178,7,-171,104,1.70,3,0.0
1893-09-09,1893,9,OCR_COMPLETE,5,227,56,-171,183,1.24,5,0.0
1895-09-28,1895,9,OCR_COMPLETE,4,171,0,-171,183,0.93,4,0.0
1895-09-07,1895,9,OCR_COMPLETE,4,181,4,-177,183,0.99,4,0.0
1883-07-07,1883,7,OCR_COMPLETE,5,221,37,-184,104,2.11,5,0.0
1891-06-13,1891,6,OCR_COMPLETE,4,185,1,-184,128,1.45,4,0.0
1899-09-02,1899,9,OCR_COMPLETE,7,222,37,-185,183,1.21,7,0.0
1881-06-04,1881,6,OCR_COMPLETE,3,200,14,-186,128,1.56,3,0.0
1893-09-16,1893,9,OCR_COMPLETE,3,186,0,-186,183,1.01,3,0.0
1881-08-13,1881,8,OCR_COMPLETE,3,261,74,-187,213,1.23,3,0.0
1883-06-02,1883,6,OCR_COMPLETE,2,195,5,-190,128,1.52,2,0.0
1891-08-01,1891,8,OCR_COMPLETE,6,198,2,-196,213,0.93,6,0.0
1895-08-24,1895,8,OCR_COMPLETE,4,197,1,-196,213,0.92,4,0.0
1891-06-06,1891,6,OCR_COMPLETE,4,202,2,-200,128,1.58,4,0.0
1883-08-11,1883,8,OCR_COMPLETE,4,213,10,-203,213,1.00,4,0.0
1893-08-19,1893,8,OCR_COMPLETE,5,208,3,-205,213,0.98,5,0.0
1891-06-20,1891,6,OCR_COMPLETE,5,216,10,-206,128,1.69,5,0.0
1881-07-30,1881,7,OCR_COMPLETE,3,209,0,-209,104,2.00,3,0.0
1891-09-05,1891,9,OCR_COMPLETE,5,214,4,-210,183,1.17,5,0.0
1889-07-06,1889,7,OCR_COMPLETE,4,214,2,-212,104,2.05,4,0.0
1881-07-23,1881,7,PARTIAL_FAIL,4,216,3,-213,104,2.07,4,0.0
1891-07-04,1891,7,OCR_COMPLETE,6,214,1,-213,104,2.05,6,0.0
1895-08-31,1895,8,OCR_COMPLETE,4,214,1,-213,213,1.00,4,0.0
1881-09-10,1881,9,OCR_COMPLETE,4,379,165,-214,183,2.07,4,0.0
1889-07-27,1889,7,OCR_COMPLETE,5,230,9,-221,104,2.20,5,0.0
1881-08-06,1881,8,OCR_COMPLETE,3,227,0,-227,213,1.07,3,0.0
1879-06-07,1879,6,OCR_COMPLETE,2,235,0,-235,128,1.84,2,0.0
1881-09-24,1881,9,OCR_COMPLETE,3,254,9,-245,183,1.38,3,0.0
1879-08-02,1879,8,OCR_COMPLETE,3,290,43,-247,213,1.36,3,0.0
1883-08-04,1883,8,OCR_COMPLETE,4,249,2,-247,213,1.17,4,0.0
1883-07-21,1883,7,OCR_COMPLETE,4,261,12,-249,104,2.50,4,0.0
1889-09-14,1889,9,OCR_COMPLETE,7,251,2,-249,183,1.37,7,0.0
1879-07-05,1879,7,OCR_COMPLETE,3,251,1,-250,104,2.40,3,0.0
1883-08-25,1883,8,OCR_COMPLETE,3,250,0,-250,213,1.17,3,0.0
1883-07-28,1883,7,OCR_COMPLETE,4,261,10,-251,104,2.50,4,0.0
1889-08-15,1889,8,OCR_COMPLETE,4,260,0,-260,213,1.22,4,0.0
1895-08-17,1895,8,OCR_COMPLETE,5,273,4,-269,213,1.28,5,0.0
1883-09-22,1883,9,OCR_COMPLETE,4,288,7,-281,183,1.57,4,0.0
1889-09-07,1889,9,OCR_COMPLETE,5,324,42,-282,183,1.77,5,0.0
1889-08-03,1889,8,OCR_COMPLETE,6,290,2,-288,213,1.36,6,0.0
1889-08-31,1889,8,OCR_COMPLETE,5,294,3,-291,213,1.38,5,0.0
1889-07-13,1889,7,OCR_COMPLETE,4,298,0,-298,104,2.85,4,0.0
1889-08-24,1889,8,OCR_COMPLETE,5,346,39,-307,213,1.62,5,0.0
1883-06-30,1883,6,OCR_COMPLETE,3,325,0,-325,128,2.54,3,0.0
1883-09-01,1883,9,OCR_COMPLETE,4,342,10,-332,183,1.86,4,0.0
1879-09-27,1879,9,OCR_COMPLETE,3,361,27,-334,183,1.97,3,0.0
1881-08-20,1881,8,OCR_COMPLETE,3,338,0,-338,213,1.59,3,0.0
1881-09-03,1881,9,OCR_COMPLETE,4,382,2,-380,183,2.08,4,0.0
1889-09-21,1889,9,OCR_COMPLETE,7,399,4,-395,183,2.17,7,0.0
1883-09-08,1883,9,OCR_COMPLETE,4,403,6,-397,183,2.20,4,0.0
1889-08-17,1889,8,OCR_COMPLETE,5,407,6,-401,213,1.91,5,0.0
1891-08-29,1891,8,OCR_COMPLETE,6,407,3,-404,213,1.91,6,0.0
1883-08-18,1883,8,OCR_COMPLETE,4,432,7,-425,213,2.03,4,0.0
1879-08-30,1879,8,OCR_COMPLETE,3,436,2,-434,213,2.05,3,0.0
1879-07-10,1879,7,OCR_COMPLETE,3,465,0,-465,104,4.45,3,0.0
1883-09-29,1883,9,OCR_COMPLETE,5,613,3,-610,183,3.34,5,0.0
