port_name,port_type,year,num_ships,num_cargo_items,top_commodity_1,top_commodity_2,top_commodity_3
Abyn,origin,1899,2,2,firewood,,
Abyu,origin,1881,1,2,firewood,battens,
Acorn Yd,origin,1896,5,0,,,
Adelaide,origin,1883,1,0,,,
Adler,origin,1877,1,3,staves,planks,logs
Adolph Michel,origin,1883,1,0,,,
Africa,origin,1883,1,2,ebony,billets,
Africa,origin,1891,2,3,leon,timber,
Aguste,origin,1881,1,0,,,
Ahla,origin,1887,1,1,pit,,
Ahlafors,origin,1874,2,2,deals,,
Ahlafors,origin,1877,3,3,deals,sawn,
Ahlafors,origin,1879,14,13,deals,battens,timber
Ahlafors,origin,1881,3,3,deals,fir sawn,
Ahlafors,origin,1885,5,5,deals,battens,
Ahlafors,origin,1887,3,3,sawn fir,battens,firewood
Ahlators,origin,1879,1,1,deals,,
Ahlo,origin,1887,1,1,props,,
Aimee,origin,1893,1,0,,,
Akyab,origin,1874,1,2,ventilators,planks,
Akyab,origin,1877,2,3,planks,ventilators,
Akyab,origin,1881,1,1,planks,,
Akyab,origin,1883,1,1,planks,,
Aland,origin,1883,2,2,deals,sawn fir,
Aland,origin,1885,1,1,sawn fir,,
Aland,origin,1887,1,1,props,,
Aland,origin,1889,1,1,pit,,
Albany,origin,1893,1,1,hard,,
Albany,origin,1899,1,1,karri,,
Alderney,origin,1885,1,2,hewn teak,hewn fir,
Alexandria,origin,1885,1,1,wood,,
Alexandria,origin,1887,1,3,firewood,battens,scantlings
Alexandria,origin,1889,1,1,antique wood,,
Alexandria,origin,1891,2,2,pit,staves,
Aleyn,origin,1877,1,2,deals,,
Alfred,origin,1881,1,0,,,
Alfredsham,origin,1879,1,1,battens,,
Alfredsham,origin,1881,1,2,firewood,battens,
Alfredsham,origin,1883,1,1,battens,,
Alfredshamn,origin,1879,1,1,firewood,,
Alfredshamn,origin,1887,1,1,firewood,,
Alfredshem,origin,1889,4,4,battens,fir ends,deals
Alfredshem,origin,1891,3,3,deals,firewood,
Alfredshem,origin,1895,1,1,deals,,
Algiers,origin,1892,1,1,wood,,
Algoa Bay,origin,1899,1,1,boxwood,,
"Algoa Bay, N.B.",origin,1895,1,3,deals,,
Allen,origin,1883,1,1,props,,
Alloa,origin,1889,1,1,props,,
Alloa,origin,1899,1,2,props and,firewood,
"Alma, N.B",origin,1895,1,1,sawn fir,,
"Alma, N.B.",origin,1885,1,1,deals,,
"Alma, N.B.",origin,1895,1,1,deals,,
Almeria,origin,1887,1,1,firewood,,
Almeria,origin,1889,1,2,firewood,battens,
Almvik,origin,1887,1,2,firewood,deals,
Alne,origin,1885,1,1,deals,,
Alne,origin,1889,1,1,battens,,
Alne,origin,1891,2,4,sawn fir,deals,fir
Alne,origin,1893,2,2,fir deals,boards and ends,
Alne,origin,1895,1,1,battens,,
"Alne, Ornskjoldsvik",origin,1893,1,1,sawn fir,,
Altona,origin,1877,1,1,pit,,
Altona,origin,1889,1,2,beech,fir,
Altona,origin,1897,1,2,oak chocks,beech,
Alufors,origin,1875,1,2,battens,fir timber,
Alvarado,origin,1883,1,1,logs,,
Alvarado,origin,1891,1,1,mahogany and cedar,,
Alvik,origin,1881,1,2,fir hewn,battens,
Alvik,origin,1883,1,1,sawn fir,,
Ambro',origin,1893,1,1,crotches,,
Amo,origin,1881,1,1,deals,,
Amsterdam,origin,1875,5,22,battens,boards,staves
Amsterdam,origin,1881,7,7,staves,ebony,blocks
Amsterdam,origin,1882,1,1,staves,,
Amsterdam,origin,1883,13,22,logs,laths,planks
Amsterdam,origin,1884,1,1,logs,,
Amsterdam,origin,1885,12,13,staves,logs,wood
Amsterdam,origin,1887,4,4,firewood,hoops,mill boards
Amsterdam,origin,1889,12,14,wood,logs,staves
Amsterdam,origin,1891,9,15,logs,staves,hoops
Amsterdam,origin,1892,2,2,wood,sandal,
Amsterdam,origin,1893,6,6,timber,sawn fir,logs
Amsterdam,origin,1897,1,1,logs,,
Anciola,origin,1881,1,0,,,
Ancona,origin,1881,1,1,planks,,
Anderini,origin,1891,1,1,pitwood,,
Anga,origin,1887,2,5,battens,deals,laths
Angorn,origin,1889,1,3,hewn fir,firewood,fir
Anker,origin,1889,1,0,,,
Anna,origin,1885,1,0,,,
Anna,origin,1899,1,0,,,
Annapolis,origin,1876,1,1,staves,,
Annapolis,origin,1877,2,9,pine planks,pine,battens
Annapolis,origin,1881,2,5,deals,palings,staves
Annapolis,origin,1889,1,1,wood,,
"Annapolis, N. S.",origin,1883,1,1,hewn fir,,
"Annapolis, N.S.",origin,1881,1,2,deals,palings,
Anray,origin,1893,1,1,,,
Antigua,origin,1881,1,1,logs,,
Antigua,origin,1883,1,1,furniture wood,,
Antwerp,origin,1877,1,1,bales,,
Antwerp,origin,1878,1,1,wood,,
Antwerp,origin,1879,4,4,deals,,
Antwerp,origin,1881,9,9,basket rods,rods,sawn wood
Antwerp,origin,1883,17,18,bags,boards,mouldings
Antwerp,origin,1884,2,2,deals,pitwood,
Antwerp,origin,1887,13,17,wood,staves,firewood
Antwerp,origin,1889,1,1,broomsticks,,
Antwerp,origin,1891,12,12,sleepers,wood,split wood
Antwerp,origin,1892,5,5,wooden,wood,sleepers
Antwerp,origin,1893,12,15,willows,cases,sleepers
Antwerp,origin,1897,2,2,hoops,firewood,
Apalachicola,origin,1881,1,2,timber,deals,
Apalachicola,origin,1883,17,41,deals,timber,hewn fir
Apalachicola,origin,1884,2,5,pitch,hewn pitch pine,hewn cedar
Apalachicola,origin,1885,29,69,deals,hewn pitch pine,hewn fir
Apalachicola,origin,1887,9,25,hewn and,pitch pine timber,sawn fir
Apalachicola,origin,1889,2,4,hewn and,sawn pine,deals
Apalachicola,origin,1891,4,10,sawn fir,deals,hewn fir
Apalachicola,origin,1892,1,3,hewn pitch pine,sawn pitch pine,sawn fir
Apalachicola,origin,1893,11,21,sawn fir,hewn fir,deals
Apalachicola,origin,1895,4,6,deals,pitch pine logs,hewn fir
Apalachicola,origin,1897,3,7,sawn fir,hewn fir,deals
Apalachicola,origin,1898,1,2,hewn pitch pine,sawn pitch pine,
Apalachicola,origin,1899,2,2,deals,sawn pitch pine,
"Apalachicola, Fla.",origin,1895,1,2,hewn fir,deals,
Apeldo,origin,1897,1,1,firewood,,
Apple River,origin,1883,1,1,deals,,
Ar-ndal,origin,1877,1,4,spars,timber,props
Arcachin,origin,1897,1,1,pitwood,,
Arcachon,origin,1879,5,2,,,
Arcachon,origin,1881,9,9,pitwood,pit,fir hewn
Arcachon,origin,1883,5,5,pitwood,hewn fir,pit
Arcachon,origin,1884,1,1,pitwood,,
Arcachon,origin,1885,5,5,pitwood,hewn fir,
Arcachon,origin,1887,7,7,pitwood,sawn fir,hewn fir
Arcachon,origin,1889,20,20,pitwood,hewn fir,
Arcachon,origin,1890,1,1,pit props,,
Arcachon,origin,1891,11,11,pitwood,pit props,
Arcachon,origin,1892,1,1,pitwood,,
Arcachon,origin,1893,9,8,pitwood,pit props,hewn fir pitwood
Arcachon,origin,1895,4,4,pitwood,,
Arcachon,origin,1897,1,1,pitwood,,
Arcachon,origin,1899,9,9,pitwood,hewn fir,
Archachon,origin,1889,1,1,pitwood,,
Archachon,origin,1893,1,1,pit,,
Archangel,origin,1889,1,0,,,
Archangel,origin,1890,1,0,,,
Archangel,origin,1891,1,0,,,
Archangel,origin,1893,2,0,,,
Archangel,origin,1895,4,0,,,
Archangl.,origin,1879,1,0,,,
Arcnangel,origin,1893,1,1,sawn fir,,
Ardenal,origin,1883,1,1,hewn fir,,
Areachon,origin,1881,1,1,pit,,
Areachon,origin,1883,1,1,pitwood,,
Arehangel,origin,1875,1,1,firewood,,
Arenc,origin,1897,1,1,pitwood,,
Arend,origin,1879,1,0,,,
Arendal,origin,1874,2,3,timber,battens,
Arendal,origin,1875,11,25,timber,battens,deals
Arendal,origin,1877,17,58,props,mining timber,deals
Arendal,origin,1879,36,16,timber,battens,deals
Arendal,origin,1881,57,103,pit,mining timber,props
Arendal,origin,1882,3,4,pitwood,mining timber,
Arendal,origin,1883,94,148,props,mining timber,hewn fir
Arendal,origin,1884,8,12,wood pulp,hewn fir,boards
Arendal,origin,1885,48,67,mining timber,props,hewn fir
Arendal,origin,1887,54,73,pit,firewood,props
Arendal,origin,1888,1,1,hewn fir,,
Arendal,origin,1889,49,86,mining timber,props,pit
Arendal,origin,1890,1,1,round timber,,
Arendal,origin,1891,54,75,mining timber,props,pit props
Arendal,origin,1893,34,50,props,boards,pit props
Arendal,origin,1895,16,19,hewn fir,props,pitwood
Arendal,origin,1897,20,24,hewn fir,props,pit
Arendal,origin,1898,3,4,sawn fir,hewn fir,
Arendal,origin,1899,19,23,props,pitwood,pit
Arenos,origin,1887,1,1,pitwood,,
Areudal,origin,1879,1,0,,,
Arkhangelsk,origin,1874,9,10,deals,deals and boards,timber
Arkhangelsk,origin,1875,20,61,deals,lathwood,timber
Arkhangelsk,origin,1877,21,53,deals,ends,palings
Arkhangelsk,origin,1879,108,102,deals,firewood,boards
Arkhangelsk,origin,1881,97,88,deals,firewood,fir sawn
Arkhangelsk,origin,1882,1,2,oars,boards,
Arkhangelsk,origin,1883,102,103,deals,sawn fir,firewood
Arkhangelsk,origin,1885,103,126,deals,firewood,sawn fir
Arkhangelsk,origin,1887,109,122,deals,firewood,sawn fir
Arkhangelsk,origin,1889,82,102,deals,fir,firewood
Arkhangelsk,origin,1891,52,59,deals,fir,firewood
Arkhangelsk,origin,1893,73,86,deals,fir deals,firewood
Arkhangelsk,origin,1895,100,111,deals,sawn fir,deals and ends
Arkhangelsk,origin,1898,1,1,oak staves,,
Arkhangelsk,origin,1899,37,43,deals,redwood,sawn fir
Arno,origin,1879,4,4,deals,battens,
Arno,origin,1881,5,5,deals,battens,firwood
Arno,origin,1883,4,3,battens,deals,
Arno,origin,1885,4,5,deals,battens,
Arno Ansag,origin,1879,1,1,boards,,
Aroachon,origin,1891,1,1,pitwood,,
Arohamn,origin,1891,1,1,fir,,
Arsachons,origin,1893,1,0,,,
Arthur,origin,1887,1,0,,,
Arundal,origin,1883,1,2,props,crowntrees,
Aruskjoldvick,origin,1874,1,1,battens,,
Asbacka,origin,1875,1,2,timber,deals,
Asbacka,origin,1877,1,1,deals,,
Asbacka,origin,1879,5,4,deals,battens,
Asbacka,origin,1881,3,3,deals,,
Asbacka,origin,1883,1,1,deals,,
Asbacka,origin,1885,2,2,firewood,deals,
Asbacka,origin,1887,1,1,firewood,,
Asbacka,origin,1889,1,1,fir,,
Asbacka,origin,1891,1,1,deals,,
Asbacka,origin,1893,2,2,deals,fir deals,
Asbacker,origin,1875,1,0,,,
Asbacks,origin,1883,1,1,deals,,
Asbacks,origin,1887,1,1,sawn fir,,
Asbecka,origin,1887,1,1,fir,,
Askersund,origin,1891,1,1,deals,,
Astoria,origin,1887,1,1,boards,,
Astoria,origin,1889,2,2,boards,,
Asunder,origin,1889,2,2,cedar,,
Attona,origin,1877,1,1,props,,
Attu,origin,1879,3,3,boards,battens,deals
Attu,origin,1881,4,5,battens,firewood,
Attu,origin,1883,7,7,battens,sawn fir,firewood
Attu,origin,1885,1,1,planks,,
Attu,origin,1887,3,3,sawn fir,,
Attu,origin,1889,1,1,battens,,
Attu,origin,1893,2,2,fir boards,sawn fir,
Attu,origin,1895,2,3,sawn fir,balks and battens,firewood
Attu,origin,1899,3,3,sawn fir,fir,deals
Atu,origin,1887,1,1,props,,
Auckland,origin,1881,2,2,timber,,
Auckland,origin,1883,2,2,logs,timber,
Auckland,origin,1889,1,1,timber,,
Auckland,origin,1891,1,1,timber,,
"Auckland, N.Z.",origin,1881,1,1,timber,,
Audierne,origin,1889,4,4,pit props,pitwood,
Audierne,origin,1895,1,1,pitwood,,
Augusta,origin,1883,1,0,,,
Aura,origin,1897,1,1,pit props,,
Auray,origin,1877,11,9,,,
Auray,origin,1878,1,1,,,
Auray,origin,1879,21,4,,,
Auray,origin,1881,21,21,pitwood,pit,fir hewn
Auray,origin,1883,31,31,pitwood,hewn fir,
Auray,origin,1884,1,1,pitwood,,
Auray,origin,1885,29,29,pitwood,hewn fir,pit
Auray,origin,1887,22,22,pitwood,pit,hewn pitwood
Auray,origin,1888,1,1,pitwood,,
Auray,origin,1889,23,23,pitwood,pit props,pit
Auray,origin,1891,9,9,pitwood,pit props,
Auray,origin,1892,1,1,pit props,,
Auray,origin,1893,30,30,pitwood,fir pitwood,fir props
Auray,origin,1895,9,9,pitwood,,
Auray,origin,1897,18,18,pitwood,fir pit props,fir pitwood
Auray,origin,1898,1,1,pitwood,,
Auray,origin,1899,14,14,pitwood,hewn fir,hewn fir pit props
Aussig,origin,1885,1,1,wood,,
Australia,origin,1887,1,4,lumber,headings,wash boards
Aux,origin,1883,2,0,,,
Aux Cayes,origin,1883,2,2,logwood,,
Aveiro,origin,1883,1,1,pitwood,,
Aviles,origin,1885,1,1,pitwood,,
Avonmouth,origin,1887,1,0,,,
"Avonport, N.S.",origin,1899,1,1,spruce deals,,
Away,origin,1879,1,0,,,
Awray,origin,1899,1,1,,,
Axim,origin,1893,1,1,logs,,
Axim,origin,1895,2,2,logs,,
"Axim, W. C. Africa",origin,1895,1,1,logs,,
"Axim, W.C. Africa",origin,1895,2,2,logs,,
Axmar,origin,1875,1,2,deals,stadt,
Axmar,origin,1879,2,2,deals,battens,
Axmar Bruk,origin,1877,1,1,battens and boards,,
Axmarby,origin,1893,2,2,fir props,hewn fir,
B'torpshamn,origin,1879,1,0,,,
B. ALMQUIST ... ... ... RED --,origin,1899,1,0,,,
B.ahestadt,origin,1893,1,1,staves,,
BEDFORD,destination,1897,3,3,deals,pitch pine timber,
BELLYWOOD,destination,1893,8,8,fir deals,hewn fir,fir sleepers
BERGGUARA,origin,1898,1,0,,,
BIDEFORD,destination,1881,1,3,firewood,deals,spars
BORROWSTOWNESS,destination,1885,1,1,hewn birch,,
BORROWSTOWNESS,destination,1895,6,6,props,hewn fir,deals
BRIDPORT,destination,1899,1,2,planed boards,unplaned battens,
BROWN & KRUSE,destination,1891,8,11,props,pitwood,case
BRUNSWICK DOCK,destination,1893,21,29,logs,oak,mahogany
BRUNSWICK DOCK,destination,1895,4,4,deals,deals and boards,
BRUNSWICK DOCK,destination,1899,4,5,red gum,red,staves
BUILDERS' CLERKS' BENEVOLENT INSTITUTION,destination,1881,4,11,pit,oak sap,oak boards
BUILDING NEWS,destination,1889,2,2,yards,thames,
BUILDING NEWS,destination,1895,1,2,sawn pitch pine timber,deals,
BULL DOCK,destination,1899,8,10,pit,poles,fencings
BURRYPORT,destination,1879,20,8,deals,staves,timber
BUTE DOCK,destination,1895,7,7,deals,pit props,pitwood
Backmann,origin,1887,1,0,,,
Baddeck,origin,1881,1,3,deals,timber,
Baddeck,origin,1893,1,3,birch,spruce,
"Baddeck, C.B.",origin,1883,1,3,deals,birch,
Badeck,origin,1887,1,3,birch,deals,
Bahia,origin,1874,1,2,logs,,
Bahia,origin,1875,4,6,logs,,
Bahia,origin,1877,3,3,logs,,
Bahia,origin,1878,1,1,logs,,
Bahia,origin,1881,5,7,logs,brazilwood,
Bahia,origin,1883,3,3,logs,rosewood,
Bahia,origin,1892,1,1,logs,,
Bahia,origin,1893,3,3,rosewood,,
Bahia,origin,1897,1,1,rosewood,,
Bahia,origin,1899,2,2,rosewood,,
Baie Verte,origin,1879,3,3,deals,,
Baie Verte,origin,1881,3,5,deals,scantlings,ends
Baie Verte,origin,1883,10,14,deals,sawn fir,
Baie Verte,origin,1885,15,29,deals,ends,scantlings
Baie Verte,origin,1887,21,33,deals,ends,sawn fir
Baie Verte,origin,1889,30,64,deals,scantlings,ends
Baie Verte,origin,1891,16,27,deals,scantlings,hardwood
Baie Verte,origin,1893,8,10,fir deals,deals,fir deals and ends
Baie Verte,origin,1895,5,8,deals,deals and ends,scantlings
Baie Verte,origin,1897,2,2,deals and boards,spruce deals,
Baie Verte,origin,1899,3,4,deals,sawn fir,
Baie de Verte,origin,1899,1,1,deals,,
Ballsta,origin,1881,1,1,deals,,
Balnarte,origin,1877,1,2,logs,crotches,
Baltic,origin,1881,1,1,lathwood,,
Baltic,origin,1883,1,3,staves,deals,staves and flooring
Baltic,origin,1891,1,1,sleepers,,
Baltimore,origin,1874,2,9,timber,treenails,staves
Baltimore,origin,1875,6,27,deals,staves,timber
Baltimore,origin,1877,4,9,staves,logs,planks
Baltimore,origin,1879,2,2,planks,staves,
Baltimore,origin,1880,4,4,props,fir tim,
Baltimore,origin,1881,40,67,planks,staves,logs
Baltimore,origin,1883,54,105,planks,staves,logs
Baltimore,origin,1884,6,7,oak,staves,walnut
Baltimore,origin,1885,64,90,staves,oak,planks
Baltimore,origin,1886,2,5,planks,maple,staves
Baltimore,origin,1887,90,138,oak,staves,lumber
Baltimore,origin,1888,3,5,oak,staves,spools
Baltimore,origin,1889,87,149,oak,staves,oak lumber
Baltimore,origin,1890,7,11,oak lumber,oak,staves
Baltimore,origin,1891,74,111,walnut,oak,staves
Baltimore,origin,1892,13,17,oak,lumber,oak lumber
Baltimore,origin,1893,65,91,oak,walnut,poplar
Baltimore,origin,1895,31,55,oak,poplar,walnut boards
Baltimore,origin,1896,2,4,oak,walnut,shooks
Baltimore,origin,1897,21,38,oak,logs,boards
Baltimore,origin,1898,9,24,logs,oak,poplar
Baltimore,origin,1899,32,62,oak,poplar,logs
"Baltimore, U.S.A.",origin,1887,1,1,oak,,
Balto,origin,1879,1,1,staves,,
Bangkok,origin,1881,2,7,teak,logs,sapanwood
Bangkok,origin,1883,5,16,teak,logs,sapanwood
Bangkok,origin,1884,1,3,teak,sapanwood,
Bangkok,origin,1887,1,3,sapan,logs,planks
Bangkok,origin,1890,1,2,teakwood,sapanwood,
Bangkok,origin,1891,7,14,teak,logs,deck
Bangkok,origin,1892,2,4,teak,,
Bangkok,origin,1895,5,17,planks,squares,blocks
Bangkok,origin,1897,5,6,logs,planks,sawn fir
"Bangkok, via Cadiz",origin,1897,1,2,planks,sawn,
Bangor,origin,1874,3,10,deals,deal ends,palings
Bangor,origin,1875,5,12,deals,ends,palings
Bangor,origin,1877,6,22,deals,ends,palings
Bangor,origin,1883,1,2,spoolwood,spruce,
Bangor,origin,1887,1,2,sawn birch,deals,
Bangor,origin,1889,3,3,spars,sawn birch,
Bangor,origin,1891,1,1,,,
Bangor,origin,1893,1,1,birch deals,,
Bangor,origin,1895,1,1,pit,,
"Bangor, Maine",origin,1899,1,1,sawn birch spoolwood,,
"Bangor, Me.",origin,1899,1,1,sawn birch spoolwood,,
"Bangor, U.S.",origin,1885,1,2,spoolwood,spruce,
"Bangor, U.S.",origin,1887,1,1,spoolwood,,
"Bangor, U.S.A.",origin,1897,1,1,sawn fir,,
Bangsund,origin,1877,1,2,deals,battens,
Bangsund,origin,1881,1,2,deals and battens,firewood,
Bangsund,origin,1883,2,3,battens,deals,
Bangsund,origin,1889,4,6,fir,firewood,battens
Bangsund,origin,1891,3,3,deals,battens,firewood
Bangsund,origin,1893,1,1,fir deals and boards,,
Bangsund,origin,1895,1,1,sawn fir,,
Bannesund,origin,1879,1,1,battens,,
Bannow,origin,1879,1,0,,,
Baraharia,origin,1881,1,5,logs,lignum vit,spars
Barahona,origin,1877,1,7,lignum vit,lancewood,mahogany
Barahona,origin,1883,1,1,lignum,,
Barahona,origin,1891,1,5,logs,notches,lancewood
Barahona,origin,1893,3,6,lancewood,lignum,mahogany
"Barahona, St. Domingo",origin,1895,1,1,staves,,
Barbados,origin,1891,1,1,logs,,
Barcelona,origin,1891,1,1,timber,,
Barcelona,origin,1893,3,2,oak,,
Bari,origin,1883,1,1,oak,,
Barkivig,origin,1889,1,1,pitwood,,
Barnstaple,origin,1877,2,1,timber,,
Barnstaple,origin,1879,1,0,,,
Barohona,origin,1892,1,1,lignum,,
Baronne,origin,1881,1,1,pit,,
Barquero,origin,1885,3,3,pitwood,,
Barrow,origin,1883,1,0,,,
Barrysors,origin,1895,1,1,props,,
Bassein,origin,1877,1,1,teak,,
Batavia,origin,1874,1,1,sapanwood,,
Batekarnas,origin,1887,1,1,firewood,,
Bath,origin,1877,1,4,timber,palings,deals
Bathurst,origin,1874,2,2,deals,palings,
Bathurst,origin,1875,5,14,deals,logs,ends
Bathurst,origin,1877,5,10,deals,ends,bds
Bathurst,origin,1879,7,6,deals,,
Bathurst,origin,1881,12,14,deals,fir sawn,firewood
Bathurst,origin,1883,15,26,deals,palings,boards
Bathurst,origin,1885,3,5,deals,laths,ends
Bathurst,origin,1887,7,9,deals,logs,oak
Bathurst,origin,1889,9,16,deals,ends,birch
Bathurst,origin,1891,5,5,deals,,
Bathurst,origin,1893,3,5,deals,fir deals,fir sawn
Bathurst,origin,1895,6,6,deals,sawn fir,
Bathurst,origin,1898,1,0,,,
"Bathurst, Gulf of St. Lawrence",origin,1889,2,8,spruce,ends,boards
"Bathurst, N.B.",origin,1881,5,12,deals,fir,scantlings
"Bathurst, N.B.",origin,1883,10,21,deals,palings,timber
"Bathurst, N.B.",origin,1885,2,4,pine,deals,pine deals
"Bathurst, N.B.",origin,1887,2,4,deals,palings,
"Bathurst, N.B.",origin,1889,3,5,ends,fir,pine
"Bathurst, N.B.",origin,1891,1,2,deals,,
"Bathurst, N.B.",origin,1893,3,6,pine deals,deals,ends
"Bathurst, N.B.",origin,1895,1,1,sawn fir,,
"Bathurst, N.B.",origin,1899,3,5,deals,birch,sawn fir
Batirken,origin,1883,1,1,spars,,
Batiscan,origin,1881,1,3,deals,palings,
Batiscan,origin,1883,1,2,deals,,
Batiscan,origin,1885,2,4,deals,,
Batiscan,origin,1887,1,1,deals,,
Batiscan,origin,1889,1,1,deals,,
Batiscan,origin,1891,2,2,staves,deals,
Batiscan,origin,1893,1,1,deals,,
Batiscan,origin,1895,3,4,spruce,sawn fir,
Batoumi,origin,1884,1,2,nutwood,ash,
Batoumi,origin,1885,1,2,boards,planks,
Batoumi,origin,1889,1,1,staves,,
Batoumi,origin,1891,4,4,wood,osier,boxwood
Batoumi,origin,1893,1,1,walnut,,
Batskarnas,origin,1895,1,1,deals and battens,,
Batvik,origin,1881,2,1,firewood,,
Batvik,origin,1883,4,3,sleepers,deals,sawn fir
Batvik,origin,1885,3,3,sawn fir,deals,
Batvik,origin,1889,2,2,deals and battens,firewood,
Batvik,origin,1891,1,1,firewood,,
Baur,origin,1883,1,0,,,
Bawik,origin,1877,1,1,deals,,
Bay Chaleur,origin,1887,1,1,deals,,
Bay Verte,origin,1881,1,2,deals,,
Bay Verte,origin,1883,1,2,deals,,
Bay Verte,origin,1885,2,4,deals,ends,
Bay Verte,origin,1887,1,3,deals,timber,
Bay Verte,origin,1889,2,5,deals,ends,scantlings
Bay Verte,origin,1893,1,2,deals,,
"Bay Verte, Montreal",origin,1887,1,1,deals,,
"Bay Verte, N.B.",origin,1881,5,12,deals,ends,scantlings
"Bay Verte, N.B.",origin,1883,2,4,deals,,
"Bay Verte, N.B.",origin,1885,5,7,deals,ends,
"Bay Verte, N.B.",origin,1887,1,1,deals,,
"Bay Verte, N.B.",origin,1889,1,2,deals,ends,
"Bay Verte, N.B.",origin,1891,2,3,fir,deals,scantlings
Bay Verts,origin,1889,1,3,deals,scantlings,
"Bay de Verte, N.B.",origin,1881,1,2,deals,,
Bay of Islands,origin,1881,2,5,pit,logs,deals
Bay of Islands,origin,1883,2,6,timber,spars,battens
BayVerte,origin,1889,1,1,fir,,
BayVerte,origin,1893,1,2,fir deals,fir ends,
Bayonne,origin,1877,3,3,oak timber,oak,
Bayonne,origin,1879,8,4,,,
Bayonne,origin,1881,50,50,pit,pitwood,
Bayonne,origin,1882,3,3,pit,,
Bayonne,origin,1883,28,28,pitwood,props,hewn fir
Bayonne,origin,1884,9,9,hewn fir,pitwood,props
Bayonne,origin,1885,59,59,props,pitwood,hewn pitwood
