origin_port,destination_port,year,num_ships,num_cargo_items,top_commodity,top_commodity_count
Aasgaardstrand,PETITION PRESENTED FOR CESSIO,1891,1,1,pit,1
Aasgaardstrand,Sligo,1881,1,1,pit,1
Aasgaardstrand,Tyne,1883,2,2,pit,2
Aasgaardstrand,Tyne,1891,1,1,props,1
Aastad,Tyne,1889,1,1,crowntrees,1
Abbola,Grimsby,1891,1,1,firewood,1
Aberdeen,Bristol,1877,1,2,sleepers,1
Ablafors,Grimsby,1881,1,1,deals,1
Ablafors,London,1881,1,1,firewood,1
Abo,Borrowstounness,1881,1,1,deals,1
Abo,Boston,1887,1,1,battens,1
Abo,Boston,1889,1,1,deals,1
Abo,Boston,1895,2,2,deals,1
Abo,Bristol,1883,1,1,battens,1
Abo,Bristol,1889,3,3,battens,3
Abo,Bristol,1891,2,3,firewood,2
Abo,Bristol,1893,2,2,battens,1
Abo,Bristol,1895,2,3,deals and battens,1
Abo,Bristol,1897,3,3,battens,1
Abo,Deptford,1885,1,1,deals,1
Abo,Deptford,1889,1,2,wood,1
Abo,Dover,1887,1,2,sawn fir,1
Abo,Dundee,1877,2,4,of boards,1
Abo,Dundee,1883,1,1,staves,1
Abo,Dundee,1887,3,3,sawn fir,2
Abo,Dundee,1889,5,5,deals,3
Abo,Dundee,1891,3,3,deals,2
Abo,Dundee,1893,2,2,fir battens,1
Abo,Dundee,1899,2,2,battens,1
Abo,Exeter,1889,1,1,deals,1
Abo,Fowey,1885,1,1,staves,1
Abo,Goole,1885,1,1,sawn fir,1
Abo,Greenock,1881,1,1,deals,1
Abo,Greenock,1885,1,1,deals,1
Abo,Greenock,1887,1,1,sawn fir,1
Abo,Greenock,1891,1,1,battens,1
Abo,Greenock,1893,2,2,deals,2
Abo,Greenock,1895,1,1,battens,1
Abo,Grimsby,1879,1,1,boards,1
Abo,Grimsby,1881,2,3,deals,2
Abo,Grimsby,1883,5,1,deals,1
Abo,Grimsby,1885,5,6,battens,3
Abo,Grimsby,1886,1,1,deals,1
Abo,Grimsby,1887,2,2,battens,1
Abo,Grimsby,1890,1,1,deals,1
Abo,Grimsby,1891,5,5,deals,2
Abo,Grimsby,1893,3,3,fir props,1
Abo,Grimsby,1895,4,5,deals,1
Abo,Grimsby,1899,2,2,deals & battens,1
Abo,Hull (Queen's Dock),1895,1,1,laths,1
Abo,Inverness,1881,1,1,deals,1
Abo,Inverness,1887,1,1,battens,1
Abo,Inverness,1889,1,1,deals,1
Abo,Inverness,1893,2,2,fir deals and battens,1
Abo,Inverness,1899,2,2,deals and battens,1
Abo,Irvine,1893,1,1,fir deals and battens,1
Abo,Liverpool,1881,1,2,firewood,1
Abo,Liverpool,1883,3,4,deals,3
Abo,Liverpool,1885,2,2,battens,1
Abo,Liverpool,1889,6,7,deals,3
Abo,Liverpool,1893,3,2,fir props,1
Abo,Liverpool,1895,1,1,laths,1
Abo,London,1875,2,4,deals,1
Abo,London,1879,4,4,deals,4
Abo,London,1881,5,6,deals,3
Abo,London,1883,17,19,deals,10
Abo,London,1885,8,14,deals,8
Abo,London,1887,4,5,firewood,3
Abo,London,1889,5,5,deals,2
Abo,London,1891,3,3,battens and scantlings,1
Abo,London,1892,1,1,scantlings,1
Abo,London,1893,5,7,deals,3
Abo,London,1895,3,3,staves,3
Abo,London,1897,1,2,scantlings,1
Abo,London,1899,1,1,stds,1
Abo,London (Deptford Buoys),1889,1,1,staves,1
Abo,London (Tilbury Docks),1891,1,1,staves,1
Abo,London (Tilbury Docks),1899,2,2,battens,1
Abo,Lynn,1883,1,1,deals,1
Abo,Lynn,1885,2,3,sawn fir,1
Abo,Lynn,1887,1,1,deals,1
Abo,Montrose,1881,1,1,battens,1
Abo,Montrose,1883,1,2,firewood,1
Abo,Montrose,1885,2,4,firewood,1
Abo,Newport,1881,1,1,fir sawn,1
Abo,Newport,1883,1,1,staves,1
Abo,Newport,1885,6,7,sawn fir,6
Abo,Newport,1887,1,1,sawn fir,1
Abo,Newport,1889,1,1,firewood,1
Abo,Newport,1891,1,2,battens,1
Abo,Newport,1893,2,2,sawn fir,1
Abo,Newport,1895,1,2,staves,1
Abo,Newport,1896,1,1,firewood,1
Abo,PETITIONS PRESENTED FOR CESSIO,1893,3,3,pit props,2
Abo,Poole,1881,1,1,fir,1
Abo,Poole,1883,1,1,battens,1
Abo,Poole,1889,4,4,staves,2
Abo,Poole,1893,3,3,staves,1
Abo,Poole,1895,2,3,battens,2
Abo,RUNCORN DOCK,1895,1,1,battens and boards,1
Abo,Stockton,1881,1,1,deals,1
Abo,Tyne,1881,1,2,firewood,1
Abo,Tyne,1883,7,7,staves,4
Abo,Tyne,1885,4,4,firewood,1
Abo,Tyne,1887,1,1,sawn fir,1
Abo,Tyne,1889,1,1,staves,1
Abo,Tyne,1892,1,1,staves,1
Abo,Tyne,1893,3,5,pit,1
Abo,Tyne,1895,1,2,staves,1
Abo,Wexford,1883,1,1,whitewood,1
Abord,London (Deptford Buoys),1889,1,2,timber,1
Abus,Borrowstounness,1889,1,1,hewn fir,1
Abus,Grimsby,1889,1,2,beech,1
Abus,Poole,1889,1,1,pit,1
Abus,Tyne,1889,1,1,props,1
Aby,Bristol,1899,1,1,pitprops,1
Abyn,Bristol,1875,1,1,planks,1
Abyn,Bristol,1893,1,1,,0
Abyn,Dundee,1885,1,1,deals,1
Abyn,Fowey,1899,1,1,,0
Abyn,Goole,1883,1,1,deals,1
Abyn,Goole,1885,1,1,deals,1
Abyn,Grimsby,1879,1,1,deals,1
Abyn,Grimsby,1881,2,3,fir hewn,1
Abyn,Grimsby,1883,5,6,fir,1
Abyn,Grimsby,1893,1,1,sawn fir,1
Abyn,Liverpool,1879,1,1,boards,1
Abyn,Lynn,1881,1,1,firewood,1
Abyn,Poole,1899,1,1,firewood,1
Abyn,TOWN DOCK,1893,1,1,fir deals,1
Abyn,Tyne,1885,1,1,deals,1
Abyu,Lynn,1881,1,2,firewood,1
Adelaide,Stockton,1883,1,0,,0
Adolph Michel,Newport,1883,1,0,,0
Africa,Liverpool,1883,1,2,ebony,1
Africa,Liverpool,1891,1,1,timber,1
Africa,London (Tilbury Docks),1891,1,2,leon,1
Aguste,Borrowstounness,1881,1,0,,0
Ahla,London,1887,1,1,pit,1
Ahlafors,Dundee,1877,1,1,deals,1
Ahlafors,Dundee,1885,1,1,deals,1
Ahlafors,Goole,1887,2,2,battens,1
Ahlafors,Grimsby,1879,5,5,battens,2
Ahlafors,Grimsby,1885,1,1,deals,1
Ahlafors,Grimsby,1887,1,1,sawn fir,1
Ahlafors,Liverpool,1879,2,2,deals,2
Ahlafors,London,1874,2,2,deals,2
Ahlafors,London,1879,5,5,deals,4
Ahlafors,London,1881,2,2,deals,2
Ahlafors,Lynn,1879,2,1,timber,1
Ahlafors,Newry,1885,1,1,battens,1
Ahlafors,Tyne,1881,1,1,fir sawn,1
Ahlafors,Tyne,1885,2,2,deals,2
Ahlators,London,1879,1,1,deals,1
Ahlo,Grimsby,1887,1,1,props,1
Aimee,Bristol,1893,1,0,,0
Akyab,Liverpool,1881,1,1,planks,1
Akyab,Liverpool,1883,1,1,planks,1
Akyab,London,1874,1,2,ventilators,1
Aland,Dundee,1883,1,1,deals,1
Aland,Grimsby,1885,1,1,sawn fir,1
Aland,Grimsby,1887,1,1,props,1
Aland,Grimsby,1889,1,1,pit,1
Aland,Lynn,1883,1,1,sawn fir,1
Albany,London,1893,1,1,hard,1
Albany,London,1899,1,1,karri,1
Alderney,Newport,1885,1,2,hewn teak,1
Alexandria,Bristol,1891,1,1,pit,1
Alexandria,Grimsby,1889,1,1,antique wood,1
Alexandria,Liverpool,1885,1,1,wood,1
Alexandria,Liverpool,1891,1,1,staves,1
Alexandria,Lynn,1887,1,3,firewood,1
Aleyn,Dundee,1877,1,2,deals,1
Alfred,Tyne,1881,1,0,,0
Alfredsham,Borrowstounness,1879,1,1,battens,1
Alfredsham,Dundee,1883,1,1,battens,1
Alfredsham,Grimsby,1881,1,2,firewood,1
Alfredshamn,London,1879,1,1,firewood,1
Alfredshamn,London,1887,1,1,firewood,1
Alfredshem,Bristol,1891,1,0,,0
Alfredshem,Dundee,1889,1,1,battens,1
Alfredshem,Grimsby,1889,1,1,fir ends,1
Alfredshem,Grimsby,1895,1,1,deals,1
Alfredshem,London,1891,1,1,deals,1
Alfredshem,Lynn,1891,1,2,firewood,1
Alfredshem,PENICUIK,1889,1,1,battens,1
Alfredshem,Poole,1889,1,1,deals,1
Algiers,London (Tilbury Docks),1892,1,1,wood,1
Algoa Bay,Newport,1899,1,1,boxwood,1
"Algoa Bay, N.B.",Liverpool,1895,1,3,deals,3
Allen,Grimsby,1883,1,1,props,1
Alloa,Dundee,1889,1,1,props,1
Alloa,Greenock,1899,1,2,props and,1
"Alma, N.B",Newport,1895,1,1,sawn fir,1
"Alma, N.B.",Fleetwood,1885,1,1,deals,1
"Alma, N.B.",Newport,1895,1,1,deals,1
Almeria,Greenock,1887,1,1,firewood,1
Almeria,Milford,1889,1,2,firewood,1
Almvik,Stockton,1887,1,2,firewood,1
Alne,Borrowstounness,1889,1,1,battens,1
Alne,Boston,1891,2,4,sawn fir,1
Alne,Grimsby,1893,2,2,fir deals,1
Alne,Grimsby,1895,1,1,battens,1
Alne,Liverpool,1885,1,1,deals,1
"Alne, Ornskjoldsvik",Fowey,1893,1,1,sawn fir,1
Altona,Dundee,1877,1,1,pit,1
Altona,Poole,1889,1,2,beech,1
Altona,Poole,1897,1,2,oak chocks,1
Alufors,Bristol,1875,1,2,battens,1
Alvarado,London,1883,1,1,logs,1
Alvarado,London (Tilbury Docks),1891,1,1,mahogany and cedar,1
Alvik,Dundee,1881,1,2,fir hewn,1
Alvik,Grimsby,1883,1,1,sawn fir,1
Ambro',London,1893,1,1,crotches,1
Amo,Tyne,1881,1,1,deals,1
Amsterdam,Dundee,1887,1,1,firewood,1
Amsterdam,Dundee,1889,1,1,staves,1
Amsterdam,Fleetwood,1893,1,1,pitch pine,1
Amsterdam,Goole,1885,1,1,staves,1
Amsterdam,Goole,1891,1,1,hoops,1
Amsterdam,Goole,1893,1,1,sawn fir,1
Amsterdam,Greenock,1887,1,1,mill boards,1
Amsterdam,Grimsby,1881,4,4,staves,3
Amsterdam,Grimsby,1883,1,1,logs,1
Amsterdam,Grimsby,1885,5,5,wood,2
Amsterdam,Grimsby,1887,1,1,firewood,1
Amsterdam,Grimsby,1889,8,9,wood,5
Amsterdam,Grimsby,1891,1,1,staves,1
Amsterdam,Hull (Union Dock),1893,1,1,timber,1
Amsterdam,Liverpool,1875,2,3,staves,1
Amsterdam,Liverpool,1883,5,9,staves,2
Amsterdam,Liverpool,1885,3,3,staves,2
Amsterdam,Liverpool,1889,1,2,wood,1
Amsterdam,Liverpool,1891,4,9,logs,4
Amsterdam,Liverpool,1892,1,1,wood,1
Amsterdam,London,1875,1,17,battens,3
Amsterdam,London,1881,1,1,ebony,1
Amsterdam,London,1882,1,1,staves,1
Amsterdam,London,1883,7,12,logs,2
Amsterdam,London,1884,1,1,logs,1
Amsterdam,London,1885,1,2,logs,1
Amsterdam,London,1889,1,1,wood,1
Amsterdam,London,1892,1,1,sandal,1
Amsterdam,London,1893,1,1,deals,1
Amsterdam,London,1897,1,1,logs,1
Amsterdam,London (Tilbury Docks),1887,1,1,hoops,1
Amsterdam,London (Tilbury Docks),1891,3,4,logs,2
Amsterdam,Newport,1885,1,1,boards,1
Amsterdam,Newport,1889,1,1,sawn wood,1
Amsterdam,Tyne,1881,2,2,blocks,1
Amsterdam,Tyne,1885,1,1,staves,1
Amsterdam,Tyne,1893,1,1,pine boards,1
Anciola,Liverpool,1881,1,0,,0
Ancona,Liverpool,1881,1,1,planks,1
Anderini,Bristol,1891,1,1,pitwood,1
Anga,London,1887,2,5,battens,2
Anker,Grimsby,1889,1,0,,0
Anna,Dublin,1885,1,0,,0
Anna,London,1899,1,0,,0
Annapolis,Borrowstounness,1877,1,3,spruce planks,1
Annapolis,Cliffe,1889,1,1,wood,1
Annapolis,Grimsby,1876,1,1,staves,1
Annapolis,London,1881,1,2,deals,1
Annapolis,Tyne,1881,1,3,palings,1
"Annapolis, N. S.",Fleetwood,1883,1,1,hewn fir,1
"Annapolis, N.S.",Liverpool,1881,1,2,deals,1
Anray,Bristol,1893,1,1,,0
Antigua,Poole,1883,1,1,furniture wood,1
Antigua,Runcorn,1881,1,1,logs,1
Antwerp,Bristol,1877,1,1,bales,1
Antwerp,Bristol,1881,1,1,sawn wood,1
Antwerp,Greenock,1897,1,1,firewood,1
Antwerp,Grimsby,1881,1,1,sleepers,1
Antwerp,Grimsby,1887,3,3,firewood,2
Antwerp,Grimsby,1891,1,1,split wood,1
Antwerp,Grimsby,1892,2,2,wood,1
Antwerp,Grimsby,1897,1,1,hoops,1
Antwerp,Liverpool,1883,3,3,bags,1
Antwerp,Liverpool,1887,4,5,staves,3
Antwerp,Liverpool,1891,5,6,sleepers,3
Antwerp,Liverpool,1892,1,1,sleepers,1
Antwerp,Liverpool,1893,1,1,sleepers,1
Antwerp,London,1879,4,4,deals,4
Antwerp,London,1881,1,1,wood,1
Antwerp,London,1883,6,6,boards,3
Antwerp,London,1884,1,1,pitwood,1
Antwerp,London,1887,3,4,logs,1
Antwerp,London,1891,2,2,wood,1
Antwerp,London,1893,1,1,sleepers,1
Antwerp,London (Tilbury Docks),1887,2,3,wood,1
Antwerp,London (Tilbury Docks),1891,2,2,wood,1
Antwerp,London (Tilbury Docks),1893,2,2,teak,1
Antwerp,Newport,1881,1,1,rods,1
Antwerp,Stockton,1881,1,1,basket rods,1
Antwerp,Tyne,1881,4,4,basket rods,4
Antwerp,Tyne,1883,8,9,bags,2
Antwerp,Tyne,1884,1,1,deals,1
Antwerp,Tyne,1887,1,2,bark,1
Antwerp,Tyne,1889,1,1,broomsticks,1
Antwerp,Tyne,1891,2,1,mouldings,1
Antwerp,Tyne,1892,2,2,wooden,1
Antwerp,Tyne,1893,7,10,willows,4
Apalachicola,Boston,1885,1,2,sawn fir,1
Apalachicola,Bristol,1897,2,6,hewn fir,1
Apalachicola,Cork,1893,1,1,sawn fir,1
Apalachicola,Dover,1885,1,2,hewn fir,1
Apalachicola,Dublin,1885,2,3,timber,1
Apalachicola,Dundee,1885,2,6,hewn pitch pine,2
Apalachicola,Dundee,1895,1,1,,0
Apalachicola,Dundee,1899,1,1,sawn pitch pine,1
Apalachicola,Fleetwood,1885,1,2,hewn fir,1
Apalachicola,Goole,1883,1,3,hewn fir,1
Apalachicola,Goole,1885,1,3,hewn fir,1
Apalachicola,Greenock,1883,5,13,deals,4
Apalachicola,Greenock,1885,2,4,sawn pitch pine,1
Apalachicola,Greenock,1887,1,2,sawn timber,1
Apalachicola,Greenock,1895,1,2,pitch pine logs,1
Apalachicola,Grimsby,1883,5,9,hewn fir,3
Apalachicola,Grimsby,1885,3,7,deals,3
Apalachicola,Grimsby,1891,2,6,deals,2
Apalachicola,Grimsby,1893,1,2,hewn fir,1
Apalachicola,Grimsby,1895,2,3,hewn fir,1
Apalachicola,Inverness,1898,1,2,hewn pitch pine,1
Apalachicola,Liverpool,1883,4,11,timber,3
Apalachicola,Liverpool,1884,2,5,pitch,2
Apalachicola,Liverpool,1885,10,22,deals,9
Apalachicola,Liverpool,1887,6,19,hewn and,3
Apalachicola,Liverpool,1889,1,3,hewn and,1
Apalachicola,Liverpool,1893,1,2,sawn pitch pine,1
Apalachicola,Liverpool,1899,1,1,deals,1
Apalachicola,London,1881,1,2,timber,1
Apalachicola,London,1889,1,1,timber,1
Apalachicola,MENT,1893,1,2,sawn pitch pine,1
Apalachicola,Montrose,1883,1,3,hewn pitch pine,1
Apalachicola,Newport,1885,2,5,hewn fir,1
Apalachicola,Newport,1893,1,1,sawn fir,1
Apalachicola,REGENT'S DOCK,1893,1,3,sawn fir,1
Apalachicola,SEE SPECIMENS,1891,1,1,pitch,1
Apalachicola,Stockton,1885,1,3,hewn pitch pine,1
Apalachicola,Stockton,1893,1,2,sawn fir,1
Apalachicola,Tyne,1885,2,6,pitch,2
Apalachicola,Tyne,1887,1,3,hewn fir,1
Apalachicola,Tyne,1891,1,3,sawn fir,1
Apalachicola,Tyne,1892,1,3,hewn pitch pine,1
Apalachicola,Tyne,1893,3,6,sawn fir,2
Apalachicola,Tyne,1897,1,1,sawn fir,1
Apalachicola,Wexford,1885,1,4,hewn pitch pine,1
Apalachicola,Wick,1883,1,2,pitch pine,1
"Apalachicola, Fla.",Fleetwood,1895,1,2,hewn fir,1
Apeldo,Tyne,1897,1,1,firewood,1
Apple River,Troon,1883,1,1,deals,1
Ar-ndal,Dundee,1877,1,4,spars,1
Arcachin,London,1897,1,1,pitwood,1
Arcachon,Berwick,1893,1,0,,0
Arcachon,Bristol,1881,5,5,pitwood,4
Arcachon,Bristol,1883,4,4,hewn fir,2
Arcachon,Bristol,1884,1,1,pitwood,1
Arcachon,Bristol,1885,5,5,pitwood,4
Arcachon,Bristol,1887,3,3,sawn fir,1
Arcachon,Bristol,1889,6,6,pitwood,6
Arcachon,Bristol,1891,1,1,pitwood,1
Arcachon,Bristol,1893,1,1,pitwood,1
Arcachon,Bristol,1895,1,1,pitwood,1
Arcachon,Liverpool,1891,1,1,pitwood,1
Arcachon,London,1881,1,1,pitwood,1
Arcachon,London (Tilbury Docks),1889,1,1,pitwood,1
Arcachon,Newport,1881,1,1,pit,1
Arcachon,Newport,1887,2,2,hewn fir,1
Arcachon,Newport,1889,5,5,pitwood,5
Arcachon,Newport,1890,1,1,pit props,1
Arcachon,Newport,1891,2,2,pitwood,1
Arcachon,Newport,1892,1,1,pitwood,1
Arcachon,Newport,1893,2,2,pit props,2
Arcachon,Newport,1895,2,2,pitwood,2
Arcachon,Newport,1899,1,1,pitwood,1
Arcachon,Newry,1887,1,1,pitwood,1
Arcachon,Poole,1889,7,7,pitwood,6
Arcachon,Poole,1891,2,2,pitwood,2
Arcachon,Poole,1893,3,3,pitwood,2
Arcachon,Poole,1895,1,1,pitwood,1
Arcachon,Poole,1899,5,5,pitwood,2
Arcachon,RECORD OUTPUT OF TIMBER,1899,1,1,pitwood,1
Arcachon,Sligo,1889,1,1,,0
Arcachon,Stockton,1891,4,4,pitwood,4
Arcachon,Stockton,1893,1,1,pitwood,1
Arcachon,Stockton,1899,1,1,pitwood,1
Arcachon,Tyne,1891,1,1,pitwood,1
Arcachon,Tyne,1899,1,1,pitwood,1
Arcachon,WELLINGTON DOCK,1897,1,1,pitwood,1
Archachon,Poole,1889,1,1,pitwood,1
Archachon,Stockton,1893,1,1,pit,1
Archangel,Fleetwood,1895,2,0,,0
Archangel,Grimsby,1889,1,0,,0
Archangel,Grimsby,1895,1,0,,0
Archangel,Liverpool,1893,2,0,,0
Archangl.,Lynn,1879,1,0,,0
Arcnangel,Newport,1893,1,1,sawn fir,1
Ardenal,Lynn,1883,1,1,hewn fir,1
Areachon,Bristol,1883,1,1,pitwood,1
Areachon,Newport,1881,1,1,pit,1
Arehangel,Dundee,1875,1,1,firewood,1
Arenc,London,1897,1,1,pitwood,1
Arend,Lynn,1879,1,0,,0
Arendal,Berwick,1893,1,1,timber,1
Arendal,Berwick,1899,1,1,pitwood,1
Arendal,Borrowstounness,1877,1,1,,0
Arendal,Borrowstounness,1881,4,4,pit,3
Arendal,Borrowstounness,1883,1,2,bags,1
Arendal,Borrowstounness,1885,2,2,pit,2
Arendal,Borrowstounness,1891,2,2,pitwood,1
Arendal,Borrowstounness,1893,1,2,fir battens,1
Arendal,Borrowstounness,1897,1,1,pitwood,1
Arendal,Borrowstounness,1899,1,1,firewood,1
Arendal,Boston,1885,2,2,mining timber,1
Arendal,Boston,1887,8,9,pit,2
Arendal,Boston,1889,2,2,mining timber,1
Arendal,Boston,1890,1,1,round timber,1
Arendal,Boston,1891,7,13,props,2
Arendal,Boston,1893,1,3,fir hewn props,1
Arendal,Boston,1895,5,7,hewn fir,5
Arendal,Boston,1897,5,6,hewn fir,4
Arendal,Boston,1898,1,2,hewn fir,1
Arendal,Boston,1899,3,4,hewn fir,2
Arendal,Bristol,1875,2,3,mining timber,1
Arendal,Bristol,1881,1,2,fir hewn,1
Arendal,Bristol,1883,12,13,hewn fir,5
Arendal,Bristol,1884,3,4,hewn fir,2
Arendal,Bristol,1885,3,3,hewn fir,3
Arendal,Bristol,1887,3,3,hewn fir,2
Arendal,Bristol,1888,1,1,hewn fir,1
Arendal,Bristol,1889,7,7,mining timber,5
Arendal,Bristol,1891,14,18,mining timber,10
Arendal,Bristol,1893,3,3,pitwood,2
Arendal,Bristol,1895,3,3,props,1
Arendal,Bristol,1897,5,6,props,1
Arendal,Bristol,1899,2,3,lathwood,1
Arendal,DIVIDENDS,1879,1,0,,0
Arendal,Deptford,1889,1,1,square timber,1
Arendal,Dundee,1877,8,46,props,20
Arendal,Dundee,1887,2,2,sawn fir,2
Arendal,Dundee,1891,1,1,firewood,1
Arendal,Dundee,1895,1,1,sawn fir,1
Arendal,Fowey,1883,1,3,mining timber,1
Arendal,Goole,1879,3,1,timber,1
Arendal,Goole,1883,1,1,battens,1
Arendal,Goole,1885,3,4,battens,1
Arendal,Goole,1889,1,3,mining,1
Arendal,Goole,1891,1,1,deals,1
Arendal,Greenock,1875,1,2,timber,1
Arendal,Greenock,1877,2,2,pit,1
Arendal,Greenock,1885,1,1,battens,1
Arendal,Greenock,1895,1,1,props,1
Arendal,Grimsby,1877,2,2,props,1
Arendal,Grimsby,1879,3,0,,0
Arendal,Grimsby,1881,14,30,mining timber,9
Arendal,Grimsby,1883,20,27,mining timber,6
Arendal,Grimsby,1885,11,20,mining timber,5
Arendal,Grimsby,1887,9,11,pit,4
Arendal,Grimsby,1889,18,43,props,9
Arendal,Grimsby,1891,9,13,mining timber,5
Arendal,Grimsby,1893,4,7,fir poles,1
Arendal,Grimsby,1897,7,8,hewn fir,2
Arendal,Grimsby,1899,6,8,props,2
Arendal,Hull (Union Dock),1893,1,1,round min,1
Arendal,Inverness,1889,1,1,battens,1
Arendal,Inverness,1891,1,1,firewood,1
Arendal,Inverness,1899,1,1,pitwood,1
Arendal,Irvine,1899,1,1,deals,1
Arendal,Liverpool,1874,2,3,timber,2
Arendal,Liverpool,1875,2,6,timber,2
Arendal,Liverpool,1879,14,10,timber,8
Arendal,Liverpool,1883,1,2,fir props,1
Arendal,Liverpool,1885,2,2,firewood,1
Arendal,Liverpool,1887,4,7,mining timber,3
Arendal,Liverpool,1889,1,1,battens,1
Arendal,Liverpool,1891,2,3,partly square timber,1
Arendal,Liverpool,1893,2,3,round mining timber,1
Arendal,London,1879,1,1,boards,1
Arendal,London,1881,8,15,firewood,4
Arendal,London,1883,7,9,deals,4
Arendal,London,1885,3,5,battens,2
Arendal,London,1887,8,13,firewood,5
Arendal,London,1889,1,1,firewood,1
Arendal,London,1891,4,5,battens,2
Arendal,London,1893,2,2,firewood,1
Arendal,London,1899,1,1,firewood and,1
Arendal,London (Deptford Buoys),1887,1,1,firewood,1
Arendal,London (Silvertown),1889,1,1,firewood,1
Arendal,London (Surrey Commercial Docks),1891,1,1,staves,1
Arendal,London (Tilbury Docks),1889,1,1,fir timber,1
Arendal,London (Tilbury Docks),1893,1,3,telegraph,1
Arendal,Londonderry,1885,1,1,pit,1
Arendal,Lynn,1879,10,3,timber,2
Arendal,Lynn,1881,5,6,mining timber,4
Arendal,Lynn,1883,10,11,mining timber,6
Arendal,Lynn,1884,2,2,boards,2
Arendal,Lynn,1885,1,1,deals,1
Arendal,Lynn,1887,2,3,pit,1
Arendal,Lynn,1891,1,2,hewn fir,1
Arendal,MENT,1893,1,1,props,1
Arendal,Milford,1887,1,1,pit,1
Arendal,NEW YORK,1875,1,8,deals,3
Arendal,Newport,1881,5,7,pit,2
Arendal,Newport,1882,3,4,pitwood,3
Arendal,Newport,1883,4,6,hewn fir,2
Arendal,Newport,1885,10,13,hewn,3
Arendal,Newport,1887,3,3,pitwood,2
Arendal,Newport,1889,3,6,mining timber,3
Arendal,Newport,1891,1,2,wood,1
Arendal,Newport,1893,4,5,hewn fir poles,1
Arendal,Newport,1895,3,3,pitwood,3
Arendal,Newport,1898,2,2,sawn fir,1
Arendal,OCK,1891,1,1,pit,1
Arendal,Poole,1879,2,0,,0
Arendal,Poole,1881,2,2,crowntrees,1
Arendal,Poole,1883,1,2,props,1
Arendal,Poole,1887,2,4,hewn fir,1
Arendal,Poole,1889,2,2,deals,1
Arendal,Poole,1893,2,3,boards,1
Arendal,SILVERTON,1887,1,2,battens,1
Arendal,Sligo,1883,1,3,props,1
Arendal,Stockton,1881,1,1,fir hewn,1
Arendal,Stockton,1883,1,1,props,1
Arendal,Stockton,1887,2,3,firewood,1
