source_file,line_number,extracted_ship,char_count,size_category,format_type,at_symbols,emdashes,hyphens,semicolons,periods,estimated_total_ships,estimated_missed_ships,raw_line_preview
"1. p. 299-300 - January 6 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 4 1877_p002.txt",23,Mary Johnstone,354,LOW,STANDARD,5,6,0,0,20,5,4,"Mary Johnstone @ Porsgrund,—3,310 pcs. round mining poles, 1,433 props,—W. D. Coxon. St. Nicholia @ Christiania,—17,173 pcs. props, A. B. Richardson & Co. Dorothea @ Falkenborg,—4,153 pcs. props, E. S..."
1. p. 411-413 - Imports - June 6 1885 - Timber Trades Journal 1885_p001.txt,80,Sleipner,349,LOW,HYPHEN_SEMICOLON,0,0,14,7,16,1,0,"Sleipner (s)-Gothenburg-500 bdls. laths-H. Sheraton & Co. ; 1,500 bdls. laths-J. Whitfield ; 1,000 bdls. laths-T. W. Allen ; 140 box boards-G. Bayliff & Co. ; 7,565 pit-props, 1,085 pit-poles-Osbeck &..."
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p001.txt",158,Tirrel,308,LOW,STANDARD,5,4,0,2,7,5,4,"Tirrel @ New Orleans,—46 logs timber, 1,800 staves, Chaloner & Co. ; 4,920 staves, Order. Louis Walsh @ New Orleans,—1,800 staves, Chaloner & Co. H. Haafager @ Fredrikstad,—66,729 boards, Order. Joinv..."
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p002.txt",3,gull,1468,HIGH,STANDARD,24,21,0,1,44,24,23,"gull @ Christiania,—367,768 staves, Order. Dragen @ Neder Calix,—247 planks, 277 pit props, 68,335 staves, Order. Salus @ New Orleans,—1,700 staves, Order. Pride of Wales @ Darien,—627 logs, 824 pcs. ..."
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p002.txt",3,Pera,313,LOW,STANDARD,4,4,0,0,9,4,3,"Order. Pera (s) @ Constantinople,—20 t. boxwood logs. Luke Bruce @ St. Domingo,—55 logs, 194 crotches mahogany, 24 pcs. lignum vitæ, Tomlinson & Co. Barden (s) @ Old Calabar,—5,683 pcs. ebony, Harriso..."
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p002.txt",38,Concordia,1664,HIGH,STANDARD,23,23,0,0,80,23,22,"Concordia @ Laurvig,—696 pcs. props, 7,790 pcs. battens, 2,248 pcs. boards, Order. Godthaub @ Porsgrund,—2,307 pcs. poles, 693 pcs. pit props, Order. Activ @ Krageroe,—2,077 pcs. pit props, E. S. Jobs..."
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p002.txt",40,Annie,449,LOW,STANDARD,7,7,0,0,21,7,6,"E. S. Jobson & Co. Annie @ Bergqvara,—11,781 pcs. pit props, Order. Falken @ Stromstadt,—10,902 pcs. pit props, Order. Rival @ Dantzic,—1,124 pcs. oak timber, 28 pcs. props, R. Wade, Sons. Melia @ Are..."
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p002.txt",45,Ida,489,LOW,STANDARD,7,7,0,0,19,7,6,"April 12. Ida @ Porsgrund,—3,943 pcs. battens, 2,724 pcs. battens, 581 pcs. battens, Hardy Brothers. Sjofrida @ Mandal,—615 pcs. mining timber, 8,828 pcs. props, Pyman, Bell, & Co. Hulda Emelie @ Goth..."
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p002.txt",66,Thor,350,LOW,STANDARD,7,7,0,0,10,7,6,"April 10. Thor @ Christiania,—10,425 props, Love & Stewart. Hortensia @ Falkenburg,—15,995 props, Love & Stewart. Baltic @ Porsgrund,—6,638 props, Love & Stewart. Falken @ Christiania,—15,088 props, L..."
"1. p. 422-424 - April 28 1877 - Imports of Timber, &c. -  Timber Trades Journal Vol. 5 1877._p002.txt",68,Briton,359,LOW,STANDARD,6,6,0,0,10,6,5,"April 19. Briton @ Sandefiord,—5,596 props, 379 pcs. timber, 20 tons birch bark, A. Gulstad & Co. Fanny @ Falkenburg,—5,190 props, Love & Stewart. Neutral @ Christiansand,—11,647 props, Love & Stewart..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,Primrose,671,MEDIUM,STANDARD,8,8,0,2,28,8,7,"Primrose (s) @ Riga,—5,555 sleepers, 533 ½ sleepers, Order. Christiana @ Drammen,—146 doz. battens, C. J. Im Thurn & Co. ; 1,062 doz. battens, A. Pelly & Co. ; 5,487 pcs. battens, Tagart, Boysen, & Co..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",7,Christiana,473,LOW,STANDARD,6,6,0,0,19,6,5,"Co. Christiana @ Christiania,—110 fms. firewood, With & Co. (part of deck cargo washed overboard). Svea @ Christiania,—208 fms. firewood, Dahl & Sadler. Amelia @ Saunesund,—227 fms. firewood, Duus, Br..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",8,Gwalia,698,MEDIUM,STANDARD,11,11,0,0,29,11,10,"Gwalia @ Christiania,—5,107 spars and masts, W. Cossery. Try @ Drammen,—724 doz. battens, 3,871 doz. boards, Tagart & Co. Fosnes @ Fredrikstad,—114 fms. firewood, J. Neck & Son. Agnar @ Drammen,—207 f..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,Albion,486,LOW,STANDARD,5,5,0,2,19,5,4,"Albion (s) @ Christiania,—182,874 staves, Duus, Brown, & Co. ; 4,886 boards, 254 battens, 194 deals, G. E. Arnold & Co. ; 290 cs. wood pulp, 23,676 boards, Order. New World @ New York,—185 logs mahoga..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",14,New World,330,LOW,STANDARD,4,4,0,0,14,4,3,"Order. New World @ New York,—185 logs mahogany, Farnworth & Co. Jane Emily @ Falmouth Jamaica,—81 t. logwood, 47 t. fustic, 2 t. lignum vitæ, 312 lancewood spars, 1 pc. mahogany, S. Dobree & Sons. Osc..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",24,Frey,540,MEDIUM,STANDARD,7,8,0,0,20,7,6,"Frey @ Dram,—36,859 boards, Hughes & Co. Vestalinden @ Fredrikstad,—4,295 pcs. boards, 1,389 bdls. laths, Order. Freya @ Buvig,—43 spars, 741 pcs. battens, 1,281 pcs. timber, Moss & Co. Admiral Prinz ..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",26,Karen,872,MEDIUM,STANDARD,11,11,0,0,39,11,10,"Karen @ Christiania,—26,798 pit props, Nickelsen @ Christiania,—3,853 pcs. timber, 6 std. staves, Order. Thrudvang @ West Indies,—369 spars, 130 t. logwood, 252 pcs. wood, 7,660 pcs. boards, Farnworth..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",31,Alexandria,616,MEDIUM,STANDARD,7,7,0,0,25,7,6,"Alexandria @ Savannah,—340 lgs. timber, 37 pcs. beam fillings, 161 planks, 19 t. dyewood. Tea @ New York,—44 t. fustic, 11 t. lignum vitæ, 61 lgs. dyewood, 1,755 pcs. staves, Order. Ocean Phantom @ Ea..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",35,Hanna,440,LOW,STANDARD,8,8,0,0,20,8,7,"Hanna @ Drammen,—339 c. boards, 31 c. battens. William @ Arendal,—1,755 pcs. timber, 580 pit props, 1 fm. firewood. Frithyoff @ Brevig,—1,350 pcs. timber, 343 pit props, 72 battens. China @ Wyburg,—10..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",36,Dannebrog,950,MEDIUM,STANDARD,20,20,0,0,44,20,19,"Dannebrog @ Skien,—71 c. boards. Odin @ Arendal,—3,792 pcs. timber, 600 pit props. Eidsvold @ Arendal,—1,841 pcs. timber, 1,638 pit props. Thule @ Porsgrund,—5,783 pcs. timber, 2,641 pit props. Louis ..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",11,havet,616,MEDIUM,STANDARD,12,12,0,0,28,12,11,"havet @ Grimstadt,—2,679 pcs. timber. Kongsbyrd @ Grimstadt,—2,314 pcs. timber, 1,829 pcs. props. Askur @ Mandal,—a full cargo of mining timber. Aglaja @ Brevig,—1,442 pcs. timber, 110 pcs. props. Ale..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",12,Hoppet,433,LOW,STANDARD,9,9,0,0,19,9,8,"Hoppet @ Calmar,—7,874 pit props. Jean @ Memel,—695 pcs. timber, 643 pcs. deals, and ends, 20 oak logs. Paul @ Christiansand,—3,412 pcs. timber, 2,878 pcs. props. Ida @ Kongsbacks, —22,650 pcs. props...."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",13,Harriet,554,MEDIUM,STANDARD,11,11,0,0,25,11,10,"Harriet @ Gefle,—13,800 pcs. deal, battens and boards. Hilma @ Passkallaik,—7,979 pcs. props. Martina @ Uddewalla,—4,328 pcs. props. Martina @ Uddewalla,—20,769 pcs. props. Ellida @ Lillesand,—1,383 p..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",14,Emma,310,LOW,STANDARD,5,5,0,0,13,5,4,"Emma @ Dantzic,—816 pcs. round sleepers, 244 pcs. lathwood. Hellas @ Porsgrund,—1,308 pcs. timber, 812 pcs. props. Fredrik Wilhelm @ Dantzic,—397 pcs. timber, 1,368 pcs. props. Friedrich Wilhelm @ Dan..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",30,Ophelia,764,MEDIUM,STANDARD,11,8,0,0,32,11,10,"Ophelia @ Dram,—7,419 pcs. battens, James Brownlee. Sirene @ Memel,—702 pcs. timber, 698 pcs. fir deals, 3,240 pcs. oak staves, Brownlee, Dunn & Co. Maria @ Memel,—554 pcs. oak timber, 605 pcs. deals,..."
"1. p. 6 a╠Ç 8 - May 2 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",53,Johannes,329,LOW,STANDARD,6,6,0,0,12,6,5,"St. Johannes @ Tonsberg,—160 loads props. M. J. Ellingsen. Bien @ Hamburg,—190 loads props, Order. Elizabeth @ Christiania,—158 loads props, Love & Stewart. Harald @ Falkenburg, —11,263 props, Love & ..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p001.txt",11,Being now in the quiet time that characterizes the period between the spring and fall,943,MEDIUM,OTHER,0,1,0,0,7,1,0,"Being now in the quiet time that characterizes the period between the spring and fall imports, we have little to report. The docks are bare of ships, and the quays show large empty spaces amounting in..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p001.txt",83,Nor,1736,HIGH,STANDARD,26,25,4,1,63,26,25,"Nor @ Chatham, N.B.,—14,192 deals, 1,472 ends, Order. Havre @ Quebec,—10,472 deals, 578 deal ends, 588 pcs. sawn timber, 171 deals, 6 pcs. ends, Order. Clara @ Pensacola,—timber, Order. Arran @ Quebec..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p001.txt",83,Gresham,391,LOW,STANDARD,6,5,0,0,15,6,5,"Order. Gresham (s) @ Cronstadt, 3,143 battens, 2,120 deal ends, Order. Scandinavia (s) @ Archangel,—14,406 deals, &c., Order. Amalthea @ Memel,—939 pcs. timber, Order. @ Saguenay,—12,977 deals, 1,175 ..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",3,Parthia,1923,HIGH,STANDARD,27,25,0,4,77,27,26,"Parthia (s) @ Boston,—255 pcs. lignum vitæ, Tomlinson, Hodgetts, & Co. Antiope @ Rangoon,—49 teak planks, Hodgetts, & Co. Great Britain @ Deboy,—687 pcs. timber, 296 planks, G. Cap & Son. Patna @ Deme..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",3,Sandusky,1674,HIGH,STANDARD,23,21,0,3,69,23,22,"Order. Sandusky @ Pascagoula,—410 pcs. timber, 940 pcs. deals, Order. Ethiopia (s) @ W. C. Africa, 267 logs ebony, Stuart & Douglas. Livonian @ Constantinople,—280 t. boxwood, Irvin & Sellers. Liguria..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",3,Senegal,1235,HIGH,STANDARD,18,17,0,1,57,18,17,"Co. Senegal @ W. C. Africa,—529 pcs. ebony, Stuart & Douglas. Bertha @ Tonala,—287 logs, 30 log ends mahogany, McCoskry & Greer; 1,521 pcs. ebony, Stuart & Douglas. Gilvery @ Rangoon, 230 planks, Moly..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",3,Gilvery,1088,HIGH,STANDARD,16,15,0,0,51,16,15,"Stuart & Douglas. Gilvery @ Rangoon, 230 planks, Molyneux & Co. Harriet M. M. @ St. Domingo,—126 logs satin wood, 901 sticks lignum vitæ, Tomlinson, Hodgetts, & Co. Surprise @ Key West,—141 logs mahog..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",7,Skimmer,320,LOW,STANDARD,5,5,0,0,18,5,4,"Aug. 19. Skimmer (s) @ Cronstadt,—4,500 pcs. lathwood, Lennard. Thos. Wilson (s) @ Cronstadt,—8,148 pcs. lathwood, 119 c. deals, &c., Wilson. Apollo (s) @ Cronstadt,—1,500 pcs. lathwood, 29 c. deals, ..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",10,Nero,440,LOW,STANDARD,6,6,0,0,19,6,5,"Nero (s) @ Riga,—264 lds. deal ends, 6,840 pcs. lathwood, 71 c. boards, Wilson. Hero (s) @ Christiania,—214 c. battens, &c., Wilson. Volante (s) @ Stavanger,—60 c. deals, &c., rickers, Hornstedt. Lorn..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",15,Milan,326,LOW,STANDARD,5,5,0,0,17,5,4,"Aug. 30. Milan (s) @ Cronstadt,—36 c. deals, 1,997 pcs. lathwood, 638 rickers, Brown. Astarte (s) @ Cronstadt,—4,883 pcs. lathwood, Hoemstedt. Gefina @ Lovisa,—140 c. deals, &c., Granberg. Como (s) @ ..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",16,Martha,440,LOW,STANDARD,6,6,0,1,24,6,5,"Aug. 31. Martha @ Archangel,—196 c. deal ends, Ronngren. Sylfhide @ Archangel,—50 c. deals, &c., Lennard. Orlando (s) @ Gothenburg,—1,350 blds. laths, Emanuel Hill; 2,089 pit props, 70 c. deals, &c., ..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",18,Sylphiden,747,MEDIUM,STANDARD,12,12,0,0,37,12,11,"Aug. 19. Sylphiden @ Baltimore,—10,800 staves, Order. Nellie Elsinore @ New York,—1,506 pcs. lumber, Order. Fair Wind @ Quebec,—1,085 pcs. timber, 1,564 deals, 30 cords lathwood, Bayly & Co. Juventa @..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",21,Owen,320,LOW,STANDARD,5,5,0,0,14,5,4,"Aug. 26. Owen @ Fredrikstad,—256,157 staves, Taylor & Co. James @ Archangel,—7,493 deals, &c., Jones & Co. Mjolner @ Archangel,—18,690 boards, 1,124 bdls. laths, Taylor & Co. Hoganas @ Nyland,—12,973 ..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",28,Harlequin,467,LOW,STANDARD,4,4,0,2,23,4,3,"August 31. Harlequin @ Quebec,—101 pcs. oak timber, 79 pcs. birch timber, 113 pcs. elm timber, 2 pcs. white pine timber, 15,091 pcs. deals and deal ends, R. Wade, Sons, & Co. “T & J” @ Quebec, —163 pc..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p003.txt",29,Jacob,423,LOW,STANDARD,4,4,0,0,17,4,3,"Sept. 1. Jacob @ Dantzic,—130 pcs. redwood timber, 1,943 pcs. red fir sleepers, R. Wade, Sons, & Co. Kong Carl @ Quebec,—48 pcs. oak, 21 pcs. ash, 10 pcs. whitewood, 21 pcs. maple, 53 pcs. white pine,..."
"10. 152-155 - September 4 1875 - Imports Timber, &c. - Timber Trades Journal Vol. 3 1875_p004.txt",8,Ariadne,473,LOW,STANDARD,4,4,0,0,16,4,3,"Aug. 18. Ariadne @ Calais,—13,340 deals, boards and deal ends, Edmiston & Mitchell. Wimburn @ Picton, U.S.,—126 pcs. elm, 71 pcs. sawn birch, 120 pcs. birch boards, 10,500 spruce deals, A. Colston & C..."
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.txt",29,Timour,2629,HIGH,STANDARD,33,33,1,4,78,33,32,"Timour @ Quebec,—2,340 deals, 8,853 pcs. staves, 1,020 pcs. timber, &c., Order. John Trahey @ Tidnish, N.S.,—40,392 deals, &c., Order. Sleipner @ Gothenburg,—1,689 bdls. laths, 4,709 pcs. pitwood, 4,5..."
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.txt",29,Leda,1293,HIGH,STANDARD,16,16,0,2,36,16,15,"Order. Leda @ Stettin,—491 pcs. timber, Order. Malta @ New York,—21,341 pcs. Ontario (s) @ Montreal,—5,726 deals, 2,738 deals, 20 deal ends, Order. Louisa Whitman @ St. John, N.B.,—16,500 palings, Jon..."
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.txt",29,Windsor,998,MEDIUM,STANDARD,12,12,0,1,25,12,11,"Order. Windsor @ New Richmond,—1,042 pcs. timber, 5,555 scantlings, 9,185 deals, 14 cords lathwood, 4,400 palings, Sutherland & Co. Nawaleneh @ Shediac,—13,770 deals, 1,394 scantlings, 1,418 deal ends..."
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.txt",29,Parthenia,493,LOW,STANDARD,6,6,0,0,14,6,5,"Order. Parthenia (s) @ St. John, N.B.,—38,781 deals, &c., 1,971 scantlings, 4,764 ends, 3,207 boards, 1,675 palings, Farnworth & Co. Bel Stewart @ Halifax,—18,170 deals, 948 ends, 141 scantlings, 11,3..."
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p002.txt",203,Waldemar,2152,HIGH,STANDARD,30,30,0,0,92,30,29,"Waldemar @ Soderhamn,—19,923 pcs. deals and boards, Harrison & Singleton. Ellida @ Archangel,—9,683 pcs. deals, battens and boards, H. Brown & Son. Valparaiso @ Swartwick,—10,544 pcs. deals and boards..."
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.txt",2,Ohio,2334,HIGH,STANDARD,34,35,0,0,112,34,33,"Ohio @ Cronstadt,—5,441 pcs. deals and ends, J. Rhodes & Co. Ojo @ Bergqvara,—2,977 pcs. pit props, E. S. Jobson & Co. Gloria @ Stettin,—181 pcs. hewn oak, and 67 pcs. hewn fir, May & Hassell. Familie..."
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.txt",4,Robert and Charlotte,2286,HIGH,STANDARD,34,37,3,1,54,34,33,"Robert and Charlotte @ Porsgrund,—100 spars, 5 pcs. oars, Grimsby Ice Co. Admiraten @ Wyburg,—13,926 deals and battens, Marshall & Atkinson. Skogman @ Sundswall,—21,868 deals and battens, Order. Ringd..."
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.txt",15,Lively,334,LOW,STANDARD,6,6,0,0,9,6,5,"August 19. Lively @ Swartwik,—18,131 pit props, Order. Anna boards, J. Black & Co. Erik @ Calmar,—quantity of deals and battens, Order. Anna Henry @ Westerwik,—486 pcs. deals and ends, Wrigths @ Nyvik..."
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.txt",18,Orion,467,LOW,STANDARD,6,6,0,1,13,6,5,"August 23. Orion @ Sundswall,—6,354 pcs. pit props, 2½ fms. firewood, Curry, Carrs, & Co. William @ Gefle,—quantity firewood, E. W. Johnston & Co. Ida @ Calmar,—7,141 pcs. pit props, Order. Wilhelmine..."
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.txt",22,Svalan,478,LOW,STANDARD,4,4,1,1,11,4,3,"August 28. Svalan @ Sundswall,—278 planks, 894 pcs. bat-tens, 3,671 pcs. battens and deals, 1,819 pcs. boards, 10 fms. firewood, Curry, Carrs, & Co. Morgenstund @ Sandefjord,—2,147 pit props, 50 plank..."
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.txt",25,Malvine,1188,HIGH,STANDARD,21,17,0,0,57,21,20,"Harrison & Singleton. Malvine @ Asbacka,—6,675 pcs. deals and boards, J. Laycock. Gustaf den @ Frederica @ Riga,—6,826 pcs. deals, W. & A. J. Rhodes & Co. Falken @ Riga,—3,709 pcs. pit props, H. P. Fo..."
"10. 153-157 - September 1 1877 - Imports of Timber, &c. - Timber Trades Journal Vol. 5 1877_p003.txt",27,Capella,1327,HIGH,STANDARD,20,20,3,0,50,20,19,"Capella @ Archangel,—6,609 deals, &c., Jones & Nash. Valdivia @ West Coast of Africa,—4,710 billets ebony, R. & W. King. Pro-gress @ Bjorneborg,—26,865 deals, &c., Emblin & Jones. Helios @ Bjorneborg,..."
