record_id,publication_year,publication_month,publication_day,ship_name,origin_port,destination_port,is_steamship,merchant,source_file,line_number,raw_ocr_line,arrival_year,arrival_month,arrival_day,format_type,confidence
4612,1874.0,October,3.0,Argyle,Cronstadt,LONDON,True,,"12. p. 179-182 - October 3 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",30,"Argyle (s) @ Cronstadt,—2,001 cub. ft. firewood, R. Wade, Sons & Co.; 4,474 pcs. lathwood, J. Knight.",1874.0,September,18,early_at,0.9
4616,1874.0,October,3.0,Atlantic,Cronstadt,LONDON,True,,"12. p. 179-182 - October 3 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p002.txt",35,"Atlantic (s) @ Cronstadt,—765 pcs. lathwood, C. Matveieff & Co.; 10,089 pcs. deals and battens, 1,620 pcs. lathwood, 9,981 pcs. deals, &c., Order.",1874.0,September,18,early_at,0.9
4074,1874.0,September,19.0,Aurora,Cronstadt,LONDON,False,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",64,"Aurora @ Cronstadt,—450 pcs. deals, 47 fms. firewood, Order. S. Copping.",1874.0,Sept,4,early_at,0.9
6180,1874.0,October,17.0,Black Sea,Cronstadt,LONDON,True,,"13. p. 193-195 - October 17 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",23,"Black Sea (s) @ Cronstadt,—3,280 pcs. deals, J. R. Boyce.",1874.0,Mar,9,early_at,0.9
4058,1874.0,September,19.0,Boston,Cronstadt,LONDON,True,,"11. p.163-166 - September 19 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",43,"Boston (s) @ Cronstadt,—9,654 pcs. lathwood, J. Reynolds & Sons.",1874.0,Sept,4,early_at,0.9
10058,1874.0,November,28.0,Ceres,Cronstadt,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p002.txt",7,"Ceres @ Cronstadt,—3,962 deals, 838 deal ends, Order.",1874.0,Nov,24,early_at,0.9
6235,1874.0,October,17.0,Columbus,Cronstadt,LONDON,False,,"13. p. 193-195 - October 17 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",104,"Columbus @ Cronstadt,—12,639 pcs. deals, 720 pcs. timber, 18,202 staves, Order.",1874.0,Mar,9,early_at,0.9
94449,1874.0,June,27.0,Eldon,Cronstadt,LONDON,True,,"5. p. 68-70 - June 27 1874 - Imports of Timber, &c. - Timber Trades Journal Vol. 2 1875_p001.txt",20,"Eldon (s) @ Cronstadt,—1,150 ft. lathwood, A. A. Rennie.",1874.0,February,21,early_at,0.9
9954,1874.0,November,28.0,Eleanor Dodson,Cronstadt,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",25,"Eleanor Dodson @ Cronstadt,—4,018 deals, 962 deal ends, 3 fms. firewood, Order.",1874.0,Nov,14,early_at,0.9
9944,1874.0,November,28.0,Elshea,Cronstadt,LONDON,False,,"16. p. 237-240 - November 28 1874 - Imports of Timber, &c. -  Timber Trades Journal Vol. 2 1875_p001.txt",11,"Elshea @ Cronstadt,—6,896 deals, 1,813 deal ends, 963 battens, Order.",1874.0,Nov,13,early_at,0.9
