year,origin_port,ship_count
1881.0,Swartwik,5
1881.0,Antwerp,4
1881.0,Baltimore,4
1881.0,Bollsta,4
1881.0,Calcutta,4
1881.0,Husum,4
1881.0,Jamaica,4
1881.0,Libau,4
1881.0,Mesane,4
1881.0,Narva,4
1881.0,Ornskjoldsvik,4
1881.0,Ornskoldsvik,4
1881.0,Oxelosund,4
1881.0,Pitea,4
1881.0,Rangoon,4
1881.0,Amsterdam,3
1881.0,Auckland,3
1881.0,Charlotte Town,3
1881.0,Dantzig,3
1881.0,Doboy,3
1881.0,Finnklippan,3
1881.0,Frederickstadt,3
1881.0,Frederikstad,3
1881.0,"Halifax, N.S.",3
1881.0,Hernosand,3
1881.0,Hobart Town,3
1881.0,Kingston,3
1881.0,Lulea,3
1881.0,Madras,3
1881.0,Neder Kalix,3
1881.0,Nordmaling,3
1881.0,Nuevitas,3
1881.0,Rafso,3
1881.0,Risoer,3
1881.0,Swartvik,3
1881.0,Twedestrand,3
1881.0,Umea,3
1881.0,Wyborg,3
1881.0,Ahlafors,2
1881.0,Asbacka,2
1881.0,Borga,2
1881.0,Bremen,2
1881.0,Brussels,2
1881.0,Carlskrona,2
1881.0,"Chatham, N.B.",2
1881.0,Cochin,2
1881.0,Domsjo,2
1881.0,Drontheim,2
1881.0,Fiume,2
1881.0,Frederickshald,2
1881.0,Frederikstadt,2
1881.0,Ghent,2
1881.0,Gideabacka,2
1881.0,"Guysborough, N.S.",2
1881.0,Halifax,2
1881.0,Hamburg,2
1881.0,Hudikswall,2
1881.0,Iggesund,2
1881.0,Kristinestad,2
1881.0,Langror,2
1881.0,Livingston,2
1881.0,"Madras, &c.",2
1881.0,Metis,2
1881.0,Mobile,2
1881.0,Moss,2
1881.0,Norrkoping,2
1881.0,Puerto Cortes,2
1881.0,Ranea,2
1881.0,Sandvik,2
1881.0,Santos,2
1881.0,Sarpsborg,2
1881.0,Singapore,2
1881.0,Skutskar,2
1881.0,"St. John's, N.F.",2
1881.0,St. Mary's,2
1881.0,St. Petersburg Town,2
1881.0,Swartwick,2
1881.0,Trinidad de Cuba,2
1881.0,Uddewalla,2
1881.0,Vancouver's Island,2
1881.0,Waija,2
1881.0,Ablafors,1
1881.0,Annapolis,1
1881.0,Apalachicola,1
1881.0,Arcachon,1
1881.0,Attu,1
1881.0,"Auckland, N.Z.",1
1881.0,Baddeck,1
1881.0,"Baddeck, N.S.",1
1881.0,Baraharia,1
1881.0,Bathurst,1
1881.0,Batiscan,1
