record_id,publication_year,publication_month,publication_day,ship_name,origin_port,destination_port,is_steamship,merchant,source_file,line_number,raw_ocr_line,arrival_year,arrival_month,arrival_day,format_type,confidence
20536,1881.0,February,5.0,Elysia,New York,LONDON,True,,18810205.p.88.txt,72,"Elysia (s)-New York-236 boards, 180 pcs. walnut, 32 bdls. wood, 148 bdls. lumber-Order",1881.0,Jan,19,condensed,0.9
23179,1881.0,June,18.0,Elysia,New York,LONDON,True,,18810618p.388_p002.txt,61,Elysia (s)-New York-529 walnut boards-Order,1881.0,Mar,29,condensed,0.9
22051,1881.0,May,14.0,Erin,New York,LONDON,True,,18810514p.306_p001.txt,151,"Erin (s)—New York—535 bls. barrel heads, 215 bls. box shooks, 61 bdls. hoops, 2,930 bdls., 4,172 no. staves—Order",1881.0,Mar,29,condensed,0.9
20614,1881.0,February,12.0,Escambia,New York,LONDON,True,,18810212p.105.txt,67,"4 Escambia (s)-New York-1,788 bdls. staves, 200 logs cedar-Order",1881.0,Jan,19,condensed,0.9
20929,1881.0,March,12.0,Euphrates,New York,LONDON,True,,18810312p.175.txt,89,"Euphrates (s)—New York—126 bdls. hoops, 1,150 bdls. staves—Order",1881.0,Mar,3,condensed,0.9
29608,1881.0,November,12.0,Euphrates,New York,LONDON,True,,18811112p.324_p002.txt,73,"Euphrates (s)-New York-1,700 staves-Churchill & Sim ; 202 bdls. headings, 9,382 bdls. staves, 3 logs maple-Order",1881.0,Nov,2,condensed,0.9
20697,1881.0,February,19.0,Faraday,New York,LONDON,True,,18810219p.123.txt,112,"Faraday (s)-New York-1,050 staves-Simson & Mason ; 608 bls. headings, 176 bls. staves, 10,500 coils hoops-H. Tate & Sons ; 2,140 coils hoops-White, Burnell, & Co. ; 411 lancewood spars, 156 pcs. cooowlawood, 7,305 bls. staves, 517 bdls. hoops-Order",1881.0,Jan,19,condensed,0.9
24621,1881.0,July,30.0,France,New York,LONDON,True,,18810730p.82_p002.txt,29,"26 France (s)-New York-2,459 staves-Order",1881.0,Mar,29,condensed,0.9
29115,1881.0,November,5.0,France,New York,LONDON,True,,18811105p.310_p002.txt,30,"France (s)-New York-1,555 pcs. walnut lumber-Churchill & Sim; 3,404 staves-Order",1881.0,Oct,3,condensed,0.9
23027,1881.0,June,11.0,Galatea,New York,LONDON,True,,18810611p.369_p001.txt,178,"Galatea (s)-New York-2,520 staves-Simson & Mason ; 6,675 oars, 33 logs walnut-Order",1881.0,Mar,29,condensed,0.9
29627,1881.0,November,12.0,Galatia,New York,LONDON,True,Churchill,18811112p.324_p002.txt,93,Galatia (s)-New York-50 logs walnut-Churchill,1881.0,Nov,2,condensed,0.9
21489,1881.0,April,23.0,Ganges,New York,LONDON,True,Bradley & Currier,18810423p.261_p001.txt,176,Ganges (s)—New York—604 doors—Bradley & Currier ; 72 logs walnut—Order,1881.0,Mar,29,condensed,0.9
24272,1881.0,July,23.0,Germanie,New York,LONDON,True,,18810723p.64_p002.txt,4,"Germanie (s)-New York-1,200 staves-Order",1881.0,Mar,29,condensed,0.9
20994,1881.0,March,19.0,Glenfinlas,New York,LONDON,True,,18810319p.188.txt,60,"11 Glenfinlas (s)—New York—20 bdls. staves—B. mann & Co.; 5,400 staves—Simson & Co.",1881.0,Mar,10,condensed,0.9
21681,1881.0,April,30.0,Glenroy,New York,LONDON,True,Simson & Mason,18810430p.275_p001.txt,149,"Glenroy (s)-New York-3,060 hhd. staves-Simson & Mason; 500 oars-Cunningham, Shaw, & Co.; 2 logs maple, 6 cars lumber, 634 pcs. oak-Order",1881.0,Mar,29,condensed,0.9
22528,1881.0,May,28.0,Govino,New York,LONDON,True,,18810528p.336_p001.txt,124,Govino (s)-New York-33 walnut logs-Order,1881.0,Mar,29,condensed,0.9
22756,1881.0,June,4.0,Greece,New York,LONDON,True,,18810604p.352_p001.txt,166,"Greece (s)-New York-3,156 staves-Order",1881.0,Mar,29,condensed,0.9
21699,1881.0,April,30.0,Hunter,New York,LONDON,True,Simson & Mason,18810430p.275_p001.txt,167,"Hunter (s)-New York-1,620 staves-Simson & Mason; 253 bls. headings-H. Tate & Sons; 1,377 bls. staves, 6,155 bls. hoops-Order",1881.0,Mar,29,condensed,0.9
20623,1881.0,February,12.0,Illinois,New York,LONDON,False,,18810212p.105.txt,77,"Illinois-New York-442 doors, 267 bdls. mouldings, 255 bdls. headings, 132 bdls. staves-Order",1881.0,Jan,19,condensed,0.9
20121,1881.0,January,1.0,Jeanie Landles,New York,LONDON,False,,18810101p.10.txt,76,"Jeanie Landles—New York—118 bls. mouldings—Rankin & Drummond; 1,725 staves—Order",1881.0,Dec,23,condensed,0.9
21311,1881.0,April,16.0,Jeranos,New York,LONDON,True,,18810416p.249_p001.txt,84,Jeranos (s)-New York-3 cars lumber-Order,1881.0,Mar,29,condensed,0.9
